"ticker","anomaly_score","anomaly_rank","is_anomaly","ai_profile","ai_score_phase2","innovation_score","ai_rd_efficiency","ai_patent_momentum","industry"
"SYN051",0.397341962368476,79,FALSE,"AI Follower",36.2,31.1,1900422.319,9.13478111,"Healthcare"
"SYN048",0.396666778120175,80,FALSE,"AI Laggard",25.4,34.7,6967902.956,1.065799761,"Financials"
"SYN007",0.396161031776359,81,FALSE,"AI Adopter",51.6,39.4,8775995.377,3.536382151,"Technology"
"SYN113",0.395853085908758,82,FALSE,"AI Follower",33.9,37.4,505088.2325,1.839877342,"Healthcare"
"SYN162",0.395826644734195,83,FALSE,"AI Laggard",28.6,2.5,1771026.021,0.076186848,"Industrials"
"SYN185",0.395576229121862,84,FALSE,"AI Follower",42,33,119431.5223,0.984087933,"Technology"
"SYN172",0.395228407072417,85,FALSE,"AI Follower",46.6,35.7,9894449.631,1.10982913,"Healthcare"
"SYN015",0.394344261871885,86,FALSE,"AI Follower",41.5,57,8632663.086,0.818476211,"Energy"
"SYN115",0.393587425319567,87,FALSE,"AI Adopter",54,38.6,3075132.528,0.933754871,"Technology"
"SYN179",0.39301033369567,88,FALSE,"AI Follower",32.9,4.5,22243449.94,0.054792644,"Industrials"
"SYN073",0.39279229227912,89,FALSE,"AI Laggard",24,43.8,5321220.564,1.086571395,"Energy"
"SYN067",0.392401616701998,90,FALSE,"AI Follower",44.4,37.8,5101601.471,1.522137659,"Technology"
"SYN036",0.392176953902372,91,FALSE,"AI Laggard",21.3,17,1739209.332,0.666518551,"Financials"
"SYN132",0.391665490025711,92,FALSE,"AI Adopter",53.4,30.9,7955635.9,0.140735528,"Technology"
"SYN042",0.391548616702749,93,FALSE,"AI Laggard",27.7,10.2,988686.1455,0.599850037,"Industrials"
"SYN173",0.390320772832293,94,FALSE,"AI Laggard",22.4,13,24747391.37,0.361368249,"Energy"
"SYN175",0.390159753297692,95,FALSE,"AI Follower",37.6,31.6,5189446.834,0.975490367,"Healthcare"
"SYN096",0.390036493856985,96,FALSE,"AI Laggard",24.2,20.3,22399997.56,1.217960371,"Financials"
"SYN158",0.389382979474536,97,FALSE,"AI Follower",49.9,24.7,16711187.88,0.587175164,"Technology"
"SYN080",0.389280593046959,98,FALSE,"AI Follower",49.5,19.4,15192897.36,0.117640139,"Technology"
"SYN111",0.388634078971423,99,FALSE,"AI Laggard",19.3,19.2,1855878.706,3.24423587,"Financials"
"SYN064",0.388324864191393,100,FALSE,"AI Laggard",26.7,18.4,26676957.97,0.168907506,"Financials"
"SYN039",0.388278167070674,101,FALSE,"AI Laggard",20.1,23.7,11642389.18,0.875848478,"Energy"
"SYN091",0.388106512160508,102,FALSE,"AI Laggard",21.2,36.4,3253600.63,4.031607805,"Financials"
"SYN161",0.387808096763971,103,FALSE,"AI Laggard",24.8,40.7,2908095.752,9.995240362,"Financials"
"SYN098",0.387587204433258,104,FALSE,"AI Adopter",50.9,35.3,3765099.027,0.202083551,"Healthcare"
"SYN169",0.387351432760011,105,FALSE,"AI Adopter",51.8,31.8,9150584.168,2.276016314,"Technology"
"SYN136",0.386298054457355,106,FALSE,"AI Follower",49.3,35.3,14316197.23,0.431434216,"Healthcare"
"SYN026",0.385694100667894,107,FALSE,"AI Laggard",21.2,18.8,5359030.323,3.362617389,"Financials"
"SYN101",0.385474102083812,108,FALSE,"AI Follower",41.1,9.4,30237013.06,0.236550661,"Healthcare"
"SYN189",0.384659651636284,109,FALSE,"AI Laggard",27,30.5,11868136.88,0.410155588,"Financials"
"SYN170",0.384400838821947,110,FALSE,"AI Laggard",20.6,33.1,1165459.995,1.184902607,"Consumer"
"SYN137",0.383985805260209,111,FALSE,"AI Adopter",53,36,2368109.311,1.130735445,"Technology"
"SYN019",0.382540156853728,112,FALSE,"AI Follower",32,32.7,28163729.16,1.142530706,"Financials"
"SYN034",0.382305624791448,113,FALSE,"AI Laggard",21.6,23.1,1326440.105,0.356506239,"Financials"
"SYN046",0.381058039532974,114,FALSE,"AI Follower",45,37.2,5531395.789,2.142665833,"Technology"
"SYN070",0.380546924800426,115,FALSE,"AI Laggard",23.8,20.7,13039079.6,0.106118118,"Financials"
"SYN018",0.380403851984,116,FALSE,"AI Laggard",21.6,19,6961275.565,0.460465728,"Energy"
"SYN071",0.380341463180592,117,FALSE,"AI Follower",39.9,32.6,4218308.71,3.114186851,"Industrials"
"SYN126",0.379770026066712,118,FALSE,"AI Laggard",25.3,46.2,100169.8818,1.341097582,"Financials"
"SYN009",0.378718491999622,119,FALSE,"AI Follower",47,30.2,8452187.011,2.136835915,"Healthcare"
"SYN191",0.378340254178538,120,FALSE,"AI Follower",37.3,28.2,27983610.06,0.121733838,"Consumer"
"SYN125",0.378050211174927,121,FALSE,"AI Follower",42.3,46.6,8863578.114,1.650325211,"Consumer"
"SYN166",0.377814127941691,122,FALSE,"AI Follower",35,34.3,3860639.986,4.802979808,"Healthcare"
"SYN103",0.377342541212709,123,FALSE,"AI Laggard",28.4,23.8,28170961.95,0.268493658,"Financials"
"SYN081",0.377253864151608,124,FALSE,"AI Follower",38.5,27.9,10168257.27,6.546726637,"Healthcare"
"SYN165",0.377179860696068,125,FALSE,"AI Follower",48.4,22.2,8594184.217,0.206469374,"Technology"
"SYN006",0.377024912425238,126,FALSE,"AI Laggard",24.4,22.5,17059188.85,1.384260446,"Energy"
"SYN123",0.376664586540997,127,FALSE,"AI Laggard",27.4,21.9,22015287.54,0.252794787,"Energy"
"SYN065",0.376485186296182,128,FALSE,"AI Follower",38.3,31.2,12824445.23,5.557776889,"Industrials"
"SYN193",0.3764505845714,129,FALSE,"AI Laggard",26.3,41.9,8249428.459,0.892160143,"Energy"
"SYN054",0.376185159872769,130,FALSE,"AI Follower",38.8,45,5938082.968,2.662754048,"Industrials"
"SYN061",0.376078981073896,131,FALSE,"AI Laggard",19.1,18.2,8450093.19,1.191699199,"Energy"
"SYN031",0.375689223955129,132,FALSE,"AI Follower",44.5,27.6,5739711.144,1.007896512,"Technology"
"SYN184",0.375369175783374,133,FALSE,"AI Laggard",21.7,38.2,6120559.43,1.124949779,"Financials"
"SYN142",0.374676450369174,134,FALSE,"AI Laggard",25.6,8.3,5579042.009,0.309969003,"Consumer"
"SYN124",0.374200814282811,135,FALSE,"AI Laggard",28.5,37.7,2759081.156,2.28838036,"Financials"
"SYN044",0.373797599114902,136,FALSE,"AI Laggard",21.1,30.8,5163742.399,1.195919803,"Energy"
"SYN066",0.373477305488514,137,FALSE,"AI Follower",47.3,33.1,3433878.283,1.294870873,"Technology"
"SYN001",0.373278187763503,138,FALSE,"AI Laggard",22.2,35.9,2018263.922,1.368341033,"Financials"
"SYN058",0.373097189634583,139,FALSE,"AI Laggard",23.6,14.1,13779356.22,0.352313352,"Consumer"
"SYN195",0.372863180751288,140,FALSE,"AI Follower",43.6,30,10227123.98,1.010528543,"Healthcare"
"SYN010",0.37251351708593,141,FALSE,"AI Laggard",29.4,22,25283322.68,0.605449041,"Industrials"
"SYN094",0.372030441957103,142,FALSE,"AI Laggard",20.8,31.2,5256219.26,2.736362042,"Financials"
"SYN024",0.371941654675447,143,FALSE,"AI Follower",35.9,53.4,6630769.234,1.435805397,"Financials"
"SYN177",0.371762351214797,144,FALSE,"AI Laggard",27,18.3,577950.2273,0.385695919,"Consumer"
"SYN139",0.371444369653567,145,FALSE,"AI Laggard",23.2,23.4,8733521.156,0.558601428,"Energy"
"SYN075",0.371086219026615,146,FALSE,"AI Follower",32.9,21.6,9202539.673,6.677329068,"Industrials"
"SYN121",0.371074183203897,147,FALSE,"AI Follower",40.9,33.8,1828737.392,1.762562495,"Healthcare"
"SYN047",0.370963928728233,148,FALSE,"AI Follower",38,46.4,955516.893,1.012457814,"Industrials"
"SYN011",0.370899037687736,149,FALSE,"AI Follower",37.8,52.5,2666166.564,3.757006514,"Consumer"
"SYN086",0.3703276234178,150,FALSE,"AI Follower",37.3,49.5,5240799.898,4.359128174,"Consumer"
"SYN041",0.370020342602542,151,FALSE,"AI Follower",38.8,32.8,14218456.55,0.216204529,"Consumer"
"SYN168",0.36993632276299,152,FALSE,"AI Follower",32,11,20444063.81,0.562921265,"Industrials"
"SYN167",0.367849080209334,153,FALSE,"AI Laggard",26.8,40,126307.6882,0.550997918,"Financials"
"SYN055",0.367562666667657,154,FALSE,"AI Laggard",21.4,34.8,4600799.604,0.718338027,"Energy"
"SYN194",0.367524545620987,155,FALSE,"AI Laggard",21.2,29.4,5238374.158,0.787467189,"Energy"
"SYN144",0.36749682606088,156,FALSE,"AI Laggard",21.8,28.3,3771096.009,0.679031114,"Energy"
"SYN082",0.367447720867984,157,FALSE,"AI Follower",46.5,30.8,9857526.274,1.267078849,"Technology"
"SYN002",0.367053194876117,158,FALSE,"AI Follower",48.1,26.3,6801017.946,0.444425452,"Technology"
"SYN092",0.366858905117227,159,FALSE,"AI Follower",35,31.3,9861509.98,0.371985121,"Consumer"
"SYN114",0.366483609979287,160,FALSE,"AI Follower",47.7,24.1,8861561.767,0.49273577,"Technology"
"SYN119",0.366049315107597,161,FALSE,"AI Follower",45.6,18.8,5320341.06,1.319008616,"Technology"
"SYN156",0.365347968387542,162,FALSE,"AI Laggard",28.7,50.3,7713867.022,1.403329356,"Energy"
"SYN199",0.365311955344678,163,FALSE,"AI Laggard",27.9,39.4,502192.1424,1.459902673,"Consumer"
"SYN182",0.364722403245446,164,FALSE,"AI Laggard",26.1,28.7,3234304.727,1.177605198,"Consumer"
"SYN128",0.364631914771662,165,FALSE,"AI Laggard",25.8,26.9,1028102.753,0.834555092,"Consumer"
"SYN171",0.363824309241449,166,FALSE,"AI Laggard",24.6,28.8,2132182.836,0.887761573,"Consumer"
"SYN056",0.363713297925074,167,FALSE,"AI Laggard",23.3,34.4,4950936.905,1.130617579,"Energy"
"SYN078",0.363610635238687,168,FALSE,"AI Follower",31.8,33.6,15198324.03,0.717856685,"Financials"
"SYN181",0.362804460721663,169,FALSE,"AI Laggard",27.4,41.4,9276019.673,1.094383645,"Financials"
"SYN120",0.362766037777522,170,FALSE,"AI Follower",49.3,27.9,8073914.787,0.951536166,"Technology"
"SYN197",0.361941282636961,171,FALSE,"AI Laggard",26.9,47,5566363.001,0.907715582,"Energy"
"SYN049",0.361719821084064,172,FALSE,"AI Follower",42,22.2,1597610.872,0.490328559,"Technology"
"SYN108",0.361678997503151,173,FALSE,"AI Laggard",27.6,25.1,5192548.472,1.186373651,"Consumer"
"SYN186",0.361093750598089,174,FALSE,"AI Laggard",22.8,23.5,2714665.984,0.568525463,"Consumer"
"SYN087",0.360840667211006,175,FALSE,"AI Follower",34.1,15.7,15168154.62,0.284390624,"Industrials"
"SYN052",0.360577959568387,176,FALSE,"AI Follower",38.1,36.7,13365639.13,0.328289499,"Consumer"
"SYN084",0.360368911938684,177,FALSE,"AI Laggard",29.4,20.2,9889189.185,0.469106845,"Consumer"
"SYN005",0.360136571019924,178,FALSE,"AI Follower",33.4,11,11732640.15,0.208544998,"Industrials"
"SYN008",0.360130094070272,179,FALSE,"AI Follower",35.6,18.2,10071933.31,0.267001728,"Industrials"
"SYN155",0.359988185655654,180,FALSE,"AI Laggard",26.5,38.9,10802174.17,0.654250771,"Energy"
"SYN112",0.359907738577277,181,FALSE,"AI Follower",41.1,22.7,12920286.58,0.943336897,"Healthcare"
"SYN090",0.359524637544362,182,FALSE,"AI Follower",33.4,17.1,4719505.108,0.226269114,"Industrials"
"SYN109",0.359245849650896,183,FALSE,"AI Laggard",26.1,34.9,7833624.116,0.819008619,"Financials"
"SYN107",0.357710609968023,184,FALSE,"AI Follower",30.4,37.5,1362103.394,1.029009941,"Consumer"
"SYN059",0.357124664234754,185,FALSE,"AI Laggard",26.9,41.4,3236001.651,2.690780768,"Financials"
"SYN140",0.35677521241433,186,FALSE,"AI Follower",37.7,39.4,4448491.983,1.166594655,"Industrials"
"SYN106",0.356723568356788,187,FALSE,"AI Laggard",23.9,19.6,2964008.592,0.575231598,"Consumer"
"SYN129",0.356517382589943,188,FALSE,"AI Laggard",24.9,28.8,8197476.07,0.590063511,"Energy"
"SYN183",0.356310481241406,189,FALSE,"AI Laggard",26.4,46.8,2679600.571,0.965475626,"Financials"
"SYN176",0.355649339585234,190,FALSE,"AI Laggard",25.1,27.9,3876558.028,0.752661195,"Consumer"
"SYN038",0.355133613145158,191,FALSE,"AI Follower",42.6,28,5357392.884,0.643162293,"Technology"
"SYN040",0.354735112241539,192,FALSE,"AI Laggard",29.7,27.3,6157488.333,1.541538205,"Industrials"
"SYN149",0.354176677003887,193,FALSE,"AI Laggard",25.5,34.8,9569325.948,0.975989462,"Financials"
"SYN057",0.353274788351187,194,FALSE,"AI Laggard",27.3,41.5,6966883.725,0.969800513,"Energy"
"SYN151",0.35210187890025,195,FALSE,"AI Follower",31.3,35.1,7621618.655,1.060541785,"Consumer"
"SYN063",0.351797728035311,196,FALSE,"AI Follower",34.6,29.4,11006567.98,0.606532519,"Industrials"
"SYN198",0.351479528903623,197,FALSE,"AI Laggard",23.8,29.7,6599995.049,0.609731312,"Energy"
"SYN148",0.351364790897269,198,FALSE,"AI Laggard",29.6,25,8940537.626,1.04368477,"Consumer"
"SYN060",0.349428962413133,199,FALSE,"AI Follower",40.4,38.3,7484856.003,0.797770614,"Industrials"
"SYN122",0.348506375111822,200,FALSE,"AI Follower",34.2,23.9,5839066.475,0.85572809,"Industrials"
