"ticker","innovation_score","ai_score_phase2","ai_quartile_phase2","ai_rd_efficiency","ai_patent_momentum","ai_industry_exposure","ai_profile","efficiency_rating","momentum_rating"
"SYN030",32.8,19.2,1,4874144.49198718,7.87253983130272,0.9,"AI Laggard",2,3
"SYN031",27.6,44.5,4,5739711.14434598,1.00789651204317,1.3,"AI Follower",2,2
"SYN032",27.1,34.2,2,80193578.8319096,0.0314948230384631,0.9,"AI Follower",3,1
"SYN033",27,22.9,1,1257604.83776179,28.7141073657928,1,"AI Laggard",1,3
"SYN034",23.1,21.6,1,1326440.10467807,0.35650623885918,0.9,"AI Laggard",1,1
"SYN035",15.3,45.5,4,42449698.7431051,0.548713571515669,1.2,"AI Follower",3,1
"SYN036",17,21.3,1,1739209.33230159,0.666518551433015,0.9,"AI Laggard",1,2
"SYN037",28.8,41.1,3,8646035.28242009,7.09763412195935,1.1,"AI Follower",2,3
"SYN038",28,42.6,3,5357392.88381199,0.643162292850101,1.3,"AI Follower",2,2
"SYN039",23.7,20.1,1,11642389.1782508,0.875848478213269,0.9,"AI Laggard",3,2
"SYN040",27.3,29.7,2,6157488.33259065,1.54153820514957,1.1,"AI Laggard",2,3
"SYN041",32.8,38.8,3,14218456.5469681,0.216204529484893,1,"AI Follower",3,1
"SYN042",10.2,27.7,2,988686.145545217,0.599850037490627,1.1,"AI Laggard",1,1
"SYN043",34.7,31.2,2,4237802.34382446,8.28821324448147,0.9,"AI Follower",1,3
"SYN044",30.8,21.1,1,5163742.39871601,1.19591980302497,0.9,"AI Laggard",2,2
"SYN045",42.2,57.8,4,93803.468977317,0.470568463509937,1.3,"AI Adopter",1,1
"SYN046",37.2,45,4,5531395.78941917,2.14266583340773,1.3,"AI Follower",2,3
"SYN047",46.4,38,3,955516.892980683,1.01245781425774,1.1,"AI Follower",1,2
"SYN048",34.7,25.4,1,6967902.95626348,1.06579976132669,0.9,"AI Laggard",2,2
"SYN049",22.2,42,3,1597610.87205738,0.490328558742906,1.3,"AI Follower",1,1
"SYN050",10.9,23.8,1,39009155.1628107,0.228328478072593,0.9,"AI Laggard",3,1
"SYN051",31.1,36.2,3,1900422.31871817,9.13478110996208,1.2,"AI Follower",1,3
"SYN052",36.7,38.1,3,13365639.1272155,0.32828949850949,1,"AI Follower",3,1
"SYN053",24.1,28.9,2,20707553.1187837,1.0573497299161,0.9,"AI Laggard",3,2
"SYN054",45,38.8,3,5938082.96822886,2.66275404847299,1.1,"AI Follower",2,3
"SYN055",34.8,21.4,1,4600799.60412457,0.718338027019305,0.9,"AI Laggard",1,2
"SYN056",34.4,23.3,1,4950936.90507797,1.13061757854667,0.9,"AI Laggard",2,2
"SYN057",41.5,27.3,2,6966883.72496554,0.969800512537058,0.9,"AI Laggard",2,2
"SYN058",14.1,23.6,1,13779356.2169296,0.352313351639811,1,"AI Laggard",3,1
"SYN059",41.4,26.9,2,3236001.65131553,2.69078076753419,0.9,"AI Laggard",1,3
"SYN060",38.3,40.4,3,7484856.00332767,0.797770613627671,1.1,"AI Follower",2,2
"SYN061",18.2,19.1,1,8450093.18977759,1.19169919868502,0.9,"AI Laggard",2,2
"SYN062",51.9,58,4,6325642.57213762,1.4022182633182,1.3,"AI Adopter",2,2
"SYN063",29.4,34.6,3,11006567.9843318,0.606532519159051,1.1,"AI Follower",3,1
"SYN064",18.4,26.7,2,26676957.9715654,0.168907506249578,0.9,"AI Laggard",3,1
"SYN065",31.2,38.3,3,12824445.2343168,5.5577768892443,1.1,"AI Follower",3,3
"SYN066",33.1,47.3,4,3433878.28299181,1.29487087259909,1.3,"AI Follower",1,2
"SYN067",37.8,44.4,3,5101601.47101383,1.52213765901894,1.3,"AI Follower",2,3
"SYN068",3.7,18.6,1,27696882.3225138,0.051093025801978,0.9,"AI Laggard",3,1
"SYN069",38.2,65.9,4,7973218.33109351,17.4875089221984,1.3,"AI Adopter",2,3
"SYN070",20.7,23.8,1,13039079.6039361,0.106118117627852,0.9,"AI Laggard",3,1
"SYN071",32.6,39.9,3,4218308.70959632,3.11418685121107,1.1,"AI Follower",1,3
"SYN072",28.3,18.5,1,4947057.95041673,3.13541538081718,0.9,"AI Laggard",2,3
"SYN073",43.8,24,1,5321220.56354409,1.08657139482698,0.9,"AI Laggard",2,2
"SYN074",16.5,42.2,3,75131494.8185812,0.0905764283902757,1.1,"AI Follower",3,1
"SYN075",21.6,32.9,2,9202539.67291473,6.67732906837265,1.1,"AI Follower",2,3
"SYN076",21.9,32.4,2,25649919.9527853,0.0778396503203401,1,"AI Follower",3,1
"SYN077",15.4,46.7,4,7196282.21801936,5.99538816295158,1.3,"AI Follower",2,3
"SYN078",33.6,31.8,2,15198324.0294919,0.717856685040379,0.9,"AI Follower",3,2
"SYN079",41.5,61.8,4,9851468.843549,3.03517229066238,1.3,"AI Adopter",2,3
"SYN080",19.4,49.5,4,15192897.3553353,0.117640138815364,1.3,"AI Follower",3,1
"SYN081",27.9,38.5,3,10168257.2744552,6.54672663668166,1.2,"AI Follower",3,3
"SYN082",30.8,46.5,4,9857526.27408096,1.26707884894283,1.3,"AI Follower",3,2
"SYN083",42.7,58.9,4,8318289.762015,0.975844828624782,1.3,"AI Adopter",2,2
"SYN084",20.2,29.4,2,9889189.18507222,0.469106845256466,1,"AI Laggard",3,1
"SYN085",17.5,47.3,4,35375752.1846098,0.657808183133798,1.1,"AI Follower",3,2
"SYN086",49.5,37.3,3,5240799.89815138,4.35912817436513,1,"AI Follower",2,3
"SYN087",15.7,34.1,2,15168154.6234684,0.28439062428329,1.1,"AI Follower",3,1
"SYN088",30.7,39.9,3,7230368.7119592,2.83825189485567,0.9,"AI Follower",2,3
"SYN089",55.2,37.4,3,5406771.17751434,1.55672973126527,0.9,"AI Follower",2,3
"SYN090",17.1,33.4,2,4719505.10827329,0.226269114265903,1.1,"AI Follower",1,1
"SYN091",36.4,21.2,1,3253600.62951036,4.03160780519271,0.9,"AI Laggard",1,3
"SYN092",31.3,35,3,9861509.98033343,0.371985120595176,1,"AI Follower",3,1
"SYN093",15.8,18.5,1,19595294.2808804,0.612837329319428,0.9,"AI Laggard",3,2
"SYN094",31.2,20.8,1,5256219.26013637,2.73636204174706,0.9,"AI Laggard",2,3
"SYN095",26.6,41.1,3,36295290.4965305,0.35254150374976,0.9,"AI Follower",3,1
"SYN096",20.3,24.2,1,22399997.5626843,1.21796037084167,0.9,"AI Laggard",3,2
"SYN097",29.1,29.3,2,1316060.84848868,4.28294284435159,1.1,"AI Laggard",1,3
"SYN098",35.3,50.9,4,3765099.02725429,0.202083551095781,1.2,"AI Adopter",1,1
"SYN099",39.5,36.3,3,5095499.65126175,5.0336148939838,1.1,"AI Follower",2,3
"SYN100",59.5,48,4,828097.476572211,0.955446731276326,1.1,"AI Follower",1,2
"SYN101",9.4,41.1,3,30237013.0562958,0.236550661266621,1.2,"AI Follower",3,1
"SYN102",22.2,47.8,4,14411723.9657595,1.63611574003939,1.2,"AI Follower",3,3
"SYN103",23.8,28.4,2,28170961.9547995,0.26849365799463,0.9,"AI Laggard",3,1
"SYN104",52.6,40.5,3,2143032.18828282,8.96242674939676,1.1,"AI Follower",1,3
"SYN105",57.8,40.8,3,6399448.32234171,1.14995577093189,1,"AI Follower",2,2
"SYN106",19.6,23.9,1,2964008.5922898,0.575231597605431,1,"AI Laggard",1,1
"SYN107",37.5,30.4,2,1362103.39412219,1.02900994128248,1,"AI Follower",1,2
"SYN108",25.1,27.6,2,5192548.47197529,1.18637365120615,1,"AI Laggard",2,2
"SYN109",34.9,26.1,2,7833624.11607064,0.819008618637208,0.9,"AI Laggard",2,2
"SYN110",30.3,47.5,4,15291667.5301088,0.284867158886111,1.1,"AI Follower",3,1
"SYN111",19.2,19.3,1,1855878.70597301,3.24423587023057,0.9,"AI Laggard",1,3
"SYN112",22.7,41.1,3,12920286.5812788,0.9433368970505,1.2,"AI Follower",3,2
"SYN113",37.4,33.9,2,505088.232531873,1.83987734151057,1.2,"AI Follower",1,3
"SYN114",24.1,47.7,4,8861561.76658596,0.4927357704431,1.3,"AI Follower",2,1
"SYN115",38.6,54,4,3075132.5280028,0.93375487096537,1.3,"AI Adopter",1,2
"SYN116",12.3,40.2,3,49077544.9185874,0.181088103298953,1.1,"AI Follower",3,1
"SYN117",35.8,44.1,3,1064952.06169081,12.0817036071273,1.3,"AI Follower",1,3
"SYN118",25.2,26.8,2,17535756.2939716,0.338117333908852,1,"AI Laggard",3,1
"SYN119",18.8,45.6,4,5320341.06022161,1.31900861610467,1.3,"AI Follower",2,2
"SYN120",27.9,49.3,4,8073914.78736703,0.95153616643819,1.3,"AI Follower",2,2
"SYN121",33.8,40.9,3,1828737.39241264,1.76256249470384,1.2,"AI Follower",1,3
"SYN122",23.9,34.2,3,5839066.47521388,0.855728089995673,1.1,"AI Follower",2,2
"SYN123",21.9,27.4,2,22015287.5378987,0.25279478680973,0.9,"AI Laggard",3,1
"SYN124",37.7,28.5,2,2759081.15588454,2.28838035992002,0.9,"AI Laggard",1,3
"SYN125",46.6,42.3,3,8863578.11359171,1.65032521114455,1,"AI Follower",2,3
"SYN126",46.2,25.3,1,100169.881779022,1.34109758249515,0.9,"AI Laggard",1,2
"SYN127",59,60,4,1341150.17422114,1.16661549932021,1.2,"AI Adopter",1,2
"SYN128",26.9,25.8,2,1028102.75290677,0.834555091913838,1,"AI Laggard",1,2
"SYN129",28.8,24.9,1,8197476.06953,0.590063510652673,0.9,"AI Laggard",2,1
"SYN130",54.9,100,4,181883922.428592,0.0457980306846806,1,"AI Leader",3,1
"SYN131",37.5,32.8,2,158601.041833215,44.9251247920133,1.1,"AI Follower",1,3
"SYN132",30.9,53.4,4,7955635.900021,0.140735528313766,1.3,"AI Adopter",2,1
"SYN133",47.9,48.2,4,3722805.04846288,7.86635096027361,1.3,"AI Follower",1,3
"SYN134",11.8,57.6,4,79436905.9365953,0.063543025316879,1.1,"AI Adopter",3,1
"SYN135",34,24,1,5334768.47171363,13.0457653866386,1,"AI Laggard",2,3
"SYN136",35.3,49.3,4,14316197.2316556,0.431434216362243,1.2,"AI Follower",3,1
"SYN137",36,53,4,2368109.31118113,1.13073544528549,1.3,"AI Adopter",1,2
"SYN138",43.8,44.4,4,4043109.98764562,2.39649615734237,1.3,"AI Follower",1,3
"SYN139",23.4,23.2,1,8733521.15629469,0.558601427536981,0.9,"AI Laggard",2,1
"SYN140",39.4,37.7,3,4448491.98336822,1.16659465465095,1.1,"AI Follower",1,2
"SYN141",29.5,45,4,19818034.5546687,0.529072535844664,1.1,"AI Follower",3,1
"SYN142",8.3,25.6,2,5579042.00892026,0.30996900309969,1,"AI Laggard",2,1
"SYN143",60.4,34.8,3,3711761.93736973,9.54530796517252,0.9,"AI Follower",1,3
"SYN144",28.3,21.8,1,3771096.00901859,0.679031113813722,0.9,"AI Laggard",1,2
"SYN145",26.9,38.1,3,6801017.94564129,0,1,"AI Follower",2,1
"SYN146",28.6,31.6,2,5920848.7463988,11000,1,"AI Follower",2,3
"SYN147",54.5,48.5,4,12455729.6844054,1.45441323516044,0.9,"AI Follower",3,3
"SYN148",25,29.6,2,8940537.62596695,1.04368476970189,1,"AI Laggard",2,2
"SYN149",34.8,25.5,1,9569325.94845546,0.97598946170888,0.9,"AI Laggard",2,2
"SYN150",33.6,43,3,10966275.5292981,1.01220784000982,0.9,"AI Follower",3,2
"SYN151",35.1,31.3,2,7621618.6546428,1.06054178534634,1,"AI Follower",2,2
"SYN152",25.8,38.2,3,72840284.6297495,0.108565224844295,1,"AI Follower",3,1
"SYN153",14.6,53.6,4,105121821.191653,0.94687006838506,1.3,"AI Adopter",3,2
"SYN154",35.8,16.6,1,966797.307276491,14.9361465852304,0.9,"AI Laggard",1,3
"SYN155",38.9,26.5,2,10802174.1732836,0.65425077134679,0.9,"AI Laggard",3,2
"SYN156",50.3,28.7,2,7713867.02185842,1.40332935628657,0.9,"AI Laggard",2,3
"SYN157",51.2,62.9,4,1026845.9363521,0.696328083883244,1.3,"AI Adopter",1,2
"SYN158",24.7,49.9,4,16711187.8840709,0.587175164234638,1.3,"AI Follower",3,1
"SYN159",35,24.4,1,5630068.3959723,2.66310266310266,0.9,"AI Laggard",2,3
"SYN160",28.8,37.2,3,56061032.870629,0.078064012490242,0.9,"AI Follower",3,1
"SYN161",40.7,24.8,1,2908095.75212853,9.99524036173251,0.9,"AI Laggard",1,3
"SYN162",2.5,28.6,2,1771026.02060768,0.0761868482453217,1.1,"AI Laggard",1,1
"SYN163",32.7,21.4,1,2488698.47946335,16.2398500936914,0.9,"AI Laggard",1,3
"SYN164",34.1,15.6,1,1379017.82336634,0.949963462943733,0.9,"AI Laggard",1,2
"SYN165",22.2,48.4,4,8594184.21737192,0.206469373709566,1.3,"AI Follower",2,1
"SYN166",34.3,35,3,3860639.98578002,4.80297980788081,1.2,"AI Follower",1,3
"SYN167",40,26.8,2,126307.688165387,0.550997918452308,0.9,"AI Laggard",1,1
"SYN168",11,32,2,20444063.8081287,0.562921265091475,1.1,"AI Follower",3,1
"SYN169",31.8,51.8,4,9150584.16770393,2.27601631364294,1.3,"AI Adopter",2,3
"SYN170",33.1,20.6,1,1165459.99547603,1.18490260678573,1,"AI Laggard",1,2
"SYN171",28.8,24.6,1,2132182.83634454,0.887761572606214,1,"AI Laggard",1,2
"SYN172",35.7,46.6,4,9894449.63106109,1.10982913026757,1.2,"AI Follower",3,2
"SYN173",13,22.4,1,24747391.3652197,0.361368249096579,0.9,"AI Laggard",3,1
"SYN174",41.3,27.1,2,40732.01520515,3.91727160662923,1,"AI Laggard",1,3
"SYN175",31.6,37.6,3,5189446.83428319,0.975490367469669,1.2,"AI Follower",2,2
"SYN176",27.9,25.1,1,3876558.02809833,0.75266119493925,1,"AI Laggard",1,2
"SYN177",18.3,27,2,577950.227324402,0.385695919241941,1,"AI Laggard",1,1
"SYN178",56.2,47.7,4,2725354.65240689,3.6044932724355,1.2,"AI Follower",1,3
"SYN179",4.5,32.9,2,22243449.9359661,0.0547926440875312,1.1,"AI Follower",3,1
"SYN180",21.6,37.2,3,2821344.67762921,11.2429731417864,1.2,"AI Follower",1,3
"SYN181",41.4,27.4,2,9276019.6727769,1.09438364535304,0.9,"AI Laggard",2,2
"SYN182",28.7,26.1,2,3234304.72728796,1.1776051977057,1,"AI Laggard",1,2
"SYN183",46.8,26.4,2,2679600.57140174,0.965475626050601,0.9,"AI Laggard",1,2
"SYN184",38.2,21.7,1,6120559.42957706,1.12494977902772,0.9,"AI Laggard",2,2
"SYN185",33,42,3,119431.52234345,0.984087933018531,1.3,"AI Follower",1,2
"SYN186",23.5,22.8,1,2714665.98449711,0.568525462682956,1,"AI Laggard",1,1
"SYN187",23.7,31,2,38434862.4653469,0.368768172470038,0.9,"AI Follower",3,1
"SYN188",52.3,43.8,3,129659.523192983,5.67198615650836,1.2,"AI Follower",1,3
"SYN189",30.5,27,2,11868136.8751447,0.410155587946171,0.9,"AI Laggard",3,1
"SYN190",57.9,62.4,4,4674648.31610535,1.90066936616809,1,"AI Adopter",1,3
"SYN191",28.2,37.3,3,27983610.056374,0.121733837659232,1,"AI Follower",3,1
"SYN192",43,23,1,3713935.7450361,9.60371295965727,1,"AI Laggard",1,3
"SYN193",41.9,26.3,2,8249428.45877958,0.892160142745623,0.9,"AI Laggard",2,2
"SYN194",29.4,21.2,1,5238374.15836924,0.787467188867131,0.9,"AI Laggard",2,2
"SYN195",30,43.6,3,10227123.9779261,1.01052854346331,1.2,"AI Follower",3,2
"SYN196",45.7,24,1,5520657.20013513,1.41877388618397,0.9,"AI Laggard",2,3
"SYN197",47,26.9,2,5566363.00060057,0.907715582450832,0.9,"AI Laggard",2,2
"SYN198",29.7,23.8,1,6599995.04856455,0.609731311735295,0.9,"AI Laggard",2,1
"SYN199",39.4,27.9,2,502192.142367425,1.45990267315512,1,"AI Laggard",1,3
