"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"LIN",67.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"LLY",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"LMT",NA,"AI Laggard",FALSE,"Monitor"
"LRCX",62.5,"AI Adopter",FALSE,"Monitor"
"MA",NA,"AI Laggard",FALSE,"Monitor"
"MC",NA,"AI Laggard",FALSE,"Monitor"
"MCD",NA,"AI Laggard",FALSE,"Monitor"
"MCO",NA,"AI Laggard",FALSE,"Monitor"
"MELI",NA,"AI Laggard",FALSE,"Monitor"
"META",NA,"AI Laggard",FALSE,"Monitor"
"MFG",NA,"AI Laggard",FALSE,"Monitor"
"MITSY",NA,"AI Laggard",FALSE,"Monitor"
"MKTX",NA,"AI Laggard",FALSE,"Monitor"
"MMM",NA,"AI Laggard",FALSE,"Monitor"
"MQ",NA,"AI Laggard",FALSE,"Monitor"
"MRK",48.75,"AI Laggard",FALSE,"Monitor"
"MS",NA,"AI Laggard",FALSE,"Monitor"
"MSCI",40,"AI Laggard",FALSE,"Monitor"
"MSFT",56.25,"AI Follower",FALSE,"Monitor"
"MU",81.25,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"NDAQ",NA,"AI Laggard",FALSE,"Monitor"
"NEE",NA,"AI Laggard",FALSE,"Monitor"
"NET",43.75,"AI Laggard",FALSE,"Monitor"
"NFLX",63.75,"AI Adopter",FALSE,"Growth Candidate"
"NIO",90,"AI Leader (Aggressive)",FALSE,"Monitor"
"NJDCY",65,"AI Adopter",FALSE,"Monitor"
"NOW",75,"AI Leader (Aggressive)",FALSE,"Monitor"
"NSRGY",55,"AI Follower",FALSE,"Growth Candidate"
"NTES",57.5,"AI Follower",FALSE,"Monitor"
"NTRS",NA,"AI Laggard",FALSE,"Monitor"
"NU",NA,"AI Laggard",FALSE,"Monitor"
"NVDA",62.5,"AI Adopter",FALSE,"Growth Candidate"
"NVO",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"NVS",46.25,"AI Laggard",FALSE,"Monitor"
"OKTA",46.25,"AI Laggard",FALSE,"Monitor"
"OR",NA,"AI Laggard",FALSE,"Monitor"
"ORCL",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"PAGS",NA,"AI Laggard",FALSE,"Monitor"
"PANW",45,"AI Laggard",FALSE,"Monitor"
"PCOR",66.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"PDD",57.5,"AI Follower",FALSE,"Monitor"
"PFE",80,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"PG",NA,"AI Laggard",FALSE,"Monitor"
"PYPL",45,"AI Laggard",FALSE,"Monitor"
"QCOM",61.25,"AI Adopter",FALSE,"Monitor"
"RELIANCE",NA,"AI Laggard",FALSE,"Monitor"
"RKUNY",NA,"AI Laggard",FALSE,"Monitor"
"RMSG",75,"AI Leader (Aggressive)",FALSE,"Monitor"
"RTX",41.25,"AI Laggard",FALSE,"Monitor"
"SAIL",80,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"SAP",56.25,"AI Follower",FALSE,"Monitor"
"SE",50,"AI Laggard",FALSE,"Monitor"
"SFTBF",NA,"AI Laggard",FALSE,"Monitor"
"SHEL",41.25,"AI Laggard",FALSE,"Monitor"
"SHOP",62.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"SIEGY",51.25,"AI Laggard",FALSE,"Monitor"
"SMCAY",NA,"AI Laggard",FALSE,"Monitor"
"SMCI",63.75,"AI Adopter",FALSE,"Monitor"
"SMFG",NA,"AI Laggard",FALSE,"Monitor"
"SNOW",55,"AI Follower",FALSE,"Monitor"
"SNPS",NA,"AI Laggard",FALSE,"Monitor"
"SNY",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"SOFI",NA,"AI Laggard",FALSE,"Monitor"
"SONY",NA,"AI Laggard",FALSE,"Monitor"
"SPGI",NA,"AI Laggard",FALSE,"Monitor"
"SPOT",72.5,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"SQM",NA,"AI Laggard",FALSE,"Monitor"
"SSDOY",NA,"AI Laggard",FALSE,"Monitor"
"STNE",NA,"AI Laggard",FALSE,"Monitor"
"STT",NA,"AI Laggard",FALSE,"Monitor"
"T",NA,"AI Laggard",FALSE,"Monitor"
"TAK",58.75,"AI Follower",FALSE,"Monitor"
"TCOM",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"TEAM",NA,"AI Laggard",FALSE,"Monitor"
"TM",NA,"AI Laggard",FALSE,"Monitor"
"TME",NA,"AI Laggard",FALSE,"Monitor"
"TMO",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"TOST",43.75,"AI Laggard",FALSE,"Monitor"
"TSLA",41.25,"AI Laggard",FALSE,"Monitor"
"TSM",67.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"TTDKY",NA,"AI Laggard",FALSE,"Monitor"
"TTE",NA,"AI Laggard",FALSE,"Monitor"
"TW",NA,"AI Laggard",FALSE,"Monitor"
"TWLO",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"TXN",50,"AI Laggard",FALSE,"Monitor"
"UL",50,"AI Laggard",FALSE,"Monitor"
"UNH",NA,"AI Laggard",FALSE,"Monitor"
"UPS",NA,"AI Laggard",FALSE,"Monitor"
"V",NA,"AI Laggard",FALSE,"Monitor"
"VIRT",NA,"AI Laggard",FALSE,"Monitor"
"VZ",NA,"AI Laggard",FALSE,"Monitor"
"WB",57.5,"AI Follower",FALSE,"Monitor"
"WDAY",41.25,"AI Laggard",FALSE,"Monitor"
"WMT",NA,"AI Laggard",FALSE,"Monitor"
"WORK",NA,"AI Laggard",FALSE,"Monitor"
"XOM",65,"AI Adopter",FALSE,"Monitor"
"XPEV",55,"AI Follower",FALSE,"Monitor"
"ZM",61.25,"AI Adopter",FALSE,"Monitor"
"ZS",48.75,"AI Laggard",FALSE,"Monitor"
