"ticker","ai_score","innovation_score","ai_quartile","innovation_quartile","ai_label","innovation_label","in_portfolio"
"SPOT",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"SQM",0.35,0.35,1,1,"AI Laggard","Emerging",FALSE
"SSDOY",0.375,0.375,1,1,"AI Laggard","Emerging",FALSE
"STNE",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"STT",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"T",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"TAK",0.95,0.95,4,4,"AI Leader","Leader",FALSE
"TCOM",0.875,0.875,4,4,"AI Leader","Leader",FALSE
"TEAM",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"TM",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"TME",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"TMO",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"TOST",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"TSLA",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"TSM",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"TTDKY",0.425,0.425,1,1,"AI Laggard","Emerging",FALSE
"TTE",0.85,0.85,4,4,"AI Leader","Leader",TRUE
"TW",0.85,0.85,4,4,"AI Leader","Leader",TRUE
"TWLO",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"TXN",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"UL",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"UNH",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"UPS",0.5,0.5,1,1,"AI Laggard","Emerging",TRUE
"V",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"VIRT",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"VZ",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"WB",0.775,0.775,4,4,"AI Leader","Leader",FALSE
"WDAY",0.625,0.625,3,3,"AI Adopter","Strong",TRUE
"WMT",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"WORK",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"XOM",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"XPEV",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"ZM",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"ZS",0.825,0.825,4,4,"AI Leader","Leader",TRUE
