"ticker","fund_weight","strategy_weight","innovation_score","ai_intensity_score","strategic_position","strategy"
"SYN046",0.0103103166001383,0.00617269018487048,48.4,21.9,"AI-Focused Leader","Quality Innovators"
"SYN166",0.0102949536996894,0.00590880278475358,46.4,17.7,"AI-Focused Leader","Quality Innovators"
"SYN116",0.00288785109948367,0.00140743431447248,39.4,23.5,"AI-Focused Leader","Quality Innovators"
NA,5.79702849401973,0.898694263999463,31.4,40.6,"AI Specialist (Low Overall)","AI Concentrated"
"SYN130",0.0467203398954589,0.00888414907923599,41.7,49.8,"AI-Focused Leader","AI Concentrated"
"SYN067",0.0497732398610096,0.00364903173858198,44.8,19.2,"AI-Focused Leader","AI Concentrated"
"SYN190",0.0404115189830773,0.00362621490248781,52.6,23.5,"AI-Focused Leader","AI Concentrated"
"SYN062",0.0473328300588764,0.00356048531821097,41.3,19.7,"AI-Focused Leader","AI Concentrated"
"SYN134",0.0345206187961157,0.00351941381544532,34.8,26.7,"Balanced","AI Concentrated"
"SYN180",0.0458840271739755,0.00338142172384715,44.4,19.3,"AI-Focused Leader","AI Concentrated"
"SYN178",0.0490373431649059,0.00337038829909203,52.2,18,"AI-Focused Leader","AI Concentrated"
"SYN101",0.0396545284762979,0.0031948887977836,34.8,21.1,"Balanced","AI Concentrated"
"SYN002",0.0403614739950281,0.0031593764778683,32,20.5,"Balanced","AI Concentrated"
"SYN138",0.0404286772024352,0.00305657617187568,38.7,19.8,"Balanced","AI Concentrated"
"SYN150",0.0367284659252036,0.00291706848429291,49.3,20.8,"AI-Focused Leader","AI Concentrated"
"SYN153",0.034077745243907,0.00290172476399456,14.5,22.3,"AI Specialist (Low Overall)","AI Concentrated"
"SYN095",0.0427499462766573,0.00287295446214325,32.4,17.6,"Balanced","AI Concentrated"
"SYN079",0.0334006772092544,0.0028568260139027,31.7,22.4,"Balanced","AI Concentrated"
"SYN141",0.0395092254166957,0.00283620008546112,28.6,18.8,"AI Specialist (Low Overall)","AI Concentrated"
"SYN077",0.0365686200568452,0.00270888646540447,23.5,19.4,"AI Specialist (Low Overall)","AI Concentrated"
"SYN054",0.039130727333948,0.00268949614781913,53.6,18,"AI-Focused Leader","AI Concentrated"
"SYN132",0.0318201903679874,0.00267304306397088,32.9,22,"Balanced","AI Concentrated"
"SYN004",0.0359546826540027,0.00243001652744488,38.4,17.7,"Balanced","AI Concentrated"
"SYN133",0.0290275845599826,0.00240519966045311,57.3,21.7,"AI-Focused Leader","AI Concentrated"
"SYN102",0.0335125579186715,0.0023417426642983,16.1,18.3,"AI Specialist (Low Overall)","AI Concentrated"
"SYN158",0.0291322827502154,0.00230263638597881,31.8,20.7,"Balanced","AI Concentrated"
"SYN082",0.0296642754087225,0.00215212675509726,23.3,19,"AI Specialist (Low Overall)","AI Concentrated"
"SYN021",0.0224459631345235,0.0019884136294753,39.4,23.2,"AI-Focused Leader","AI Concentrated"
"SYN088",0.029037023777375,0.00195139536524096,44.6,17.6,"AI-Focused Leader","AI Concentrated"
"SYN117",0.0206392788884696,0.00186776987585558,61,23.7,"AI-Focused Leader","AI Concentrated"
"SYN012",0.0158422355814837,0.00183290348433339,4.6,30.3,"AI Specialist (Low Overall)","AI Concentrated"
"SYN127",0.0218017406945583,0.00178149843191841,42.4,21.4,"AI-Focused Leader","AI Concentrated"
"SYN172",0.0231277754320763,0.0017220627564999,42.4,19.5,"AI-Focused Leader","AI Concentrated"
"SYN131",0.023615111512132,0.00165916021352269,59,18.4,"AI-Focused Leader","AI Concentrated"
"SYN169",0.0213164286436513,0.00161161067762435,23.3,19.8,"AI Specialist (Low Overall)","AI Concentrated"
"SYN069",0.0136299583965447,0.00137397540364494,36.5,26.4,"Balanced","AI Concentrated"
"SYN080",0.0183980512220878,0.00135584371970962,18.3,19.3,"AI Specialist (Low Overall)","AI Concentrated"
"SYN115",0.0156268876122776,0.00116952379203195,23.8,19.6,"AI Specialist (Low Overall)","AI Concentrated"
"SYN007",0.0144829543246888,0.00110050175275885,33.2,19.9,"Balanced","AI Concentrated"
"SYN157",0.014462616112316,0.00108238915246879,36.6,19.6,"Balanced","AI Concentrated"
"SYN119",0.0130738245376851,0.000913554040838814,16,18.3,"AI Specialist (Low Overall)","AI Concentrated"
"SYN046",0.0103103166001383,0.000862177365791503,48.4,21.9,"AI-Focused Leader","AI Concentrated"
"SYN083",0.0105963241341524,0.000837541009680894,25.6,20.7,"AI Specialist (Low Overall)","AI Concentrated"
"SYN013",0.0115408542423975,0.000810842082164777,24.5,18.4,"AI Specialist (Low Overall)","AI Concentrated"
"SYN114",0.00924756227061152,0.00071680958418178,34.9,20.3,"Balanced","AI Concentrated"
"SYN166",0.0102949536996894,0.000695789972067519,46.4,17.7,"AI-Focused Leader","AI Concentrated"
"SYN025",0.00574603071273305,0.000688934751578772,30.6,31.4,"AI Specialist (Low Overall)","AI Concentrated"
"SYN049",0.00559797845268622,0.000410405292136747,30.3,19.2,"AI Specialist (Low Overall)","AI Concentrated"
"SYN045",0.00504396498086862,0.000367862849907588,28.6,19.1,"AI Specialist (Low Overall)","AI Concentrated"
"SYN110",0.00431017422839068,0.00034561662242775,38.5,21,"Balanced","AI Concentrated"
"SYN116",0.00288785109948367,0.000259133260927379,39.4,23.5,"AI-Focused Leader","AI Concentrated"
"SYN003",0.00301533912937157,0.000253302423777939,18.5,22,"AI Specialist (Low Overall)","AI Concentrated"
"SYN120",0.00212837726064026,0.00015685068528059,24.4,19.3,"AI Specialist (Low Overall)","AI Concentrated"
NA,5.79702849401973,0.688344131423982,31.4,40.6,"AI Specialist (Low Overall)","Balanced Growth"
"SYN130",0.0467203398954589,0.00710689102445894,41.7,49.8,"AI-Focused Leader","Balanced Growth"
"SYN028",0.049281359387096,0.00708944444201677,60.9,14.9,"Balanced","Balanced Growth"
"SYN178",0.0490373431649059,0.00639372282176623,52.2,18,"AI-Focused Leader","Balanced Growth"
"SYN156",0.0474167908919044,0.00615995760086669,55.3,13,"General Innovator (Low AI)","Balanced Growth"
"SYN016",0.0453218468402047,0.00615166342290993,55.9,16.4,"Balanced","Balanced Growth"
"SYN030",0.049422497597523,0.00584839513688098,50.4,11.8,"General Innovator (Low AI)","Balanced Growth"
"SYN067",0.0497732398610096,0.00582250994683444,44.8,19.2,"AI-Focused Leader","Balanced Growth"
"SYN190",0.0404115189830773,0.00560280770601713,52.6,23.5,"AI-Focused Leader","Balanced Growth"
"SYN113",0.0456878972195555,0.00548687890805009,47.8,17,"Balanced","Balanced Growth"
"SYN170",0.0424530422918033,0.00535129736700941,51.8,15.4,"Balanced","Balanced Growth"
"SYN180",0.0458840271739755,0.00533648481320582,44.4,19.3,"AI-Focused Leader","Balanced Growth"
"SYN047",0.0416826331554912,0.00532190876010379,52.2,16,"Balanced","Balanced Growth"
"SYN062",0.0473328300588764,0.00523262060156025,41.3,19.7,"AI-Focused Leader","Balanced Growth"
"SYN054",0.039130727333948,0.00521331065111244,53.6,18,"AI-Focused Leader","Balanced Growth"
"SYN188",0.0494764320286922,0.00511790614640412,42.2,13.1,"General Innovator (Low AI)","Balanced Growth"
"SYN135",0.0472961643289309,0.00496922004342008,43.6,12.2,"General Innovator (Low AI)","Balanced Growth"
"SYN192",0.0410756504400633,0.00492184922747107,49.8,13.8,"Balanced","Balanced Growth"
"SYN107",0.0476912895103451,0.00488482020602428,41.9,12.8,"General Innovator (Low AI)","Balanced Growth"
"SYN154",0.0488474574438296,0.0048378999128411,42.7,9.1,"General Innovator (Low AI)","Balanced Growth"
"SYN143",0.0327619260288775,0.00482391089085014,62.7,14.7,"Balanced","Balanced Growth"
"SYN198",0.0477176386481151,0.00481645134593032,42.1,11.4,"General Innovator (Low AI)","Balanced Growth"
"SYN100",0.0420894889349584,0.00479543886186946,45.9,15.3,"Balanced","Balanced Growth"
"SYN150",0.0367284659252036,0.00471175384308389,49.3,20.8,"AI-Focused Leader","Balanced Growth"
"SYN108",0.045680581868859,0.00465413222128651,41.1,13.6,"Balanced","Balanced Growth"
"SYN171",0.0429491034843959,0.00462297789881924,43.8,13.8,"Balanced","Balanced Growth"
"SYN104",0.0477339737638831,0.00432045600781597,36.3,12.4,"Balanced","Balanced Growth"
"SYN138",0.0404286772024352,0.00426136499820826,38.7,19.8,"Balanced","Balanced Growth"
"SYN133",0.0290275845599826,0.0042308294500454,57.3,21.7,"AI-Focused Leader","Balanced Growth"
"SYN181",0.0486094471500255,0.00413643828842906,35.5,9.6,"Balanced","Balanced Growth"
"SYN195",0.0481487540616654,0.00411027358516879,31.3,16.1,"Balanced","Balanced Growth"
"SYN014",0.0411660965608899,0.00407155676828159,39.3,14.1,"Balanced","Balanced Growth"
"SYN164",0.0418127444451675,0.00405059570513023,41.9,8.7,"General Innovator (Low AI)","Balanced Growth"
"SYN101",0.0396545284762979,0.00393547674519902,34.8,21.1,"Balanced","Balanced Growth"
"SYN095",0.0427499462766573,0.00383172337569189,32.4,17.6,"Balanced","Balanced Growth"
"SYN091",0.0379405623483472,0.00382445056362294,43.1,9.8,"General Innovator (Low AI)","Balanced Growth"
"SYN122",0.0408317414938938,0.00382011587298248,36.2,14.8,"Balanced","Balanced Growth"
"SYN002",0.0403614739950281,0.00374333052239812,32,20.5,"Balanced","Balanced Growth"
"SYN197",0.0321528747789562,0.00374167684081176,49.9,11.1,"General Innovator (Low AI)","Balanced Growth"
"SYN134",0.0345206187961157,0.00368770490480359,34.8,26.7,"Balanced","Balanced Growth"
"SYN196",0.0385055405749008,0.00367547038240617,39,12,"General Innovator (Low AI)","Balanced Growth"
"SYN004",0.0359546826540027,0.00366565022015435,38.4,17.7,"Balanced","Balanced Growth"
"SYN105",0.0353478177220095,0.00357027788634361,41.2,12.8,"General Innovator (Low AI)","Balanced Growth"
"SYN123",0.0362270008756313,0.00353400331412998,37.7,15.5,"Balanced","Balanced Growth"
"SYN175",0.0377278299494647,0.00351950538101763,36.4,14.3,"Balanced","Balanced Growth"
"SYN131",0.023615111512132,0.00341797035463902,59,18.4,"AI-Focused Leader","Balanced Growth"
"SYN088",0.029037023777375,0.00332207470851407,44.6,17.6,"AI-Focused Leader","Balanced Growth"
"SYN141",0.0395092254166957,0.00330053441167963,28.6,18.8,"AI Specialist (Low Overall)","Balanced Growth"
"SYN117",0.0206392788884696,0.00321919722215344,61,23.7,"AI-Focused Leader","Balanced Growth"
"SYN079",0.0334006772092544,0.00316332327570047,31.7,22.4,"Balanced","Balanced Growth"
"SYN147",0.0364140567595605,0.00309127179489647,34.2,11.4,"Balanced","Balanced Growth"
"SYN132",0.0318201903679874,0.00307395380502129,32.9,22,"Balanced","Balanced Growth"
"SYN024",0.0357062686625868,0.00304327212826894,35.1,10.3,"Balanced","Balanced Growth"
"SYN193",0.0263202424929477,0.00297739823185867,48.1,11.4,"General Innovator (Low AI)","Balanced Growth"
"SYN037",0.0284926687639672,0.00288945232211666,38.8,16.7,"Balanced","Balanced Growth"
"SYN097",0.0284140961465891,0.00285647803820507,40.7,13.2,"General Innovator (Low AI)","Balanced Growth"
"SYN146",0.0300503062577918,0.00282160329351451,37.1,13.7,"Balanced","Balanced Growth"
"SYN048",0.0204798800244462,0.00280474821908573,57.7,14.6,"Balanced","Balanced Growth"
"SYN051",0.0269263181709684,0.00278164751974307,40.6,15.4,"Balanced","Balanced Growth"
"SYN158",0.0291322827502154,0.00269793327084913,31.8,20.7,"Balanced","Balanced Growth"
"SYN172",0.0231277754320763,0.00260216883506296,42.4,19.5,"AI-Focused Leader","Balanced Growth"
"SYN017",0.0304801478784066,0.00257102146244438,30.6,16.4,"Balanced","Balanced Growth"
"SYN015",0.0287635481772013,0.00257031872084118,37.4,9.9,"Balanced","Balanced Growth"
"SYN011",0.0306177790083457,0.0025577578947813,34.8,9.5,"Balanced","Balanced Growth"
"SYN106",0.0296654124455526,0.00253844673443695,34.4,11.6,"Balanced","Balanced Growth"
"SYN127",0.0218017406945583,0.00250905788826593,42.4,21.4,"AI-Focused Leader","Balanced Growth"
"SYN021",0.0224459631345235,0.00250114382630472,39.4,23.2,"AI-Focused Leader","Balanced Growth"
"SYN144",0.0291742929776665,0.00246679675459649,35.3,9.5,"Balanced","Balanced Growth"
"SYN124",0.0269492604422849,0.00245197879637613,37.4,11.1,"Balanced","Balanced Growth"
"SYN075",0.0233459748122841,0.00223950714783707,36.9,15.5,"Balanced","Balanced Growth"
"SYN140",0.0203350596898235,0.00200299117067492,38.5,15,"Balanced","Balanced Growth"
"SYN065",0.0228018417209387,0.00199435759030499,33,15.1,"Balanced","Balanced Growth"
"SYN161",0.0163852048940025,0.00189456859020715,49.4,11.3,"General Innovator (Low AI)","Balanced Growth"
"SYN186",0.0209745935869869,0.00183169793092824,34.8,12.3,"Balanced","Balanced Growth"
"SYN031",0.0200063549419865,0.00171734604058942,30.8,17.2,"Balanced","Balanced Growth"
"SYN053",0.0149627649171744,0.00151332790468648,39.8,15,"Balanced","Balanced Growth"
"SYN069",0.0136299583965447,0.00149755796066859,36.5,26.4,"Balanced","Balanced Growth"
"SYN157",0.014462616112316,0.00145882674635491,36.6,19.6,"Balanced","Balanced Growth"
"SYN121",0.0149264946812764,0.0014500411320277,36.7,16.7,"Balanced","Balanced Growth"
"SYN072",0.0164574163844809,0.00144501456096804,38.5,7.1,"Balanced","Balanced Growth"
"SYN033",0.0142048095993232,0.00141743610324143,41.4,11.6,"General Innovator (Low AI)","Balanced Growth"
"SYN089",0.0124864017101936,0.0013879730886584,46.2,12.8,"General Innovator (Low AI)","Balanced Growth"
"SYN007",0.0144829543246888,0.00136675453893079,33.2,19.9,"Balanced","Balanced Growth"
"SYN046",0.0103103166001383,0.00131918102443415,48.4,21.9,"AI-Focused Leader","Balanced Growth"
"SYN073",0.0155179914876353,0.00130370064634902,36.1,7.9,"Balanced","Balanced Growth"
"SYN043",0.00950711671076715,0.00124666290247076,54.1,15.7,"Balanced","Balanced Growth"
"SYN166",0.0102949536996894,0.00121685611023632,46.4,17.7,"AI-Focused Leader","Balanced Growth"
"SYN114",0.00924756227061152,0.000909627263789694,34.9,20.3,"Balanced","Balanced Growth"
"SYN099",0.00721912851883099,0.00064461463162759,34.3,14.5,"Balanced","Balanced Growth"
"SYN025",0.00574603071273305,0.000601378673242446,30.6,31.4,"AI Specialist (Low Overall)","Balanced Growth"
"SYN086",0.00684414925612509,0.000592598580054898,34.5,12.2,"Balanced","Balanced Growth"
"SYN049",0.00559797845268622,0.000490004803476115,30.3,19.2,"AI Specialist (Low Overall)","Balanced Growth"
"SYN110",0.00431017422839068,0.000459563971587274,38.5,21,"Balanced","Balanced Growth"
"SYN064",0.00506788335787132,0.000450122824836342,34.4,14,"Balanced","Balanced Growth"
"SYN185",0.00454169699829072,0.000438438085042517,36,17.3,"Balanced","Balanced Growth"
"SYN045",0.00504396498086862,0.000423413146167486,28.6,19.1,"AI Specialist (Low Overall)","Balanced Growth"
"SYN040",0.003827054644702,0.000367635675499288,37.5,14.7,"Balanced","Balanced Growth"
"SYN116",0.00288785109948367,0.000322964977564984,39.4,23.5,"AI-Focused Leader","Balanced Growth"
"SYN159",0.00260435603535734,0.000218621379580045,34.8,9.8,"Balanced","Balanced Growth"
"SYN023",0.00202935704425909,0.000198379251191256,39,13.7,"Balanced","Balanced Growth"
