"ticker","market_cap","volatility","total_return","rd_expense","patent_activity","rd_intensity","revenue_growth","industry","innovation_score","innovation_quartile","innovation_label","n_obs","first_date","last_date","n_funds","total_fund_weight","total_position_value","avg_dumac_allocation","latest_holdings_date","fund_names","in_portfolio","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_balanced_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","anomaly_score","is_anomaly","strategic_profile"
"AMD US",48696379091,0.237753311714383,0.0539233400000001,6456,689,0.000000132576592356806,0.1369047619,"Semiconductors & Semiconductor",0.625,2,"Developing",200,"2019-01-01","2019-10-07",2,0.003114136,411357.32566,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.5,0.9375,4,"AI Leader",0,0.00282684972358341,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.123978900896001,FALSE,"Balanced Performer"
"AMT US",39895037873,0.339250412189365,0.192172412,1196851136.19,0,0.03,0.0114859871,"Equity Real Estate Investment",0.475,1,"Emerging",200,"2019-01-01","2019-10-07",5,-0.009961795,289869.6601037,0.013157895,"12/31/2024","BWCP, LP (Blackwell Series - A); Silverback Asset Management (Blackwell - Series B); Silverback Convertible Fund Limited; Bridgewater Pure Alpha Fund II, Ltd.; Nantahala Capital Mangement, LLC (Blackwell - Series A)",TRUE,1,0.475,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.367968005661806,FALSE,"Underperformer"
"AMZN US",5483063208,0.230993541576566,-0.00490558489999993,88544,0,0.0000161486374752731,0.1099089225,"Consumer Discretionary Distrib",0.6,2,"Developing",200,"2019-01-01","2019-10-07",4,0.149275576,17756591.2402,0.013157895,"12/31/2024","BWCP, LP (Blackwell Series - A); Stony Point Capital LLC (Blackwell - Series E); Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1,0.6,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.145197677159611,FALSE,"Underperformer"
"AMZN US",5483063208,0.230993541576566,-0.00490558489999993,88544,0,0.0000161486374752731,0.1099089225,"Consumer Discretionary Distrib",0.6,2,"Developing",200,"2019-01-01","2019-10-07",4,0.149275576,17756591.2402,0.013157895,"12/31/2024","BWCP, LP (Blackwell Series - A); Stony Point Capital LLC (Blackwell - Series E); Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1,0.6,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.145197677159611,FALSE,"Underperformer"
"ANET US",53961902964,0.249406865465607,0.286071596,996.717,0,0.0000000184707533510252,0.1950418486,"Technology Hardware & Equipmen",0.45,1,"Emerging",200,"2019-01-01","2019-10-07",2,0.001216258,157253.89194,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.2,0.54,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.127098495489799,FALSE,"Underperformer"
"APD US",31168301674,0.245557890053627,0.0520301539999999,96.3,48.5,0.00000000308967748731499,-0.00523114556,"Materials",0.45,1,"Emerging",200,"2019-01-01","2019-10-07",2,-0.014139087,-677755.2065,0.013157895,"12/31/2024","Direct: Systematic Short (Blackwell); Numerai GP LLC (Blackwell - Series A)",TRUE,0.8,0.36,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.201795622240007,FALSE,"Underperformer"
"ASML US",75439199519,0.261040039966572,1.010870122,4303.7,54.9,0.0000000570485904866485,0.025560172,"Semiconductors & Semiconductor",0.575,2,"Developing",200,"2019-01-01","2019-10-07",1,0.0001372,18017.671914,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.",TRUE,1.5,0.8625,4,"AI Leader",0,0.000124542981448352,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.0499434739724704,FALSE,"Underperformer"
"ASML US",75439199519,0.261040039966572,1.010870122,4303.7,54.9,0.0000000570485904866485,0.025560172,"Semiconductors & Semiconductor",0.575,2,"Developing",200,"2019-01-01","2019-10-07",1,0.0001372,18017.671914,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.",TRUE,1.5,0.8625,4,"AI Leader",0,0.000124542981448352,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.0499434739724704,FALSE,"AI Focused (Low Innovation)"
"BABA US",65802451176,0.230855616023886,0.140607471,57151,0,0.000000868523876825497,0.05862821515,"Consumer Discretionary Distrib",0.55,1,"Emerging",200,"2019-01-01","2019-10-07",4,0.40674500907,32275053.8955856,0.013157895,"12/31/2024","Jones Road Capital Management LP (Blackwell-Series A); Discerene Group LP (Blackwell - Series A); HongShan Capital Growth 2010 Fund, LP (fka Sequoia Capital China Growth 2010 Fund, LP); Tiger Global Private Investment Partners VII, L.P.",TRUE,1,0.55,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.00900587968147988,FALSE,"Underperformer"
"BABA US",65802451176,0.230855616023886,0.140607471,57151,0,0.000000868523876825497,0.05862821515,"Consumer Discretionary Distrib",0.55,1,"Emerging",200,"2019-01-01","2019-10-07",4,0.40674500907,32275053.8955856,0.013157895,"12/31/2024","Jones Road Capital Management LP (Blackwell-Series A); Discerene Group LP (Blackwell - Series A); HongShan Capital Growth 2010 Fund, LP (fka Sequoia Capital China Growth 2010 Fund, LP); Tiger Global Private Investment Partners VII, L.P.",TRUE,1,0.55,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0,FALSE,"Underperformer"
"BABA US",65802451176,0.230855616023886,0.140607471,57151,0,0.000000868523876825497,0.05862821515,"Consumer Discretionary Distrib",0.55,1,"Emerging",200,"2019-01-01","2019-10-07",4,0.40674500907,32275053.8955856,0.013157895,"12/31/2024","Jones Road Capital Management LP (Blackwell-Series A); Discerene Group LP (Blackwell - Series A); HongShan Capital Growth 2010 Fund, LP (fka Sequoia Capital China Growth 2010 Fund, LP); Tiger Global Private Investment Partners VII, L.P.",TRUE,1,0.55,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0,FALSE,"Underperformer"
"BIO US",98213132980,0.130726152374148,0.110773031,295.9,1.1,0.00000000301283536144048,-0.03921816729,"Pharmaceuticals, Biotechnology",0.55,1,"Emerging",200,"2019-01-01","2019-10-07",7,-0.000772037,566098.920188,0.013157895,"12/31/2024","Silverback Asset Management (Blackwell - Series B); Silverback Convertible Fund Limited; Nantahala Capital Mangement, LLC (Blackwell - Series A); Paradigm BioCapital Advisors (Blackwell - Series A); Philosophy Capital Management, LLC (Blackwell - Series A); Direct: Systematic Short (Blackwell); Numerai GP LLC (Blackwell - Series A)",TRUE,1.2,0.66,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.306401499933323,FALSE,"Underperformer"
"BOTZ US",14789403273,0.315762344467808,0.00322911700000006,443682098.19,0,0.03,0.05,"Unknown",0.525,1,"Emerging",200,"2019-01-01","2019-10-07",0,0,0,NA,NA,"",TRUE,1,0.525,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.258938538551419,FALSE,"Underperformer"
"CAT US",106000000000,0.229420771371022,0.175595803,2107,0,0.000000019877358490566,-0.03356695497,"Capital Goods",0.35,1,"Emerging",200,"2019-01-01","2019-10-07",3,-0.072316084,-13649879.06318,0.013157895,"12/31/2024","Solas Capital Management LLC (Blackwell - Series A); Numerai GP LLC (Blackwell - Series A); Nantahala Capital Mangement, LLC (Blackwell - Series A)",TRUE,0.9,0.315,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.284959676637186,FALSE,"Underperformer"
"CAT US",106000000000,0.229420771371022,0.175595803,2107,0,0.000000019877358490566,-0.03356695497,"Capital Goods",0.35,1,"Emerging",200,"2019-01-01","2019-10-07",3,-0.072316084,-13649879.06318,0.013157895,"12/31/2024","Solas Capital Management LLC (Blackwell - Series A); Numerai GP LLC (Blackwell - Series A); Nantahala Capital Mangement, LLC (Blackwell - Series A)",TRUE,0.9,0.315,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.284959676637186,FALSE,"Underperformer"
"CRM US",26733733932,0.339250412189365,0.192172412,5493,0,0.000000205470736484922,0.0871560949,"Software & Services",0.425,1,"Emerging",200,"2019-01-01","2019-10-07",2,0.006349306,824385.84102,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.4,0.595,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.243202961485965,FALSE,"Underperformer"
"CRM US",26733733932,0.339250412189365,0.192172412,5493,0,0.000000205470736484922,0.0871560949,"Software & Services",0.425,1,"Emerging",200,"2019-01-01","2019-10-07",2,0.006349306,824385.84102,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.4,0.595,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.243202961485965,FALSE,"Underperformer"
"CVX US",52652234273,0.272024245809446,-0.0402880055999999,353,0,0.00000000670436886248183,-0.01776926866,"Energy",0.25,1,"Emerging",200,"2019-01-01","2019-10-07",4,0.193550484,34463244.0486,0.013157895,"12/31/2024","Numerai GP LLC (Blackwell - Series A); Nantahala Capital Mangement, LLC (Blackwell - Series A); Paradigm BioCapital Advisors (Blackwell - Series A); Saturn V Capital Management (Blackwell - Series E)",TRUE,0.7,0.175,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.420302608828976,FALSE,"Underperformer"
"CVX US",52652234273,0.272024245809446,-0.0402880055999999,353,0,0.00000000670436886248183,-0.01776926866,"Energy",0.25,1,"Emerging",200,"2019-01-01","2019-10-07",4,0.193550484,34463244.0486,0.013157895,"12/31/2024","Numerai GP LLC (Blackwell - Series A); Nantahala Capital Mangement, LLC (Blackwell - Series A); Paradigm BioCapital Advisors (Blackwell - Series A); Saturn V Capital Management (Blackwell - Series E)",TRUE,0.7,0.175,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.420302608828976,FALSE,"Underperformer"
"DE US",72506536458,0.205805204615083,0.045066617,2290,722,0.0000000315833594027278,-0.1556709278,"Capital Goods",0.625,2,"Developing",200,"2019-01-01","2019-10-07",5,-0.016193686,-3247523.4188,0.013157895,"12/31/2024","Nantahala Capital Mangement, LLC (Blackwell - Series A); Numerai GP LLC (Blackwell - Series A); Permian Investment Partners (Blackwell - Series E); Alta Fundamental Advisers LLC (Blackwell - Series A); Philosophy Capital Management, LLC (Blackwell - Series A)",TRUE,0.9,0.5625,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.177512157413237,FALSE,"Underperformer"
"DE US",72506536458,0.205805204615083,0.045066617,2290,722,0.0000000315833594027278,-0.1556709278,"Capital Goods",0.625,2,"Developing",200,"2019-01-01","2019-10-07",5,-0.016193686,-3247523.4188,0.013157895,"12/31/2024","Nantahala Capital Mangement, LLC (Blackwell - Series A); Numerai GP LLC (Blackwell - Series A); Permian Investment Partners (Blackwell - Series E); Alta Fundamental Advisers LLC (Blackwell - Series A); Philosophy Capital Management, LLC (Blackwell - Series A)",TRUE,0.9,0.5625,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.177512157413237,FALSE,"Underperformer"
"DUK US",129000000000,0.226219576838681,0.336882495,3870000000,0,0.03,0.04463179628,"Utilities",0.7,3,"Strong",200,"2019-01-01","2019-10-07",1,-0.008839623,-1220692.683,0.013157895,"12/31/2024","Jones Road Capital Management LP (Blackwell-Series A)",TRUE,0.5,0.35,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.384089929364452,FALSE,"Underperformer"
"GE US",5438430556,0.176893193598843,0.0531646750000001,1286,1985,0.000000236465279230459,0.09488514202,"Capital Goods",0.8,4,"Leader",200,"2019-01-01","2019-10-07",8,0.1635085,38445363.07022,0.013157895,"12/31/2024","Direct: Short Strategy 1a (Blackwell); Nantahala Capital Mangement, LLC (Blackwell - Series A); Paradigm BioCapital Advisors (Blackwell - Series A); Solas Capital Management LLC (Blackwell - Series A); Bridgewater Pure Alpha Fund II, Ltd.; The Children's Investment Fund; Gladstone Capital Management LLP (Blackwell - Series E); Numerai GP LLC (Blackwell - Series A)",TRUE,0.9,0.72,3,"AI Adopter",0.213250305541802,0,0.0992263288039576,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.332208118727269,FALSE,"Balanced Performer"
"HDB US",53771979039,0.304650260224613,-0.0327400564,1613159371.17,0,0.03,0.1538111314,"Banks",0.7,3,"Strong",200,"2019-01-01","2019-10-07",0,0,0,NA,NA,"",TRUE,1,0.7,3,"AI Adopter",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.205457584739965,FALSE,"Balanced Performer"
"HDB US",53771979039,0.304650260224613,-0.0327400564,1613159371.17,0,0.03,0.1538111314,"Banks",0.7,3,"Strong",200,"2019-01-01","2019-10-07",0,0,0,NA,NA,"",TRUE,1,0.7,3,"AI Adopter",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.205457584739965,FALSE,"Balanced Performer"
"IBM US",56783394683,0.229420771371022,0.175595803,7479,1307,0.000000131711040556001,0.01443582283,"Software & Services",0.7,3,"Strong",200,"2019-01-01","2019-10-07",3,-0.109663336,-7697145.6002,0.013157895,"12/31/2024","BWCP, LP (Blackwell Series - A); Direct: Slow Growth High Valuation Short (Blackwell); Numerai GP LLC (Blackwell - Series A)",TRUE,1.4,0.98,4,"AI Leader",0,-0.0995466386371162,-0.0665499973131359,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.112075809757557,FALSE,"Balanced Performer"
"IBM US",56783394683,0.229420771371022,0.175595803,7479,1307,0.000000131711040556001,0.01443582283,"Software & Services",0.7,3,"Strong",200,"2019-01-01","2019-10-07",3,-0.109663336,-7697145.6002,0.013157895,"12/31/2024","BWCP, LP (Blackwell Series - A); Direct: Slow Growth High Valuation Short (Blackwell); Numerai GP LLC (Blackwell - Series A)",TRUE,1.4,0.98,4,"AI Leader",0,-0.0995466386371162,-0.0665499973131359,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.112075809757557,FALSE,"Balanced Performer"
"INF US",86902035022,0.276525220873437,0.318397952,2607061050.66,0,0.03,0.05,"Unknown",0.6,2,"Developing",200,"2019-01-01","2019-10-07",3,-0.024643041,-744538.5948,0.013157895,"12/31/2024","Direct: Short Strategy 1a (Blackwell); Direct: Slow Growth High Valuation Short (Blackwell); Numerai GP LLC (Blackwell - Series A)",TRUE,1,0.6,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.194114766186697,FALSE,"Underperformer"
"INTC US",24707385255,0.141492259060142,0.0324446969999999,16546,1535,0.000000669678309915518,-0.02078262152,"Semiconductors & Semiconductor",0.775,4,"Leader",200,"2019-01-01","2019-10-07",2,-0.003693614,2980078.0228,0.013157895,"12/31/2024","Discerene Group LP (Blackwell - Series A); Direct: Systematic Short (Blackwell)",TRUE,1.5,1.1625,4,"AI Leader",-0.00481726830136339,-0.00335286953264848,-0.00224149666371413,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.399378981604267,FALSE,"AI Pioneer"
"INTC US",24707385255,0.141492259060142,0.0324446969999999,16546,1535,0.000000669678309915518,-0.02078262152,"Semiconductors & Semiconductor",0.775,4,"Leader",200,"2019-01-01","2019-10-07",2,-0.003693614,2980078.0228,0.013157895,"12/31/2024","Discerene Group LP (Blackwell - Series A); Direct: Systematic Short (Blackwell)",TRUE,1.5,1.1625,4,"AI Leader",-0.00481726830136339,-0.00335286953264848,-0.00224149666371413,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.399378981604267,FALSE,"AI Pioneer"
"J US",125000000000,0.232692564832148,0.253955524,3750000000,191.485,0.03,0.05985585297,"Commercial & Professional Serv",0.775,4,"Leader",200,"2019-01-01","2019-10-07",5,0.040270603,1698095.5342779,0.013157895,"12/31/2024","Goehring & Rozencwajg Global Natural Resources Fund (Separate Account); Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A); Nantahala Capital Mangement, LLC (Blackwell - Series A); Paradigm BioCapital Advisors (Blackwell - Series A)",TRUE,1,0.775,3,"AI Adopter",0.0525215410458942,0,0.0244385098903827,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.396666752706222,FALSE,"Balanced Performer"
"JBL US",75720330870,0.229420771371022,0.175595803,26,58,0.000000000343368811272602,0.03181802444,"Technology Hardware & Equipmen",0.55,2,"Developing",200,"2019-01-01","2019-10-07",3,0.163627893,28381647.85005,0.013157895,"12/31/2024","Praesidium (Separate Account); Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.2,0.66,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.0281893472745881,FALSE,"Underperformer"
"KO US",80502973362,0.231315634112939,0.00942554200000001,2415089200.86,13301,0.03,0.02856580845,"Food, Beverage & Tobacco",0.85,4,"Leader",200,"2019-01-01","2019-10-07",5,-0.024350247,-3529717.67398,0.013157895,"12/31/2024","Nantahala Capital Mangement, LLC (Blackwell - Series A); Numerai GP LLC (Blackwell - Series A); Permian Investment Partners (Blackwell - Series E); Bridgewater Pure Alpha Fund II, Ltd.; Direct: Opportunistic Highly Levered (Blackwell)",TRUE,1,0.85,4,"AI Leader",-0.0317579674008895,-0.0221038801777243,-0.0147771254416717,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.574999335360072,TRUE,"Balanced Performer"
"LIN US",73183088694,0.150105117684965,0.223387082,150,2239,0.00000000204965385687934,0.0045960918,"Materials",0.625,3,"Strong",200,"2019-01-01","2019-10-07",0,0,0,NA,NA,"",TRUE,0.8,0.5,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.281145810278843,FALSE,"Underperformer"
"LLY US",39817217668,0.272024245809446,-0.0402880055999999,10990.6,0,0.000000276026318354053,0.3199674131,"Pharmaceuticals, Biotechnology",0.55,2,"Developing",200,"2019-01-01","2019-10-07",4,-0.002416217,-312096.843971,0.013157895,"12/31/2024","Gladstone Capital Management LLP (Blackwell - Series E); Bridgewater Pure Alpha Fund II, Ltd.; Nantahala Capital Mangement, LLC (Blackwell - Series A); Numerai GP LLC (Blackwell - Series A)",TRUE,1.2,0.66,2,"AI Follower",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.236565499827002,FALSE,"Underperformer"
"LMT US",9953464005,0.240981307000555,-0.1104673814,298603920.15,837,0.03,0.05138298974,"Capital Goods",0.8,4,"Leader",200,"2019-01-01","2019-10-07",1,0.001392766,174425.95998,0.013157895,"12/31/2024","Numerai GP LLC (Blackwell - Series A)",TRUE,0.9,0.72,3,"AI Adopter",0,0,0.000845210231045926,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.241390161091405,FALSE,"Balanced Performer"
"LMT US",9953464005,0.240981307000555,-0.1104673814,298603920.15,837,0.03,0.05138298974,"Capital Goods",0.8,4,"Leader",200,"2019-01-01","2019-10-07",1,0.001392766,174425.95998,0.013157895,"12/31/2024","Numerai GP LLC (Blackwell - Series A)",TRUE,0.9,0.72,3,"AI Adopter",0,0,0.000845210231045926,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.241390161091405,FALSE,"Balanced Performer"
"META US",99064092382,0.205712056705423,0.05268333,43873,87,0.000000442874899926623,0.2194111281,"Media & Entertainment",0.85,4,"Leader",200,"2019-01-01","2019-10-07",6,0.249545108,30082166.7554,0.013157895,"12/31/2024","Jones Road Capital Management LP (Blackwell-Series A); Gladstone Capital Management LLP (Blackwell - Series E); Maso Capital Partners Limited (Blackwell - Series A); Stony Point Capital LLC (Blackwell - Series E); Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.3,1.105,4,"AI Leader",0.325460575612044,0.226523992391916,0.151438273470964,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.286891969466744,FALSE,"AI Pioneer"
"META US",99064092382,0.205712056705423,0.05268333,43873,87,0.000000442874899926623,0.2194111281,"Media & Entertainment",0.85,4,"Leader",200,"2019-01-01","2019-10-07",6,0.249545108,30082166.7554,0.013157895,"12/31/2024","Jones Road Capital Management LP (Blackwell-Series A); Gladstone Capital Management LLP (Blackwell - Series E); Maso Capital Partners Limited (Blackwell - Series A); Stony Point Capital LLC (Blackwell - Series E); Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.3,1.105,4,"AI Leader",0.325460575612044,0.226523992391916,0.151438273470964,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.286891969466744,FALSE,"AI Pioneer"
"MSFT US",61918040469,0.186061249718149,0.162072094,32488,0,0.00000052469360712837,0.1493215623,"Software & Services",0.725,3,"Strong",200,"2019-01-01","2019-10-07",7,0.625826236,115292261.384,0.013157895,"12/31/2024","Jones Road Capital Management LP (Blackwell-Series A); The Children's Investment Fund; BWCP, LP (Blackwell Series - A); Gladstone Capital Management LLP (Blackwell - Series E); Stony Point Capital LLC (Blackwell - Series E); Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.4,1.015,4,"AI Leader",0,0.568092312682505,0.379787227376431,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.107733626990016,FALSE,"Balanced Performer"
