"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"CRWD",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"CSCO",58.75,"AI Follower",FALSE,"Monitor"
"CVX",42.5,"AI Laggard",FALSE,"Monitor"
"DDOG",85,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"DE",46.25,"AI Laggard",FALSE,"Monitor"
"DIS",57.5,"AI Follower",FALSE,"Monitor"
"DOCU",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"DUK",55,"AI Follower",FALSE,"Monitor"
"FSLY",85,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"GE",52.5,"AI Follower",FALSE,"Monitor"
"GOOGL",88.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"GRAB",80,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"GS",60,"AI Adopter",FALSE,"Monitor"
"HD",51.25,"AI Follower",FALSE,"Monitor"
"HMC",37.5,"AI Laggard",FALSE,"Monitor"
"HOOD",90,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"HSBC",40,"AI Laggard",FALSE,"Monitor"
"HTHIY",48.75,"AI Laggard",FALSE,"Monitor"
"HUBS",90,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"IBM",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"IBN",40,"AI Laggard",FALSE,"Monitor"
"ICE",67.5,"AI Adopter",FALSE,"Monitor"
"INF",53.75,"AI Follower",FALSE,"Monitor"
"INFY",38.75,"AI Laggard",FALSE,"Monitor"
"INTC",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"IQ",60,"AI Adopter",FALSE,"Monitor"
"J",50,"AI Follower",FALSE,"Monitor"
"JBL",47.5,"AI Laggard",FALSE,"Monitor"
"JD",65,"AI Adopter",FALSE,"Growth Candidate"
"JNJ",53.75,"AI Follower",FALSE,"Monitor"
"JPM",45,"AI Laggard",FALSE,"Monitor"
"KKR",32.5,"AI Laggard",FALSE,"Monitor"
"KO",56.25,"AI Follower",FALSE,"Monitor"
"KSPI",45,"AI Laggard",FALSE,"Monitor"
"LI",63.75,"AI Adopter",FALSE,"Monitor"
"LIN",51.25,"AI Follower",FALSE,"Monitor"
"LLY",91.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"LMT",40,"AI Laggard",FALSE,"Monitor"
"LRCX",85,"AI Leader (Aggressive)",FALSE,"Monitor"
"MA",83.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"MC",46.25,"AI Laggard",FALSE,"Monitor"
"MCD",48.75,"AI Laggard",FALSE,"Monitor"
"MCO",82.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"MELI",71.25,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"META",52.5,"AI Follower",FALSE,"Monitor"
"MFG",57.5,"AI Follower",FALSE,"Monitor"
"MITSY",55,"AI Follower",FALSE,"Monitor"
"MKTX",41.25,"AI Laggard",FALSE,"Monitor"
"MMM",37.5,"AI Laggard",FALSE,"Monitor"
"MQ",67.5,"AI Adopter",FALSE,"Growth Candidate"
"MRK",48.75,"AI Laggard",FALSE,"Monitor"
"MS",77.5,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"MSCI",62.5,"AI Adopter",FALSE,"Monitor"
"MSFT",82.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"MU",93.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"NDAQ",50,"AI Follower",FALSE,"Growth Candidate"
"NEE",66.25,"AI Adopter",FALSE,"Monitor"
"NET",62.5,"AI Adopter",FALSE,"Monitor"
"NFLX",76.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"NIO",93.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"NJDCY",68.75,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"NOW",91.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"NSRGY",37.5,"AI Laggard",FALSE,"Monitor"
"NTES",77.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"NTRS",43.75,"AI Laggard",FALSE,"Monitor"
"NU",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"NVDA",85,"AI Leader (Aggressive)",FALSE,"Monitor"
"NVO",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"NVS",52.5,"AI Follower",FALSE,"Monitor"
"OKTA",52.5,"AI Follower",FALSE,"Monitor"
"OR",53.75,"AI Follower",FALSE,"Monitor"
"ORCL",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"PAGS",52.5,"AI Follower",FALSE,"Monitor"
"PANW",77.5,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"PCOR",52.5,"AI Follower",FALSE,"Monitor"
"PDD",61.25,"AI Adopter",FALSE,"Monitor"
"PFE",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"PG",41.25,"AI Laggard",FALSE,"Monitor"
"PYPL",51.25,"AI Follower",FALSE,"Monitor"
"QCOM",77.5,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"RELIANCE",55,"AI Follower",FALSE,"Monitor"
"RKUNY",61.25,"AI Adopter",FALSE,"Monitor"
"RMSG",56.25,"AI Follower",FALSE,"Monitor"
"RTX",47.5,"AI Laggard",FALSE,"Monitor"
"SAIL",56.25,"AI Follower",FALSE,"Monitor"
"SAP",92.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"SE",56.25,"AI Follower",FALSE,"Monitor"
"SFTBF",62.5,"AI Adopter",FALSE,"Monitor"
"SHEL",51.25,"AI Follower",FALSE,"Monitor"
"SHOP",65,"AI Adopter",FALSE,"Monitor"
"SIEGY",51.25,"AI Follower",FALSE,"Monitor"
"SMCAY",45,"AI Laggard",FALSE,"Monitor"
"SMCI",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"SMFG",55,"AI Follower",FALSE,"Monitor"
"SNOW",91.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"SNPS",25,"AI Laggard",FALSE,"Monitor"
"SNY",58.75,"AI Follower",FALSE,"Monitor"
"SOFI",61.25,"AI Adopter",FALSE,"Monitor"
"SONY",56.25,"AI Follower",FALSE,"Monitor"
"SPGI",57.5,"AI Follower",FALSE,"Monitor"
"SPOT",78.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"SQM",42.5,"AI Laggard",FALSE,"Monitor"
"SSDOY",38.75,"AI Laggard",FALSE,"Monitor"
"STNE",57.5,"AI Follower",FALSE,"Monitor"
"STT",50,"AI Follower",FALSE,"Monitor"
"T",67.5,"AI Adopter",FALSE,"Monitor"
"TAK",78.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TCOM",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"TEAM",42.5,"AI Laggard",FALSE,"Monitor"
"TM",53.75,"AI Follower",FALSE,"Monitor"
"TME",83.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TMO",61.25,"AI Adopter",FALSE,"Monitor"
"TOST",80,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"TSLA",53.75,"AI Follower",FALSE,"Monitor"
"TSM",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TTDKY",48.75,"AI Laggard",FALSE,"Monitor"
"TTE",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TW",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TWLO",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TXN",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"UL",46.25,"AI Laggard",FALSE,"Monitor"
"UNH",56.25,"AI Follower",FALSE,"Monitor"
"UPS",38.75,"AI Laggard",FALSE,"Monitor"
"V",46.25,"AI Laggard",FALSE,"Monitor"
"VIRT",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"VZ",45,"AI Laggard",FALSE,"Monitor"
"WB",67.5,"AI Adopter",FALSE,"Monitor"
"WDAY",71.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"WMT",40,"AI Laggard",FALSE,"Monitor"
"WORK",46.25,"AI Laggard",FALSE,"Monitor"
"XOM",35,"AI Laggard",FALSE,"Monitor"
"XPEV",78.75,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"ZM",67.5,"AI Adopter",FALSE,"Monitor"
"ZS",91.25,"AI Leader (Aggressive)",FALSE,"Monitor"
