"ticker","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","innovation_score","ai_score"
"CSCO",-0.00129095103544479,-0.00129095103544479,-0.00129095103544479,0.75,0.75
"CVX",0,0,0,0.375,0.375
"DDOG",0,0,0,0.525,0.525
"DE",0.00472798594542009,0.00472798594542009,0.00472798594542009,0.75,0.75
"DIS",0,0,0,0.6,0.6
"DOCU",0,0,5.34806377578142e-05,0.725,0.725
"DUK",0,0,0,0.6,0.6
"FSLY",0,0,0,0.525,0.525
"GE",0.0488732157935681,0.0488732157935681,0.0488732157935681,0.825,0.825
"GOOGL",0.135919370650644,0.135919370650644,0.135919370650644,0.9,0.9
"GRAB",0,0,0,0.575,0.575
"GS",0,0,0.000754817021376448,0.7,0.7
"HD",0,0,-0.00077159452109594,0.675,0.675
"HOOD",0,0,0,0.6,0.6
"HUBS",0,0,0,0.6,0.6
"IBM",0,0,-0.0025650483434185,0.7,0.7
"INF",0,0,0.00177892750425793,0.65,0.65
"INFY",0,0,0,0.4,0.4
"INTC",0,-0.00671791772409292,-0.00671791772409292,0.75,0.75
"J",0,0,0.00494268402305646,0.7,0.7
"JBL",0,0,0,0.425,0.425
"JD",0,0,0,0.625,0.625
"JNJ",0,0,-0.00189854197086394,0.675,0.675
"JPM",0,0,0,0.6,0.6
"KKR",0,0,0,0.35,0.35
"KO",-0.000248953364695887,-0.000248953364695887,-0.000248953364695887,0.75,0.75
"KSPI",0,0,0,0.45,0.45
"LI",0,0,-0.000373180932842802,0.675,0.675
"LIN",0,0,0,0.525,0.525
"LLY",0,0,0.00297286600530379,0.725,0.725
"LMT",0,0,0,0.525,0.525
"LRCX",0,0,-0.000906295289620715,0.65,0.65
"MA",0,0,-0.00106549950163469,0.65,0.65
"MC",-0.00169815759111693,-0.00169815759111693,-0.00169815759111693,0.75,0.75
"MCD",0,0,0,0.55,0.55
"MCO",0,0,0,0.525,0.525
"MELI",0,0,0,0.375,0.375
"META",0,0,0,0.575,0.575
"MFG",0,0,0.000138399301230525,0.65,0.65
"MKTX",0,0,0,0.575,0.575
"MMM",0,0,0,0.475,0.475
"MQ",0,0,0,0.475,0.475
"MRK",0.00125818280510919,0.00125818280510919,0.00125818280510919,0.8,0.8
"MS",0,0,-0.000207555007896718,0.65,0.65
"MSCI",1.77887357288551e-05,1.77887357288551e-05,1.77887357288551e-05,0.725,0.725
"MSFT",0.090787427315594,0.090787427315594,0.090787427315594,0.875,0.875
"MU",0,0,-0.0015084665254935,0.725,0.725
"NDAQ",0,0,0,0.575,0.575
"NEE",-0.000609780123396897,-0.000609780123396897,-0.000609780123396897,0.8,0.8
"NET",-0.00122770914946222,-0.00122770914946222,-0.00122770914946222,0.9,0.9
"NFLX",0,0,0.00367580519924809,0.675,0.675
"NOW",0,0.0118488100460742,0.0118488100460742,0.775,0.775
"NTRS",-0.000384969084989939,-0.000384969084989939,-0.000384969084989939,0.725,0.725
"NU",0.00557864284571446,0.00557864284571446,0.00557864284571446,0.75,0.75
"NVDA",0,0,0.0648404392430462,0.7,0.7
"NVS",-0.00381502255329157,-0.00381502255329157,-0.00381502255329157,0.75,0.75
"OKTA",-0.00155819842084206,-0.00155819842084206,-0.00155819842084206,0.75,0.75
"OR",0,0,0.00686533529652424,0.7,0.7
"ORCL",0,0,-0.00633394661873558,0.65,0.65
"PAGS",0,0,0,0.4,0.4
"PANW",0,0,0.00274196380298423,0.675,0.675
"PCOR",0.00941592551826019,0.00941592551826019,0.00941592551826019,0.75,0.75
"PDD",0,0,0,0.6,0.6
"PFE",0,0,-0.00256526320382863,0.65,0.65
"PG",0.000560428077580055,0.000560428077580055,0.000560428077580055,0.725,0.725
"PYPL",0,0,0,0.6,0.6
"QCOM",0,0,0.000391867958474028,0.675,0.675
"RELIANCE",0,0,3.66534623386408e-05,0.65,0.65
"RTX",0.0360819413511436,0.0360819413511436,0.0360819413511436,0.8,0.8
"SAP",3.09462966494123e-06,3.09462966494123e-06,3.09462966494123e-06,0.9,0.9
"SE",0.0263096086108437,0.0263096086108437,0.0263096086108437,0.825,0.825
"SFTBF",0,0,0,0.425,0.425
"SHEL",9.42961532000277e-05,9.42961532000277e-05,9.42961532000277e-05,0.725,0.725
"SHOP",0,0.0131814192491673,0.0131814192491673,0.75,0.75
"SMCI",0,0,0,0.625,0.625
"SNOW",0,0.000771891555201637,0.000771891555201637,0.825,0.825
"SNPS",0,0,0,0.55,0.55
"SOFI",0,0,0,0.475,0.475
"SPGI",0,0,0.0209847399353532,0.7,0.7
"SPOT",0,0,0.000204547671967356,0.7,0.7
"STNE",0,0,0,0.525,0.525
"STT",0,0,0,0.625,0.625
"T",0,0,-0.00178747425853564,0.7,0.7
"TEAM",0,0,0,0.6,0.6
"TM",0,-0.000682393056207679,-0.000682393056207679,0.75,0.75
"TME",0,0.000125460916007363,0.000125460916007363,0.75,0.75
"TMO",0.010767873302879,0.010767873302879,0.010767873302879,0.8,0.8
"TOST",0,0,-5.98275487798403e-05,0.675,0.675
"TSLA",0,0,0,0.625,0.625
"TSM",0.0276493410395827,0.0276493410395827,0.0276493410395827,0.8,0.8
"TTE",-0.000539130960967199,-0.000539130960967199,-0.000539130960967199,0.85,0.85
"TW",0.011052718681268,0.011052718681268,0.011052718681268,0.85,0.85
"TWLO",0,-0.00170985706258538,-0.00170985706258538,0.75,0.75
"TXN",4.2044377095379e-05,4.2044377095379e-05,4.2044377095379e-05,0.875,0.875
"UNH",0,0,0,0.55,0.55
"UPS",0,0,-0.00392681779524042,0.65,0.65
"V",0,0,0,0.55,0.55
"VIRT",0,0,-0.000909357818540897,0.65,0.65
"VZ",0,0,-0.00453692830170382,0.7,0.7
"WDAY",0,0,0.000688163877372029,0.675,0.675
"WMT",0,0,0,0.625,0.625
"XOM",0,0,-0.000502671326635606,0.7,0.7
"XPEV",0,0,0,0.55,0.55
"ZM",-5.97055153876079e-05,-5.97055153876079e-05,-5.97055153876079e-05,0.875,0.875
"ZS",0,-0.000132139361475786,-0.000132139361475786,0.825,0.825
