Start Date,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000660 KS Equity,005380 KS Equity,005930 KS Equity,0170016D US Corp,035420 KS Equity,035720 KS Equity,051910 KS Equity,207940 KS Equity,6501 JT Equity,7974 JP Equity,8TRA GR Equity,9984 JT Equity,AAPL US Equity,ABBV US Equity,ABT US Equity,ADBE US Equity,AFRM US Equity,ALIZF US Equity,AMAT US Equity,AMD US Equity,AMT US Equity,AMZN US Equity,ANET US Equity,ANT US Equity,APD US Equity,APH US Equity,APO US Equity,ARES US Equity,ASAN US Equity,ASML US Equity,AVGO US Equity,AXP US Equity,AZN US Equity,BA US Equity,BABA US Equity,BAC US Equity,BAM US Equity,BIDU US Equity,BILI US Equity,BILL US Equity,BIO US Equity,BLK US Equity,BP US Equity,BRK/B US Equity,BX US Equity,BYDDF US Equity,CAJPY US Equity,CAT US Equity,CBOE US Equity,USU1718RAD09 Corp,CME US Equity,COIN US Equity,CRM US Equity,CRWD US Equity,CSCO US Equity,USU1268FAB41 Corp,CVX US Equity,DDOG US Equity,DE US Equity,DIS US Equity,DOCU US Equity,DUK US Equity,EADSY US Equity,FANUY US Equity,FRCOY US Equity,FSLY US Equity,GE US Equity,GOOGL US Equity,GRAB US Equity,GS US Equity,HD US Equity,HDB US Equity,HMC US Equity,HOOD US Equity,HSBC US Equity,HTHIY US Equity,HUBS US Equity,IBM US Equity,IBN US Equity,ICE US Equity,INF US Equity,INFY US Equity,INTC US Equity,IQ US Equity,ITOCY US Equity,J US Equity,BL484563 Corp,JBL US Equity,JD US Equity,JNJ US Equity,JPM US Equity,KAOCF US Equity,KKR US Equity,KO US Equity,KSPI US Equity,KUASF US Equity,KYCCF US Equity,LI US Equity,LIN US Equity,LLY US Equity,LMT US Equity,BL458894@BVAL Corp,LRCX US Equity,MA US Equity,MARUY US Equity,MBFJF US Equity,MC US Equity,MCD US Equity,MCO US Equity,MELI US Equity,META US Equity,MFG US Equity,MITEY US Equity,MITSY US Equity,MKTX US Equity,MMM US Equity,MPNGF US Equity,MQ US Equity,MRAAY US Equity,MRK US Equity,MS US Equity,MSBHF US Equity,MSCI US Equity,MSFT US Equity,MU US Equity,NDAQ US Equity,NEE US Equity,NET US Equity,NFLX US Equity,NIO US Equity,NJDCY US Equity,NOW US Equity,NSRGY US Equity,NTES US Equity,NTRS US Equity,NU US Equity,NVDA US Equity,NVO US Equity,NVS US Equity,OKTA US Equity,OR US Equity,ORCL US Equity,PAGS US Equity,BBG000C31ZH2 Equity,PANW US Equity,PCOR US Equity,PDD US Equity,PFE US Equity,PG US Equity,PYPL US Equity,QCOM US Equity,BBG003TCRRN1 Equity,RELIANCE IN Equity,RHHBY US Equity,RKUNY US Equity,RMSG US Equity,RTX US Equity,SAIL US Equity,SAP GR Equity,SAP US Equity,SE US Equity,SFTBF US Equity,SHEL US Equity,SHOP US Equity,SIEGY US Equity,SMCAY US Equity,SMCI US Equity,SMFG US Equity,SNOW US Equity,SNPS US Equity,SNY US Equity,SNYFX US Equity,SOFI US Equity,SONY US Equity,SPGI US Equity,SPOT US Equity,SQM US Equity,SSDOY US Equity,STNE US Equity,STT US Equity,SUMCF US Equity,SVNDY US Equity,T US Equity,TAK US Equity,TCEHY US Equity,TCOM US Equity,TEAM US Equity,TKPHF US Equity,TM US Equity,TME US Equity,TMO US Equity,TOST US Equity,TSLA US Equity,TSM US Equity,TTDKY US Equity,TTE US Equity,TW US Equity,TWLO US Equity,TXN US Equity,UL US Equity,UNH US Equity,UPS US Equity,V US Equity,BL4727162 Corp,VIRT US Equity,VZ US Equity,WB US Equity,BBG000GPXKX9 Equity,WDAY US Equity,WMT US Equity,WORK US Equity,XIACF US Equity,XOM US Equity,XPEV US Equity,YNDX19 US Equity,ZM US Equity,ZS US Equity
3/31/2018,81300,143500,49220,,158400,26400,385500,693582,770.8,4686,#N/A N/A,993.8,41.945,94.65,59.92,216.08,#N/A N/A,224.5,55.61,10.05,145.34,72.367,15.9563,#N/A N/A,159.03,21.5325,29.62,21.4,#N/A N/A,198.56,23.565,93.28,67.05,327.88,183.54,29.99,#N/A N/A,223.19,11,#N/A N/A,250.08,541.72,40.54,199.48,31.95,2.6767,36.45,147.38,114.1,#N/A N/A,161.74,#N/A N/A,116.3,#N/A N/A,42.89,#N/A N/A,114.04,#N/A N/A,155.32,100.44,#N/A N/A,77.47,28.84,25.43,13.3853,#N/A N/A,64.5132,51.857,#N/A N/A,251.86,178.24,24.6925,34.73,#N/A N/A,47.67,7.309,108.3,146.5508,8.85,72.52,11.71,8.925,52.08,15.55,3.9185,48.8836,#N/A N/A,28.73,40.49,128.15,109.97,71.35,20.3,43.43,#N/A N/A,#N/A N/A,312.9875,#N/A N/A,144.3,77.37,337.93,#N/A N/A,20.316,175.16,72.85,6.65,50.85,156.38,161.3,356.39,159.79,3.7,16.925,173.263,217.44,183.535,#N/A N/A,#N/A N/A,7.6889,51.9386,53.96,9.4867,149.47,91.27,52.14,28.74,40.8325,#N/A N/A,29.535,#N/A N/A,9.635,33.09,79.05,56.078,103.13,#N/A N/A,5.7898,24.625,67.3821,39.85,9.67,45.75,38.32,39.7,30.253,#N/A N/A,#N/A N/A,33.6427,79.28,75.87,55.41,15.15,398.31,28.625,8.21,#N/A N/A,74.21,#N/A N/A,85.37,105.16,11.27,9.3938,63.81,12.459,63.92,20.425,1.7,8.5,#N/A N/A,83.24,40.08,#N/A N/A,#N/A N/A,9.4278,191.06,#N/A N/A,48.8007,64.31,#N/A N/A,99.73,25.89,14.2,26.9078,24.41,53.29,46.62,53.92,48.46,130.37,#N/A N/A,206.46,#N/A N/A,17.742,43.76,5.9647,56.5,#N/A N/A,38.18,103.89,59.401,214,104.66,119.62,#N/A N/A,33,47.82,119.54,202.5,127.11,29.6567,#N/A N/A,#N/A N/A,74.61,#N/A N/A,#N/A N/A,#N/A N/A,28.07
4/30/2018,84500,160000,53000,,143200,22200,360000,695006,801.6,4617,#N/A N/A,1062.6,41.315,96.55,58.13,221.6,#N/A N/A,237,49.67,10.88,136.36,78.307,16.5344,#N/A N/A,162.29,20.9275,28.84,22,#N/A N/A,188.45,22.942,98.75,69.55,333.56,178.54,29.92,#N/A N/A,250.9,10.92,#N/A N/A,253.71,521.5,44.59,193.73,30.95,2.3533,34.31,144.36,106.78,#N/A N/A,157.68,#N/A N/A,120.99,#N/A N/A,44.29,#N/A N/A,125.11,#N/A N/A,135.33,100.33,38.63,80.16,29.19,21.465,14.7333,#N/A N/A,67.3369,50.929,#N/A N/A,238.33,184.8,23.9525,34.36,#N/A N/A,50.26,7.635,105.9,138.4606,8.51,72.46,12.27,8.835,51.62,18.03,4.0194,48.0075,#N/A N/A,26.6,36.51,126.49,108.78,71.35,20.94,43.21,#N/A N/A,#N/A N/A,306,#N/A N/A,152.52,81.07,320.84,#N/A N/A,18.506,178.27,76.044,6.88,53.8,167.44,162.2,339.61,172,3.64,18.27,180.753,198.63,162.525,#N/A N/A,#N/A N/A,6.8433,56.1341,51.62,9.2933,149.83,93.52,45.98,29.44,40.9775,#N/A N/A,31.246,#N/A N/A,9.8275,33.23,77.36,51.414,106.75,#N/A N/A,5.6225,23.47,63.9151,42.81,9.76,45.67,33.23,42.3,32.085,#N/A N/A,#N/A N/A,34.7044,72.34,74.61,51.01,14.4,434.68,27.8,7.2,#N/A N/A,70.866,#N/A N/A,91.63,110.83,10.49,9.5575,69.9,13.363,63.44,19.02,1.77,8.4,#N/A N/A,85.51,39.32,#N/A N/A,#N/A N/A,8.9382,188.6,161.67,54.4999,65.37,#N/A N/A,99.78,25.44,14.7267,24.6812,21.21,49.13,40.9,55.98,41.6,130.98,#N/A N/A,210.35,#N/A N/A,19.5933,38.45,5.7357,61.8,#N/A N/A,42.21,101.43,59.8393,236.4,113.5,126.88,#N/A N/A,36,49.35,114.52,207.28,124.84,29.4867,#N/A N/A,#N/A N/A,77.75,#N/A N/A,#N/A N/A,#N/A N/A,29.89
5/31/2018,93400,139000,50700,,133800,20700,338500,619524,796.6,4500,#N/A N/A,970.6,46.7175,98.94,61.53,249.28,#N/A N/A,208.38,50.78,13.73,138.37,81.481,15.7225,#N/A N/A,161.41,21.7325,31.32,22.15,#N/A N/A,196.65,25.207,98.3,72.7,352.16,198.01,29.04,#N/A N/A,242.56,16.23,#N/A N/A,287.13,534.23,45.82,191.53,31.93,2.1713,34.04,151.91,97.56,#N/A N/A,162.9,#N/A N/A,129.33,#N/A N/A,42.71,#N/A N/A,124.3,#N/A N/A,149.51,99.47,49.81,77.16,28.58,21.145,14.505,#N/A N/A,67.3847,55,#N/A N/A,225.88,186.55,26.605,31.76,#N/A N/A,48.38,7.302,121.2,134.9742,8.39,70.89,12.26,9.095,55.2,25.3,3.7375,53.5529,#N/A N/A,28.28,35.18,119.62,107.01,74.75,22.23,43,#N/A N/A,#N/A N/A,307.3625,#N/A N/A,156.26,85.04,314.54,#N/A N/A,19.818,190.12,77.78,6.39,59.25,160.01,170.57,290.83,191.78,3.51,18.075,175.123,213.65,164.899,#N/A N/A,#N/A N/A,8.2089,56.7634,50.14,9.2933,162.57,98.84,57.59,30.62,41.4525,#N/A N/A,35.16,#N/A N/A,9.65,35.52,75.67,45.664,102.52,#N/A N/A,6.3048,23.77,62.1066,56.21,10.21,46.72,33.27,45.2,34.682,#N/A N/A,#N/A N/A,34.0598,73.17,82.07,58.12,15.6,415.75,26.81,6.77,#N/A N/A,73.621,#N/A N/A,96.23,112.79,14.79,8.8837,69.58,14.809,65.29,18.985,2.41,8.29,#N/A N/A,88.07,38.27,#N/A N/A,#N/A N/A,9.184,197.5,157.71,51.7595,79.415,#N/A N/A,96.11,26.29,14.71,24.3944,20.2,51.0675,45.09,63.79,41.01,127.97,#N/A N/A,208.27,#N/A N/A,18.982,38.7,6.0837,60.365,#N/A N/A,53.97,111.91,59.1016,241.51,116.12,130.72,#N/A N/A,31.05,47.67,101.91,199.35,130.96,27.5133,#N/A N/A,#N/A N/A,81.24,#N/A N/A,#N/A N/A,#N/A N/A,26.26
6/30/2018,85700,125500,46650,,152600,22900,333500,593889,781.6,3620,#N/A N/A,996.6,46.2775,92.65,60.99,243.81,#N/A N/A,199,46.19,14.99,144.17,84.99,16.0931,#N/A N/A,155.73,21.7875,31.87,20.7,#N/A N/A,197.97,24.264,98,67.7,335.51,185.53,28.19,#N/A N/A,243,13.99,#N/A N/A,288.54,499.04,45.66,186.65,32.17,2.07,32.69,135.67,104.07,#N/A N/A,163.92,#N/A N/A,136.4,#N/A N/A,43.03,#N/A N/A,126.43,#N/A N/A,139.8,104.81,52.95,79.08,29.095,19.83,15.2583,#N/A N/A,65.1354,56.46,#N/A N/A,220.57,195.1,26.255,29.27,#N/A N/A,47.14,7.051,125.4,133.4364,8.03,73.55,12.09,9.715,49.71,32.3,3.61,52.4703,#N/A N/A,27.66,38.95,121.34,104.2,76.35,24.85,43.86,#N/A N/A,#N/A N/A,283,#N/A N/A,158.15,85.33,295.43,#N/A N/A,17.285,196.52,75.33,5.685,58.65,156.69,170.56,298.93,194.32,3.39,17.365,166.46,197.86,164.473,#N/A N/A,#N/A N/A,9.3222,57.879,47.4,9.2933,165.43,98.61,52.44,30.4233,41.7575,#N/A N/A,39.143,#N/A N/A,9.3837,34.49,77.43,50.534,102.89,#N/A N/A,5.9225,23.06,62.9566,50.37,9.47,44.06,27.75,46.05,34.245,#N/A N/A,#N/A N/A,34.3916,78.06,83.27,56.12,16.25,438.8,27.63,6.75,#N/A N/A,73.745,#N/A N/A,98.89,115.66,15,8.995,69.23,14.589,65.885,18.27,2.365,7.77,#N/A N/A,85.57,40.01,#N/A N/A,#N/A N/A,9.9972,203.89,168.24,47.7085,79.53,#N/A N/A,93.09,26.29,14.4967,24.2359,20.9,50.25,47.63,62.52,41.58,128.81,#N/A N/A,207.14,#N/A N/A,22.8633,36.56,6.802,60.05,#N/A N/A,56.02,110.25,59.1016,245.34,106.23,132.45,#N/A N/A,26.55,50.31,88.76,210.65,121.12,28.55,#N/A N/A,#N/A N/A,82.73,#N/A N/A,#N/A N/A,#N/A N/A,35.75
7/31/2018,86300,129500,46250,,143200,22500,375000,531224,778.6,3676,#N/A N/A,1157.5,47.5725,92.23,65.54,244.68,#N/A N/A,220.8,48.63,18.33,148.24,88.872,15.9831,#N/A N/A,164.17,23.3775,35.5,21.35,#N/A N/A,214,22.177,99.52,76.6875,356.3,187.23,30.88,#N/A N/A,247.18,11.71,#N/A N/A,306.65,502.76,45.09,197.87,34.92,1.9,32.39,143.8,97.13,#N/A N/A,159.12,#N/A N/A,137.15,#N/A N/A,42.29,#N/A N/A,126.27,#N/A N/A,144.79,113.56,53.9,81.62,30.915,19.88,14.5667,#N/A N/A,65.2311,61.361,#N/A N/A,237.43,197.52,25.835,30.66,#N/A N/A,48.42,7.0045,124.1,138.4319,8.83,73.91,12.61,10.09,48.1,32.02,3.5475,55.8917,#N/A N/A,28.17,35.86,132.52,114.95,76.35,27.38,46.63,#N/A N/A,#N/A N/A,264.5,#N/A N/A,167.5,98.81,326.1,#N/A N/A,19.064,198,77.75,6.09,63.6,157.54,171.12,342.91,172.58,3.44,17.31,167.273,193.77,177.515,#N/A N/A,#N/A N/A,9.7611,62.8088,50.56,9.2933,166.19,106.08,52.79,30.4667,41.885,#N/A N/A,33.745,#N/A N/A,9.0663,35.19,81.51,51.6,109.22,#N/A N/A,6.1215,24.885,69.9241,49.65,9.51,47.68,26.92,47.9,33.043,#N/A N/A,22.59,37.8516,80.88,82.14,64.09,16.7,535.17,30.67,7.075,#N/A N/A,80.061,#N/A N/A,99.15,116.04,14.1,10.4938,68.37,13.821,70.68,16.84,2.21,7.97,#N/A N/A,89.43,43.36,#N/A N/A,#N/A N/A,10.5355,200.44,182.83,47.9269,73.665,#N/A N/A,88.31,21.64,13.58,24.1302,21.2,45.7,41.15,72.41,42.1538,131.84,#N/A N/A,234.53,#N/A N/A,19.876,41.21,7.1587,62.05,#N/A N/A,57.89,111.32,60.9512,253.22,119.89,136.74,#N/A N/A,20.15,51.64,82.75,217,124.02,29.7433,#N/A N/A,#N/A N/A,81.51,#N/A N/A,#N/A N/A,#N/A N/A,35.31
8/31/2018,83000,125000,48450,,150400,25000,366000,659401,725.5,4016,#N/A N/A,1287.5,56.9075,95.98,66.84,263.51,#N/A N/A,212.7,43.02,25.17,149.12,100.636,18.6863,#N/A N/A,166.29,23.645,34.53,21.3,#N/A N/A,205.05,21.903,105.98,75.3,342.79,175.01,30.93,#N/A N/A,226.48,12.83,#N/A N/A,325.3,479.06,42.88,208.72,36.91,1.9667,32.09,138.85,100.8,#N/A N/A,174.73,#N/A N/A,152.68,#N/A N/A,47.77,#N/A N/A,118.46,#N/A N/A,143.8,112.02,62.44,81.24,30.77,19.6,15.5267,#N/A N/A,61.9289,61.59,#N/A N/A,237.81,200.77,25.3175,29.63,#N/A N/A,44.01,6.52,143.7,139.9124,9.63,76.23,12.53,10.385,48.43,28.9,3.4915,60.0735,#N/A N/A,29.56,31.3,134.69,114.58,76.9,26.08,44.57,#N/A N/A,#N/A N/A,282,#N/A N/A,158.19,105.65,320.41,#N/A N/A,17.309,215.56,82.03,6.08,58.05,162.23,178.02,342.41,175.73,3.54,16.57,166.168,189.82,176.345,#N/A N/A,#N/A N/A,9.5756,65.4023,48.83,9.2933,180.26,112.33,52.52,31.8133,42.525,#N/A N/A,36.768,#N/A N/A,9.0075,39.27,83.75,39.542,107.46,#N/A N/A,7.017,24.585,69.1823,61.83,7.94,48.58,28.89,47.2,38.525,#N/A N/A,19.35,39.3588,82.95,92.33,68.71,17.15,560.28,30.96,7.75,#N/A N/A,77.679,#N/A N/A,103.1,119.74,14.25,11.6125,65.23,14.567,64.805,16.7,2.051,7.86,#N/A N/A,102.14,42.85,#N/A N/A,#N/A N/A,11.0836,207.05,189.52,42.3072,70.53,#N/A N/A,86.91,21.78,13.51,24.1075,20.87,43.14,39.15,90.01,41.26,124.08,#N/A N/A,239.1,#N/A N/A,20.1107,43.6,7.472,64.4125,#N/A N/A,80.66,112.4,60.8016,268.46,122.88,146.89,#N/A N/A,21.8,54.37,76.74,213.74,154.54,31.9533,#N/A N/A,2.18,80.17,#N/A N/A,#N/A N/A,#N/A N/A,42.79
9/29/2018,73100,129500,46450,,143200,23800,365500,760519,772,4146,#N/A N/A,1433.8,56.435,94.58,73.36,269.95,#N/A N/A,218.73,38.65,30.89,145.3,100.15,16.6163,#N/A N/A,167.05,23.505,34.55,23.2,#N/A N/A,188.02,24.673,106.49,78.425,371.9,164.76,29.46,#N/A N/A,228.68,13.48,#N/A N/A,312.99,471.33,46.1,214.11,38.08,2.3767,31.65,152.49,95.96,#N/A N/A,170.21,#N/A N/A,159.03,#N/A N/A,48.65,#N/A N/A,122.28,#N/A N/A,150.33,116.94,52.57,80.02,31.275,18.81,16.8783,#N/A N/A,54.0322,60.354,#N/A N/A,224.24,207.15,23.525,30.08,#N/A N/A,43.99,6.779,150.95,144.4303,8.49,74.89,12.01,10.17,47.29,27.07,3.664,63.2222,#N/A N/A,27.08,26.09,138.17,112.84,79.48,27.27,46.19,#N/A N/A,#N/A N/A,294,#N/A N/A,160.73,107.31,345.96,#N/A N/A,15.17,222.61,91.21,6.38,54.8,167.29,167.2,340.47,164.46,3.5,16.96,177.863,178.49,176.169,#N/A N/A,#N/A N/A,8.5344,67.6431,46.57,10.5567,177.41,114.37,45.23,28.6,41.9,#N/A N/A,37.413,6.98,8.9713,39.13,83.2,45.65,102.13,#N/A N/A,7.0255,23.57,71.8076,70.36,7.59,51.56,27.67,42.9,37.543,#N/A N/A,26.29,41.7761,83.23,87.84,72.03,16.65,567.63,30.16,7.745,#N/A N/A,82.462,#N/A N/A,106.06,123,13.83,12.3913,68.14,16.446,63.86,16.09,2.061,8.03,#N/A N/A,98.61,44.67,#N/A N/A,#N/A N/A,11.8286,195.39,180.83,45.3951,77.495,#N/A N/A,83.78,15,14.8333,25.3454,21.37,40.84,37.17,96.14,43.11,124.35,#N/A N/A,244.08,#N/A N/A,17.6513,44.16,7.2827,64.96,#N/A N/A,86.28,107.29,58.7702,266.04,116.75,150.09,#N/A N/A,20.45,53.39,73.13,227.84,145.98,31.3033,#N/A N/A,2,85.02,#N/A N/A,#N/A N/A,#N/A N/A,40.78
10/31/2018,68200,106500,42400,,114500,18320,347000,551875,692.4,3516,#N/A N/A,1131,54.715,77.85,68.94,245.76,#N/A N/A,204.9,32.88,18.21,155.81,79.901,14.3969,#N/A N/A,154.35,22.375,29.42,19.61,#N/A N/A,172.36,22.349,102.73,74.3,354.86,142.28,27.5,#N/A N/A,190.06,13.5,#N/A N/A,272.85,411.42,43.37,205.28,32.36,2.1567,28.18,121.32,112.85,#N/A N/A,183.24,#N/A N/A,137.24,#N/A N/A,45.75,#N/A N/A,111.65,#N/A N/A,135.44,114.83,41.94,82.63,27.575,17.34,16.78,#N/A N/A,48.3371,54.529,#N/A N/A,225.37,175.88,22.2275,28.5,#N/A N/A,41.09,6.1195,135.65,110.2546,9.49,77.04,11.35,9.47,46.88,19.64,3.7166,62.0569,#N/A N/A,24.73,23.52,139.99,109.02,66.65,23.65,47.88,#N/A N/A,#N/A N/A,246.5,#N/A N/A,165.47,108.44,293.85,#N/A N/A,14.173,197.67,80.4,6,40.36,176.9,145.48,324.5,151.79,3.44,15.895,167.003,209.67,159.072,#N/A N/A,#N/A N/A,8.7489,70.189,45.66,9.7333,150.38,106.81,37.72,28.9033,43.125,#N/A N/A,30.178,5.9,8.0113,36.21,84.28,41.57,94.07,#N/A N/A,5.2708,21.59,72.891,58.36,7.65,48.84,26.99,42.92,30.507,#N/A N/A,17.65,40.8187,88.68,84.19,62.89,15.32,478.87,30.36,6.58,#N/A N/A,73.261,#N/A N/A,94.66,107.26,13.05,9.875,63.19,13.815,57.44,15.94,1.31,7.75,#N/A N/A,89.53,44.72,#N/A N/A,#N/A N/A,10.557,182.32,149.69,43.4986,63.23,28.69,68.75,11.8,14.35,23.1565,21.1,34.33,33.28,75.91,42,117.05,#N/A N/A,233.65,#N/A N/A,22.488,38.1,6.006,58.9,#N/A N/A,75.22,92.83,56.6426,261.35,106.54,137.85,#N/A N/A,23.72,57.09,59.01,200.03,133.02,33.4267,#N/A N/A,1.56,79.68,#N/A N/A,#N/A N/A,#N/A N/A,36.29
11/30/2018,69600,107000,41850,,126500,22500,345500,476393,657.6,3461,#N/A N/A,1190.8,44.645,94.27,74.05,250.89,#N/A N/A,209.59,37.28,21.3,164.49,84.509,14.905,#N/A N/A,160.87,21.985,28.19,22.44,#N/A N/A,171.35,23.741,112.27,77.9375,346.76,160.86,28.4,#N/A N/A,188.28,15.61,#N/A N/A,274.46,428.01,40.35,218.24,33.73,2.51,28.29,135.67,107.62,#N/A N/A,190.08,#N/A N/A,142.76,#N/A N/A,47.87,#N/A N/A,118.94,#N/A N/A,154.88,115.49,41.76,88.57,26.8,17.03,17.2717,#N/A N/A,35.8939,55.483,#N/A N/A,190.69,180.32,25.355,28.17,#N/A N/A,42.54,5.827,139.03,118.6982,10.17,81.72,11.21,9.86,49.31,20.31,3.555,54.2719,#N/A N/A,24.97,21.23,146.9,111.19,70,22.92,50.4,#N/A N/A,#N/A N/A,273.5,#N/A N/A,159.05,118.64,300.43,#N/A N/A,15.696,201.07,74.27,5.59,40.42,188.51,159.07,351.97,140.61,3.28,16.005,156.823,217.73,173.837,6.5,#N/A N/A,8.4978,75.6528,44.39,9.3333,157.09,110.89,38.56,30.44,45.4275,#N/A N/A,28.613,7.71,8.365,37.05,85.22,45.414,99.23,#N/A N/A,4.0858,23.31,76.2831,63.65,7.51,48.76,24,33.9,28.825,#N/A N/A,22.96,43.8237,94.51,85.81,58.26,14.9,526.84,32.43,8.08,#N/A N/A,71.863,#N/A N/A,91.52,103.68,13.34,10.4825,60.4,15.266,58.04,17.015,1.49,7.33,#N/A N/A,91.94,45.35,#N/A N/A,#N/A N/A,10.3015,182.86,136.38,43.6873,63.61,23.57,73.02,14.98,14.5333,23.5792,18.8,40.08,28.85,85.94,36.6,121.48,#N/A N/A,249.55,#N/A N/A,23.3653,37.59,5.2843,55.18,#N/A N/A,94.49,99.85,58.0432,281.36,115.29,141.71,#N/A N/A,25.17,60.3,63.68,193.4,164,32.55,#N/A N/A,1.836,79.5,#N/A N/A,#N/A N/A,#N/A N/A,39.26
12/31/2018,60500,118500,38700,,122000,20600,347000,550451,587.1,2928.5,#N/A N/A,913.1,39.435,92.19,72.33,226.24,#N/A N/A,197.19,32.74,18.46,158.19,75.099,13.1688,#N/A N/A,160.05,20.255,24.54,17.78,#N/A N/A,155.62,25.428,95.32,73.4,322.5,137.07,24.64,#N/A N/A,158.6,14.59,#N/A N/A,232.22,392.82,37.92,204.18,29.81,2.11,27.6,127.07,97.83,#N/A N/A,188.12,#N/A N/A,136.97,#N/A N/A,43.33,#N/A N/A,108.79,#N/A N/A,149.17,109.65,40.08,86.3,23.78,15.06,16.99,#N/A N/A,36.2289,52.248,#N/A N/A,167.05,171.82,25.8975,26.45,#N/A N/A,41.11,5.296,125.73,108.5735,10.29,75.33,10.13,9.52,46.93,14.87,3.411,48.3133,#N/A N/A,24.79,20.93,129.05,97.62,74.1,19.63,47.35,#N/A N/A,#N/A N/A,249.41,#N/A N/A,156.04,115.72,261.84,#N/A N/A,13.617,188.65,71.76,4.79,34.38,177.57,140.04,292.85,131.09,3,15.64,155.25,211.31,159.306,5.9,#N/A N/A,7.4822,72.8589,39.65,9.2217,147.43,101.57,31.73,27.19,43.455,#N/A N/A,26.766,6.37,7.0125,35.61,80.96,47.074,83.59,#N/A N/A,3.3375,23.035,71.5159,63.8,8.78,45.15,18.73,32.16,31.392,#N/A N/A,22.44,41.378,91.92,84.09,56.91,13.83,505.95,31.08,6.65,#N/A N/A,62.803,#N/A N/A,86.93,99.55,11.32,8.15,58.27,13.845,56.08,14.87,1.38,6.51,#N/A N/A,84.24,43.41,#N/A N/A,#N/A N/A,9.4161,169.94,113.5,38.0278,63.01,18.44,63.07,12.8,14.45,21.5413,16.82,39.47,27.06,88.98,33.39,116.08,13.22,223.79,#N/A N/A,22.1867,36.91,4.6973,51.54,#N/A N/A,89.3,94.5,55.8622,249.12,97.53,131.94,#N/A N/A,25.76,56.22,58.43,185.72,159.68,31.05,#N/A N/A,1.68,68.19,#N/A N/A,#N/A N/A,#N/A N/A,39.21
1/31/2019,73900,129500,46150,,136000,19860,368000,568253,682.6,3383,#N/A N/A,1065.8,41.61,80.29,72.98,247.82,#N/A N/A,211.3,39.08,24.41,172.84,85.937,13.4238,#N/A N/A,164.39,21.98,29.28,20.86,#N/A N/A,175.03,26.825,102.7,71.325,385.62,168.49,28.47,#N/A N/A,172.63,18.41,#N/A N/A,249.87,415.08,41.12,205.54,33.7,1.9717,28.83,133.16,93.27,#N/A N/A,182.28,#N/A N/A,151.97,#N/A N/A,47.29,#N/A N/A,114.65,#N/A N/A,164,111.52,49.45,87.78,28.685,17.035,15.2517,#N/A N/A,48.6242,56.295,#N/A N/A,198.01,183.53,24.555,30.07,#N/A N/A,42.13,6.293,158.31,128.3931,10.21,76.76,11.81,10.8,47.12,20.12,3.661,53.5529,#N/A N/A,26.65,24.85,133.08,103.5,74.1,22.45,48.13,#N/A N/A,#N/A N/A,257.25,#N/A N/A,163.01,119.86,289.69,#N/A N/A,16.958,211.13,75.75,5.19,43.75,178.78,158.51,364,166.69,3.17,17.71,163.128,214.77,167.466,6.3,#N/A N/A,8.4011,70.9709,42.3,9.6867,170.27,104.43,38.22,29.3467,44.745,#N/A N/A,33.95,7.88,7.5075,44,87.24,50.386,88.46,#N/A N/A,3.5938,23.51,72.941,82.43,9.78,50.23,21.57,31.22,35.803,#N/A N/A,29.21,40.2404,96.47,88.76,49.52,15.64,553.73,33.3,7.545,#N/A N/A,69.639,#N/A N/A,90.25,103.42,14.01,9.7488,61.73,16.847,54.87,16.495,1.51,7.44,#N/A N/A,93.35,43.45,#N/A N/A,#N/A N/A,9.7749,191.65,135.45,42.3568,59.525,22.12,70.9,12.8,14.4967,22.6886,19.97,44.61,33.3,98.4,40,123.17,14.95,245.67,#N/A N/A,20.468,37.62,5.2133,54.5,#N/A N/A,111.32,100.68,56.2364,270.2,105.4,135.01,#N/A N/A,25.55,55.06,60.66,201.81,181.53,31.9433,#N/A N/A,1.28,73.28,#N/A N/A,#N/A N/A,#N/A N/A,48.37
