"ticker","fund_weight","strategy_weight","innovation_score","ai_intensity_score","strategic_position"
"SYN124",0.0269492604422849,0.00245197879637613,37.4,11.1,"Balanced"
"SYN075",0.0233459748122841,0.00223950714783707,36.9,15.5,"Balanced"
"SYN140",0.0203350596898235,0.00200299117067492,38.5,15,"Balanced"
"SYN065",0.0228018417209387,0.00199435759030499,33,15.1,"Balanced"
"SYN161",0.0163852048940025,0.00189456859020715,49.4,11.3,"General Innovator (Low AI)"
"SYN186",0.0209745935869869,0.00183169793092824,34.8,12.3,"Balanced"
"SYN031",0.0200063549419865,0.00171734604058942,30.8,17.2,"Balanced"
"SYN053",0.0149627649171744,0.00151332790468648,39.8,15,"Balanced"
"SYN069",0.0136299583965447,0.00149755796066859,36.5,26.4,"Balanced"
"SYN157",0.014462616112316,0.00145882674635491,36.6,19.6,"Balanced"
"SYN121",0.0149264946812764,0.0014500411320277,36.7,16.7,"Balanced"
"SYN072",0.0164574163844809,0.00144501456096804,38.5,7.1,"Balanced"
"SYN033",0.0142048095993232,0.00141743610324143,41.4,11.6,"General Innovator (Low AI)"
"SYN089",0.0124864017101936,0.0013879730886584,46.2,12.8,"General Innovator (Low AI)"
"SYN007",0.0144829543246888,0.00136675453893079,33.2,19.9,"Balanced"
"SYN046",0.0103103166001383,0.00131918102443415,48.4,21.9,"AI-Focused Leader"
"SYN073",0.0155179914876353,0.00130370064634902,36.1,7.9,"Balanced"
"SYN043",0.00950711671076715,0.00124666290247076,54.1,15.7,"Balanced"
"SYN166",0.0102949536996894,0.00121685611023632,46.4,17.7,"AI-Focused Leader"
"SYN114",0.00924756227061152,0.000909627263789694,34.9,20.3,"Balanced"
"SYN099",0.00721912851883099,0.00064461463162759,34.3,14.5,"Balanced"
"SYN025",0.00574603071273305,0.000601378673242446,30.6,31.4,"AI Specialist (Low Overall)"
"SYN086",0.00684414925612509,0.000592598580054898,34.5,12.2,"Balanced"
"SYN049",0.00559797845268622,0.000490004803476115,30.3,19.2,"AI Specialist (Low Overall)"
"SYN110",0.00431017422839068,0.000459563971587274,38.5,21,"Balanced"
"SYN064",0.00506788335787132,0.000450122824836342,34.4,14,"Balanced"
"SYN185",0.00454169699829072,0.000438438085042517,36,17.3,"Balanced"
"SYN045",0.00504396498086862,0.000423413146167486,28.6,19.1,"AI Specialist (Low Overall)"
"SYN040",0.003827054644702,0.000367635675499288,37.5,14.7,"Balanced"
"SYN116",0.00288785109948367,0.000322964977564984,39.4,23.5,"AI-Focused Leader"
"SYN159",0.00260435603535734,0.000218621379580045,34.8,9.8,"Balanced"
"SYN023",0.00202935704425909,0.000198379251191256,39,13.7,"Balanced"
