"ticker","company_name","fund_weight","ai_score","ai_label","innovation_score","revenue_growth","volatility","unicorn_tier","in_portfolio","rank","cumulative_weight","weight_pct"
"AAPL","Apple Inc.",0.0212285192263356,0.725,"AI Adopter",0.725,0.05,0.322976119873052,"Growth Candidate",TRUE,18,0.832890007160102,2.12
"6501","6501",0.017468989252124,0.3,"AI Laggard",0.3,0.05,0.481419187429501,"Growth Candidate",TRUE,19,0.850358996412226,1.75
"UNH","UNH",0.0162679817211935,0.55,"AI Follower",0.55,0.05,1.11853938101389,"Top Unicorn Candidate",TRUE,20,0.866626978133419,1.63
"TSLA","Tesla Inc.",0.0154762203506969,0.625,"AI Follower",0.625,0.05,0.591431170283638,"Top Unicorn Candidate",TRUE,21,0.882103198484116,1.55
"AMT","AMT",0.0152638194964956,0.4,"AI Laggard",0.4,0.05,0.967816617303954,"Emerging Unicorn Candidate",TRUE,22,0.897367017980612,1.53
"SHOP","SHOP",0.0147955985486336,0.75,"AI Leader",0.75,0.05,0.529456983024701,"Monitor",TRUE,23,0.912162616529245,1.48
"NOW","NOW",0.0136300823923847,0.775,"AI Leader",0.775,0.05,0.551930304803171,"Monitor",TRUE,24,0.92579269892163,1.36
"005380","005380",0.0115917577808745,0.325,"AI Laggard",0.325,0.05,0.567614988106107,"Emerging Unicorn Candidate",TRUE,25,0.937384456702505,1.16
"TW","TW",0.0115151989178568,0.85,"AI Leader",0.85,0.05,0.300086653538193,"Monitor",TRUE,26,0.948899655620361,1.15
"7974","7974",0.0113907324182239,0.5,"AI Laggard",0.5,0.05,0.421188554621379,"Growth Candidate",TRUE,27,0.960290388038585,1.14
"TMO","TMO",0.0113784907510959,0.8,"AI Leader",0.8,0.05,0.326632084137488,"Monitor",TRUE,28,0.971668878789681,1.14
"PCOR","PCOR",0.011064733965859,0.75,"AI Leader",0.75,0.05,0.359971295645363,"Monitor",TRUE,29,0.98273361275554,1.11
"ASML","ASML",0.0106932787183266,0.65,"AI Adopter",0.65,0.05,0.397188123966689,"Growth Candidate",TRUE,30,0.993426891473867,1.07
"PDD","PDD",0.010466621410228,0.6,"AI Follower",0.6,0.05,0.362464865897021,"Growth Candidate",TRUE,31,1.00389351288409,1.05
"MMM","MMM",0.00808346842361774,0.475,"AI Laggard",0.475,0.05,0.464909672750626,"Growth Candidate",TRUE,32,1.01197698130771,0.81
"NDAQ","NDAQ",0.00710197266989066,0.575,"AI Follower",0.575,0.05,0.271830010617124,"Growth Candidate",TRUE,33,1.0190789539776,0.71
"OR","OR",0.00704576502293261,0.75,"AI Leader",0.75,0.05,0.412416002564433,"Monitor",TRUE,34,1.02612471900054,0.7
"GRAB","GRAB",0.00693377906311017,0.575,"AI Follower",0.575,0.05,0.463123366867862,"Growth Candidate",TRUE,35,1.03305849806365,0.69
"HOOD","HOOD",0.00661187542750023,0.6,"AI Follower",0.6,0.05,0.756131152676575,"Emerging Unicorn Candidate",TRUE,36,1.03967037349115,0.66
"NU","NU",0.00613123786084364,0.75,"AI Leader",0.75,0.05,0.417299002518701,"Monitor",TRUE,37,1.04580161135199,0.61
"8TRA","8TRA",0.00595910786958755,0.425,"AI Laggard",0.425,0.05,0.356649401372316,"Growth Candidate",TRUE,38,1.05176071922158,0.6
"BILL","BILL",0.00558627396962831,0.325,"AI Laggard",0.325,0.05,0.557810459179007,"Emerging Unicorn Candidate",TRUE,39,1.05734699319121,0.56
"DE","DE",0.00558048372095415,0.75,"AI Leader",0.75,0.05,0.268801983148583,"Monitor",TRUE,40,1.06292747691216,0.56
"AZN","AZN",0.00538117808504224,0.7,"AI Adopter",0.7,0.05,0.241812207415615,"Growth Candidate",TRUE,41,1.0683086549972,0.54
"J","J",0.00527526643424318,0.7,"AI Adopter",0.7,0.05,0.340171531803876,"Growth Candidate",TRUE,42,1.07358392143145,0.53
"ADBE","ADBE",0.00438840850228442,0.65,"AI Adopter",0.65,0.05,0.344830582113554,"Growth Candidate",TRUE,43,1.07797232993373,0.44
"CME","CME",0.00423900539570509,0.325,"AI Laggard",0.325,0.05,1.77666419873115,"Emerging Unicorn Candidate",TRUE,44,1.08221133532943,0.42
"DDOG","DDOG",0.00365763113532508,0.525,"AI Follower",0.525,0.05,0.576125585108541,"Emerging Unicorn Candidate",TRUE,45,1.08586896646476,0.37
"LLY","LLY",0.00316311740407197,0.725,"AI Adopter",0.725,0.05,0.446825253754443,"Growth Candidate",TRUE,46,1.08903208386883,0.32
"NFLX","NFLX",0.00303445117596547,0.675,"AI Adopter",0.675,0.05,0.35023661158265,"Growth Candidate",TRUE,47,1.0920665350448,0.3
"051910","051910",0.00301970832245161,0.325,"AI Laggard",0.325,0.05,0.610159009241902,"Emerging Unicorn Candidate",TRUE,48,1.09508624336725,0.3
"PANW","PANW",0.0028741056012468,0.675,"AI Adopter",0.675,0.05,0.376215504148303,"Growth Candidate",TRUE,49,1.0979603489685,0.29
"INF","INF",0.00192227017715322,0.65,"AI Adopter",0.65,0.05,0.532032614128004,"Growth Candidate",TRUE,50,1.09988261914565,0.19
"XPEV","XPEV",0.00173771845190902,0.55,"AI Follower",0.55,0.05,0.630890316807742,"Top Unicorn Candidate",TRUE,51,1.10162033759756,0.17
"KSPI","KSPI",0.00151952253147736,0.45,"AI Laggard",0.45,0.05,0.289778921018661,"Growth Candidate",TRUE,52,1.10313986012904,0.15
"AXP","AXP",0.00136774070247594,0.325,"AI Laggard",0.325,0.05,1.07325991494528,"Emerging Unicorn Candidate",TRUE,53,1.10450760083151,0.14
"MRK","MRK",0.00133601582785522,0.8,"AI Leader",0.8,0.05,0.217611792872041,"Monitor",TRUE,54,1.10584361665937,0.13
"INFY","INFY",0.00132264712507134,0.4,"AI Laggard",0.4,0.05,0.328297481874573,"Growth Candidate",TRUE,55,1.10716626378444,0.13
"LMT","LMT",0.00113817860329955,0.525,"AI Laggard",0.525,0.05,0.28152017427413,"Growth Candidate",TRUE,56,1.10830444238774,0.11
"TEAM","TEAM",0.00108304155255896,0.6,"AI Follower",0.6,0.05,0.438437317163459,"Growth Candidate",TRUE,57,1.1093874839403,0.11
"JPM","JPM",0.00102948616286709,0.6,"AI Follower",0.6,0.05,0.261360173896025,"Growth Candidate",TRUE,58,1.11041697010316,0.1
"SNOW","SNOW",0.000881714392108708,0.825,"AI Leader",0.825,0.05,0.483727665469645,"Monitor",TRUE,59,1.11129868449527,0.09
"CBOE","CBOE",0.00082169068794448,0.475,"AI Laggard",0.475,0.05,0.225674895806794,"Growth Candidate",TRUE,60,1.11212037518322,0.08
"LIN","LIN",0.000796245423497737,0.525,"AI Follower",0.525,0.05,0.557803050633638,"Emerging Unicorn Candidate",TRUE,61,1.11291662060671,0.08
"WDAY","WDAY",0.000786347920618199,0.725,"AI Adopter",0.725,0.05,0.417011700556482,"Growth Candidate",TRUE,62,1.11370296852733,0.08
"ABT","ABT",0.000738426092485681,0.55,"AI Follower",0.55,0.05,0.858039629737174,"Emerging Unicorn Candidate",TRUE,63,1.11444139461982,0.07
"AMD","AMD Inc.",0.000678136630230108,0.75,"AI Leader",0.75,0.05,0.430650650696444,"Monitor",TRUE,64,1.11511953125005,0.07
"GS","GS",0.000645668910030547,0.7,"AI Adopter",0.7,0.05,0.324774837803616,"Growth Candidate",TRUE,65,1.11576520016008,0.06
"PG","PG",0.000611840728577308,0.725,"AI Leader",0.725,0.05,0.261207752964913,"Monitor",TRUE,66,1.11637704088866,0.06
"BX","BX",0.000610038405299919,0.425,"AI Laggard",0.425,0.05,0.400493146523442,"Growth Candidate",TRUE,67,1.11698707929396,0.06
"QCOM","QCOM",0.000426500971676019,0.675,"AI Adopter",0.675,0.05,0.390427800049964,"Growth Candidate",TRUE,68,1.11741358026563,0.04
"BAC","BAC",0.000385547618067239,0.475,"AI Laggard",0.475,0.05,1.2000725587298,"Emerging Unicorn Candidate",TRUE,69,1.1177991278837,0.04
"ANET","ANET",0.000378011046733578,0.6,"AI Follower",0.6,0.05,0.537898072084855,"Emerging Unicorn Candidate",TRUE,70,1.11817713893043,0.04
"MKTX","MKTX",0.000286922627648628,0.575,"AI Follower",0.575,0.05,0.266349453670423,"Growth Candidate",TRUE,71,1.11846406155808,0.03
"CRM","CRM",0.000252427786226193,0.525,"AI Follower",0.525,0.05,0.797099788723911,"Emerging Unicorn Candidate",TRUE,72,1.11871648934431,0.03
"SPOT","SPOT",0.000240825059423542,0.7,"AI Adopter",0.7,0.05,0.838393128432815,"Top Unicorn Candidate",TRUE,73,1.11895731440373,0.02
"TOST","TOST",0.000190516823579374,0.675,"AI Adopter",0.675,0.05,0.47713457092491,"Growth Candidate",TRUE,74,1.11914783122731,0.02
"AMAT","AMAT",0.000170279360656606,0.525,"AI Laggard",0.525,0.05,0.421929124138829,"Growth Candidate",TRUE,75,1.11931811058797,0.02
"9984","9984",0.000156327617753277,0.25,"AI Laggard",0.25,0.05,0.678692536003508,"Emerging Unicorn Candidate",TRUE,76,1.11947443820572,0.02
"SFTBF","SFTBF",0.000156327617753277,0.425,"AI Laggard",0.425,0.05,0.728358191411475,"Emerging Unicorn Candidate",TRUE,77,1.11963076582347,0.02
"MFG","MFG",0.000141932236019761,0.65,"AI Adopter",0.65,0.05,0.569417094300874,"Top Unicorn Candidate",TRUE,78,1.11977269805949,0.01
"MS","MS",0.000136401810772824,0.65,"AI Adopter",0.65,0.05,0.97184089157711,"Top Unicorn Candidate",TRUE,79,1.11990909987027,0.01
"SHEL","SHEL",0.000104463644216136,0.725,"AI Leader",0.725,0.05,0.210671669618549,"Monitor",TRUE,80,1.12001356351448,0.01
"TME","TME",9.48400305971732e-05,0.75,"AI Leader",0.75,0.05,0.535952500205267,"Monitor",TRUE,81,1.12010840354508,0.01
"APH","APH",8.06185697173135e-05,0.65,"AI Adopter",0.65,0.05,0.377632763347797,"Growth Candidate",TRUE,82,1.1201890221148,0.01
"TXN","TXN",5.34339877585198e-05,0.875,"AI Leader",0.875,0.05,0.412752265485296,"Monitor",TRUE,83,1.12024245610256,0.01
"RELIANCE","RELIANCE",4.06056251405196e-05,0.65,"AI Adopter",0.65,0.05,0.211485740613078,"Growth Candidate",TRUE,84,1.1202830617277,0
"KKR","KKR",4.02250857370683e-05,0.35,"AI Laggard",0.35,0.05,0.467339170984324,"Growth Candidate",TRUE,85,1.12032328681343,0
"MSCI","MSCI",1.97123709950611e-05,0.725,"AI Adopter",0.725,0.05,0.295924180577813,"Growth Candidate",TRUE,86,1.12034299918443,0
"BP","BP",1.2149324367557e-05,0.55,"AI Follower",0.55,0.05,0.30434232427828,"Growth Candidate",TRUE,87,1.1203551485088,0
"035420","035420",1.08585881475359e-05,0.525,"AI Laggard",0.525,0.05,0.454207718756631,"Growth Candidate",TRUE,88,1.12036600709694,0
"207940","207940",6.21897938804946e-06,0.35,"AI Laggard",0.35,0.05,0.356680861265977,"Growth Candidate",TRUE,89,1.12037222607633,0
"035720","035720",5.83004724402226e-06,0.45,"AI Laggard",0.45,0.05,0.535095219749702,"Emerging Unicorn Candidate",TRUE,90,1.12037805612358,0
"PAGS","PAGS",4.6205127665958e-06,0.4,"AI Laggard",0.4,0.05,0.495611975252142,"Growth Candidate",TRUE,91,1.12038267663634,0
"SAP","SAP",3.42830838086645e-06,0.9,"AI Leader",0.9,0.05,0.403862620568389,"Monitor",TRUE,92,1.12038610494472,0
"STNE","STNE",2.57379730704837e-06,0.525,"AI Follower",0.525,0.05,0.54149232669711,"Emerging Unicorn Candidate",TRUE,93,1.12038867874203,0
"JD","JD",3.64493460089761e-11,0.625,"AI Follower",0.625,0.05,0.352095114855795,"Growth Candidate",TRUE,94,1.12038867877848,0
"BILI","BILI",2.33135056676246e-11,0.6,"AI Follower",0.6,0.05,0.525453933144037,"Growth Candidate",TRUE,95,1.12038867880179,0
"ANT","ANT",0,0.55,"AI Follower",0.55,0.05,2.6974524923216,"Emerging Unicorn Candidate",FALSE,96,1.12038867880179,0
"BIDU","BIDU",0,0.525,"AI Laggard",0.525,0.05,0.469600366176147,"Growth Candidate",FALSE,97,1.12038867880179,0
"CAJPY","CAJPY",0,0.55,"AI Follower",0.55,0.05,0.245917754320651,"Growth Candidate",FALSE,98,1.12038867880179,0
"HMC","HMC",0,0.475,"AI Laggard",0.475,0.05,0.374056730251786,"Growth Candidate",FALSE,99,1.12038867880179,0
"HSBC","HSBC",0,0.525,"AI Laggard",0.525,0.05,0.287413953878649,"Growth Candidate",FALSE,100,1.12038867880179,0
"HTHIY","HTHIY",0,0.425,"AI Laggard",0.425,0.05,0.446167314915806,"Growth Candidate",FALSE,101,1.12038867880179,0
"IBN","IBN",0,0.525,"AI Laggard",0.525,0.05,0.214990965947213,"Growth Candidate",FALSE,102,1.12038867880179,0
"ICE","ICE",0,0.6,"AI Follower",0.6,0.05,0.87968620304868,"Emerging Unicorn Candidate",FALSE,103,1.12038867880179,0
"IQ","IQ",0,0.725,"AI Adopter",0.725,0.05,0.532168111475149,"Emerging Unicorn Candidate",FALSE,104,1.12038867880179,0
"MITSY","MITSY",0,0.525,"AI Follower",0.525,0.05,0.315519989330233,"Growth Candidate",FALSE,105,1.12038867880179,0
"NIO","NIO",0,0.725,"AI Adopter",0.725,0.05,0.900152120127736,"Top Unicorn Candidate",FALSE,106,1.12038867880179,0
"NJDCY","NJDCY",0,0.5,"AI Laggard",0.5,0.05,1.00805828089455,"Emerging Unicorn Candidate",FALSE,107,1.12038867880179,0
"NSRGY","NSRGY",0,0.65,"AI Adopter",0.65,0.05,0.239238213973296,"Growth Candidate",FALSE,108,1.12038867880179,0
"NTES","NTES",0,0.825,"AI Leader",0.825,0.05,0.326154931637664,"Monitor",FALSE,109,1.12038867880179,0
"NVO","NVO",0,0.575,"AI Follower",0.575,0.05,1.05978063101043,"Emerging Unicorn Candidate",FALSE,110,1.12038867880179,0
"RKUNY","RKUNY",0,0.6,"AI Follower",0.6,0.05,0.364395101302991,"Growth Candidate",FALSE,111,1.12038867880179,0
"RMSG","RMSG",0,0.35,"AI Laggard",0.35,0.05,1.66050699133053,"Emerging Unicorn Candidate",FALSE,112,1.12038867880179,0
"SIEGY","SIEGY",0,0.65,"AI Adopter",0.65,0.05,0.344298735111701,"Growth Candidate",FALSE,113,1.12038867880179,0
"SMCAY","SMCAY",0,0.575,"AI Follower",0.575,0.05,0.404689560033369,"Growth Candidate",FALSE,114,1.12038867880179,0
"SMFG","SMFG",0,0.575,"AI Follower",0.575,0.05,0.331308593824387,"Growth Candidate",FALSE,115,1.12038867880179,0
"SNY","SNY",0,0.85,"AI Leader",0.85,0.05,0.254581680303151,"Monitor",FALSE,116,1.12038867880179,0
"SONY","SONY",0,0.85,"AI Leader",0.85,0.05,0.305243679045601,"Monitor",FALSE,117,1.12038867880179,0
"SQM","SQM",0,0.45,"AI Laggard",0.45,0.05,0.506105971992427,"Growth Candidate",FALSE,118,1.12038867880179,0
"SSDOY","SSDOY",0,0.525,"AI Follower",0.525,0.05,0.450858679587993,"Growth Candidate",FALSE,119,1.12038867880179,0
"TAK","TAK",0,1,"AI Leader",1,0.05,0.206181306494316,"Monitor",FALSE,120,1.12038867880179,0
"TCOM","TCOM",0,0.875,"AI Leader",0.875,0.05,0.365234139126682,"Monitor",FALSE,121,1.12038867880179,0
"TTDKY","TTDKY",0,0.525,"AI Follower",0.525,0.05,0.474927800313085,"Growth Candidate",FALSE,122,1.12038867880179,0
"UL","UL",0,0.85,"AI Leader",0.85,0.05,0.213833456883885,"Monitor",FALSE,123,1.12038867880179,0
"WB","WB",0,0.875,"AI Leader",0.875,0.05,0.330261032656886,"Monitor",FALSE,124,1.12038867880179,0
"WORK","WORK",0,0.85,"AI Leader",0.85,0.05,0.258839732805437,"Monitor",FALSE,125,1.12038867880179,0
"ZM","ZM",-6.26936741602848e-05,0.875,"AI Leader",0.875,0.05,0.345081319975638,"Monitor",TRUE,126,1.12032598512763,-0.01
"DOCU","DOCU",-6.66652766999471e-05,0.725,"AI Adopter",0.725,0.05,0.50869664727924,"Growth Candidate",TRUE,127,1.12025931985093,-0.01
"MELI","MELI",-7.1411025641586e-05,0.425,"AI Laggard",0.425,0.05,0.520361711620576,"Growth Candidate",TRUE,128,1.12018790882529,-0.01
"SAIL","SAIL",-8.03745418043499e-05,0.7,"AI Adopter",0.7,0.05,0.477405360418388,"Growth Candidate",TRUE,129,1.12010753428349,-0.01
"BAM","BAM",-0.00019437019818103,0.55,"AI Follower",0.55,0.05,0.310094324838754,"Growth Candidate",TRUE,130,1.11991316408531,-0.02
"AFRM","AFRM",-0.000277769027437666,0.475,"AI Laggard",0.475,0.05,0.70798517173266,"Emerging Unicorn Candidate",TRUE,131,1.11963539505787,-0.03
"KO","KO",-0.000297748983530109,0.75,"AI Leader",0.75,0.05,0.178291222737293,"Monitor",TRUE,132,1.11933764607434,-0.03
"SNPS","SNPS",-0.000308437524287284,0.5,"AI Laggard",0.5,0.05,0.31517870049163,"Growth Candidate",TRUE,133,1.11902920855005,-0.03
"LI","LI",-0.00038902456210402,0.725,"AI Adopter",0.725,0.05,0.530651553220333,"Growth Candidate",TRUE,134,1.11864018398795,-0.04
"ASAN","ASAN",-0.000399808572905983,0.55,"AI Follower",0.55,0.05,0.61041485250406,"Emerging Unicorn Candidate",TRUE,135,1.11824037541504,-0.04
"HUBS","HUBS",-0.000412352217536563,0.6,"AI Follower",0.6,0.05,0.569990733886138,"Emerging Unicorn Candidate",TRUE,136,1.1178280231975,-0.04
"NTRS","NTRS",-0.000421641722087712,0.725,"AI Leader",0.725,0.05,0.304509486811002,"Monitor",TRUE,137,1.11740638147542,-0.04
"XOM","XOM",-0.000450688178314009,0.7,"AI Adopter",0.7,0.05,0.250485984550765,"Growth Candidate",TRUE,138,1.1169556932971,-0.05
"CVX","CVX",-0.000469701822019174,0.375,"AI Laggard",0.375,0.05,0.859918687189076,"Emerging Unicorn Candidate",TRUE,139,1.11648599147508,-0.05
"TTE","TTE",-0.000609452417231197,0.85,"AI Leader",0.85,0.05,0.243629154438982,"Monitor",TRUE,140,1.11587653905785,-0.06
"DIS","DIS",-0.000621643591371274,0.6,"AI Follower",0.6,0.05,0.77510557513175,"Emerging Unicorn Candidate",TRUE,141,1.11525489546648,-0.06
"MQ","MQ",-0.000664129501047752,0.475,"AI Laggard",0.475,0.05,0.433346957857323,"Growth Candidate",TRUE,142,1.11459076596543,-0.07
"NEE","NEE",-0.000669091878963269,0.8,"AI Leader",0.8,0.05,0.263303467412841,"Monitor",TRUE,143,1.11392167408647,-0.07
"BA","BA",-0.000721824613602347,0.725,"AI Adopter",0.725,0.05,0.389912213932893,"Growth Candidate",TRUE,144,1.11319984947287,-0.07
"TM","TM",-0.000758683640641666,0.75,"AI Leader",0.75,0.05,0.532575236371514,"Monitor",TRUE,145,1.11244116583223,-0.08
"ZS","ZS",-0.000887038324480859,0.825,"AI Leader",0.825,0.05,0.478075712000965,"Monitor",TRUE,146,1.11155412750774,-0.09
"LRCX","LRCX",-0.000905264391432923,0.65,"AI Adopter",0.65,0.05,0.532742120452438,"Emerging Unicorn Candidate",TRUE,147,1.11064886311631,-0.09
"VIRT","VIRT",-0.000933180802068279,0.65,"AI Adopter",0.65,0.05,0.317597812295948,"Growth Candidate",TRUE,148,1.10971568231424,-0.09
"CRWD","CRWD",-0.000958565879254935,0.65,"AI Adopter",0.65,0.05,0.477216789725239,"Growth Candidate",TRUE,149,1.10875711643499,-0.1
"STT","STT",-0.00101134051649069,0.625,"AI Follower",0.625,0.05,0.2981451325879,"Growth Candidate",TRUE,150,1.1077457759185,-0.1
"HD","HD",-0.00104448828766084,0.675,"AI Adopter",0.675,0.05,0.236457973542751,"Growth Candidate",TRUE,151,1.10670128763084,-0.1
"MA","MA",-0.00118940019968967,0.65,"AI Adopter",0.65,0.05,0.463004882712433,"Growth Candidate",TRUE,152,1.10551188743115,-0.12
"MU","MU",-0.00119156173081395,0.725,"AI Adopter",0.725,0.05,0.658275965600784,"Top Unicorn Candidate",TRUE,153,1.10432032570033,-0.12
"CSCO","CSCO",-0.00136804429459707,0.75,"AI Leader",0.75,0.05,0.279845906403899,"Monitor",TRUE,154,1.10295228140574,-0.14
"BIO","BIO",-0.00143094008773622,0.675,"AI Adopter",0.675,0.05,0.445338091597015,"Growth Candidate",TRUE,155,1.101521341318,-0.14
"ABBV","ABBV",-0.00143904325619706,0.7,"AI Adopter",0.7,0.05,0.273302618171148,"Growth Candidate",TRUE,156,1.1000822980618,-0.14
"APD","APD",-0.00166778822123095,0.475,"AI Laggard",0.475,0.05,0.285847360461738,"Growth Candidate",TRUE,157,1.09841450984057,-0.17
"OKTA","OKTA",-0.00169416342677369,0.75,"AI Leader",0.75,0.05,0.328319400660794,"Monitor",TRUE,158,1.0967203464138,-0.17
"JNJ","JNJ",-0.00190684739534666,0.675,"AI Adopter",0.675,0.05,0.193338821589825,"Growth Candidate",TRUE,159,1.09481349901845,-0.19
"BABA","BABA",-0.00190868847395446,0.5,"AI Laggard",0.5,0.05,0.421188554621379,"Growth Candidate",TRUE,160,1.0929048105445,-0.19
"TWLO","TWLO",-0.00193513229653263,0.75,"AI Leader",0.75,0.05,0.541922125720506,"Monitor",TRUE,161,1.09096967824796,-0.19
"MC","MC",-0.00202919472764398,0.75,"AI Leader",0.75,0.05,0.300541445211568,"Monitor",TRUE,162,1.08894048352032,-0.2
"NET","NET",-0.00203755618773195,0.9,"AI Leader",0.9,0.05,0.407248431674135,"Monitor",TRUE,163,1.08690292733259,-0.2
"T","T",-0.00203935044166558,0.7,"AI Adopter",0.7,0.05,0.915655363291631,"Top Unicorn Candidate",TRUE,164,1.08486357689092,-0.2
"FSLY","FSLY",-0.00253305494190617,0.525,"AI Follower",0.525,0.05,1.07053096592275,"Emerging Unicorn Candidate",TRUE,165,1.08233052194902,-0.25
"PYPL","PYPL",-0.0026614501112097,0.6,"AI Follower",0.6,0.05,0.418929982812779,"Growth Candidate",TRUE,166,1.07966907183781,-0.27
"DUK","DUK",-0.00267161866812203,0.6,"AI Follower",0.6,0.05,0.161934267461587,"Growth Candidate",TRUE,167,1.07699745316969,-0.27
"IBM","IBM",-0.00277520963153262,0.7,"AI Adopter",0.7,0.05,0.33689577847309,"Growth Candidate",TRUE,168,1.07422224353815,-0.28
"PFE","PFE",-0.00294709914015656,0.65,"AI Adopter",0.65,0.05,0.746316185082916,"Top Unicorn Candidate",TRUE,169,1.071275144398,-0.29
"APO","APO",-0.00324342529410068,0.6,"AI Follower",0.6,0.05,0.534914847592011,"Emerging Unicorn Candidate",TRUE,170,1.0680317191039,-0.32
"SMCI","SMCI",-0.00325453942130327,0.625,"AI Follower",0.625,0.05,0.825679702365063,"Top Unicorn Candidate",TRUE,171,1.06477717968259,-0.33
"NVS","NVS",-0.00426913895670171,0.75,"AI Leader",0.75,0.05,0.394509362424022,"Monitor",TRUE,172,1.06050804072589,-0.43
"UPS","UPS",-0.00458178882175837,0.7,"AI Adopter",0.7,0.05,0.314464627692908,"Growth Candidate",TRUE,173,1.05592625190413,-0.46
"ARES","ARES",-0.00527305081210514,0.45,"AI Laggard",0.45,0.05,0.473080088350445,"Growth Candidate",TRUE,174,1.05065320109203,-0.53
"SOFI","SOFI",-0.00573246177513857,0.475,"AI Laggard",0.475,0.05,0.616229735342761,"Emerging Unicorn Candidate",TRUE,175,1.04492073931689,-0.57
"VZ","VZ",-0.00576211726732556,0.7,"AI Adopter",0.7,0.05,0.24194516591695,"Growth Candidate",TRUE,176,1.03915862204956,-0.58
"ORCL","ORCL",-0.00583589369589294,0.65,"AI Adopter",0.65,0.05,1.37189635538229,"Top Unicorn Candidate",TRUE,177,1.03332272835367,-0.58
"INTC","Intel Corp.",-0.00642447790125231,0.75,"AI Leader",0.75,0.05,0.674207401585537,"Monitor",TRUE,178,1.02689825045242,-0.64
"MCD","MCD",-0.00700166033713974,0.5,"AI Laggard",0.5,0.05,0.421188554621379,"Growth Candidate",TRUE,179,1.01989659011528,-0.7
"WMT","WMT",-0.0083012208196396,0.625,"AI Follower",0.625,0.05,0.248139951435159,"Growth Candidate",TRUE,180,1.01159536929564,-0.83
"CAT","CAT",-0.0115953692956381,0.625,"AI Follower",0.625,0.05,2.35503597319207,"Emerging Unicorn Candidate",TRUE,181,1,-1.16
