"company_id","company_name","innovation_quartile","DAII_3.5_Score","strategy","final_weight"
"NOW US","NOW US","Q1",29.4413313724924,"equal_weight_quartile",0.0192307692307692
"NTRS US","NTRS US","Q2",30.8606657751766,"equal_weight_quartile",0.0208333333333333
"NU US","NU US","Q4",51.9748777979055,"equal_weight_quartile",0.0192307692307692
"SMCAY US","SMCAY US","Q4",51.6022295620082,"equal_weight_quartile",0.0192307692307692
"SNY US","SNY US","Q4",79.823912894202,"equal_weight_quartile",0.0192307692307692
"SOFI US","SOFI US","Q2",33.1505469062943,"equal_weight_quartile",0.0208333333333333
"SOXX US","SOXX US","Q1",0,"equal_weight_quartile",0.0192307692307692
"T US","T US","Q4",62.1045572467009,"equal_weight_quartile",0.0192307692307692
"TKPHF US","TKPHF US","Q4",100,"equal_weight_quartile",0.0192307692307692
"TM US","TM US","Q4",59.5019342340129,"equal_weight_quartile",0.0192307692307692
"TMO US","TMO US","Q4",51.9677489584706,"equal_weight_quartile",0.0192307692307692
"TOST US","TOST US","Q3",43.9642305447437,"equal_weight_quartile",0.0208333333333333
"TXN US","TXN US","Q1",19.2510890767036,"equal_weight_quartile",0.0192307692307692
"WCPAY US","WCPAY US","Q2",33.305133490012,"equal_weight_quartile",0.0208333333333333
"XOM US","XOM US","Q2",30.9480039597249,"equal_weight_quartile",0.0208333333333333
"ZM US","ZM US","Q1",30.0624109730313,"equal_weight_quartile",0.0192307692307692
"0170016D US","0170016D US","Q2",33.305133490012,"score_weighted",0.015600114209785
"035420 KS","035420 KS","Q2",40.9523829584772,"score_weighted",0.0191820834919244
"ABBV US","ABBV US","Q4",87.3017133837011,"score_weighted",0.0408920955054597
"AIEQ US","AIEQ US","Q4",70.9644703318552,"score_weighted",0.0332397359207655
"AMAT US","AMAT US","Q3",41.5770189882279,"score_weighted",0.019474662814766
"ANET US","ANET US","Q3",45.3847704069706,"score_weighted",0.0212582123997773
"APH US","APH US","Q2",37.0546888125973,"score_weighted",0.0173564047613836
"ARES US","ARES US","Q2",34.0045212923827,"score_weighted",0.015927707239766
"ASAN US","ASAN US","Q1",25.7307808251386,"score_weighted",0.0120522897678668
"BABA US","BABA US","Q3",43.1904254168411,"score_weighted",0.0202303818861433
"BIDU US","BIDU US","Q1",12.8142339239876,"score_weighted",0.00600218320052847
"BLK US","BLK US","Q3",42.2196517666519,"score_weighted",0.0197756718091114
"BX US","BX US","Q4",56.4499525531634,"score_weighted",0.0264411402893908
"CAT US","CAT US","Q1",28.9108188309048,"score_weighted",0.0135418185846867
"CME US","CME US","Q1",29.1723199269877,"score_weighted",0.0136643056170867
"COIN US","COIN US","Q4",64.8676807483634,"score_weighted",0.0303840015684614
"CRWD US","CRWD US","Q3",48.9302109201354,"score_weighted",0.022918895637872
"CSCO US","CSCO US","Q2",35.6501507520554,"score_weighted",0.0166985195689097
"DOCU US","DOCU US","Q2",36.2048606993803,"score_weighted",0.0169583455364042
"EADSY US","EADSY US","Q1",30.8135821892754,"score_weighted",0.0144330723523282
"JBL US","JBL US","Q1",18.2677802047834,"score_weighted",0.0085566225891073
"KO US","KO US","Q4",82.0642007957403,"score_weighted",0.0384388462316839
"KSPI US","KSPI US","Q3",50.0413173931341,"score_weighted",0.023439337565637
"KYCCF US","KYCCF US","Q3",41.4471786930528,"score_weighted",0.0194138456607266
"LRCX US","LRCX US","Q3",43.1291979643589,"score_weighted",0.020201702966367
"MA US","MA US","Q1",29.1942987079319,"score_weighted",0.0136746004712727
"MARUY US","MARUY US","Q3",45.3950804399206,"score_weighted",0.0212630416160174
"MC US","MC US","Q3",45.0915990573849,"score_weighted",0.0211208910304471
"MCD US","MCD US","Q2",33.5636747758958,"score_weighted",0.0157212148680046
"MCO US","MCO US","Q1",30.1449216288886,"score_weighted",0.0141198719529741
"MFG US","MFG US","Q2",32.9300830020466,"score_weighted",0.0154244406774015
"MQ US","MQ US","Q1",17.6088792583499,"score_weighted",0.0082479935899057
"MSBHF US","MSBHF US","Q4",62.8352712387127,"score_weighted",0.0294320215837208
"MSFT US","MSFT US","Q3",47.624504177863,"score_weighted",0.0223073030042606
"NOW US","NOW US","Q1",29.4413313724924,"score_weighted",0.0137903104948294
"NTRS US","NTRS US","Q2",30.8606657751766,"score_weighted",0.0144551262893793
"NU US","NU US","Q4",51.9748777979055,"score_weighted",0.0243450166602726
"SMCAY US","SMCAY US","Q4",51.6022295620082,"score_weighted",0.0241704683420136
"SNY US","SNY US","Q4",79.823912894202,"score_weighted",0.0373894960725777
"SOFI US","SOFI US","Q2",33.1505469062943,"score_weighted",0.015527705901858
"SOXX US","SOXX US","Q1",0,"score_weighted",0.000999000999000999
"T US","T US","Q4",62.1045572467009,"score_weighted",0.0290897553762159
"TKPHF US","TKPHF US","Q4",100,"score_weighted",0.0468399690229837
"TM US","TM US","Q4",59.5019342340129,"score_weighted",0.0278706875632878
"TMO US","TMO US","Q4",51.9677489584706,"score_weighted",0.0243416775140896
"TOST US","TOST US","Q3",43.9642305447437,"score_weighted",0.0205928319683511
"TXN US","TXN US","Q1",19.2510890767036,"score_weighted",0.00901720416011495
"WCPAY US","WCPAY US","Q2",33.305133490012,"score_weighted",0.015600114209785
"XOM US","XOM US","Q2",30.9480039597249,"score_weighted",0.0144960354679669
"ZM US","ZM US","Q1",30.0624109730313,"score_weighted",0.0140812239873299
"0170016D US","0170016D US","Q2",33.305133490012,"quartile_tilted",0.0125
"035420 KS","035420 KS","Q2",40.9523829584772,"quartile_tilted",0.0125
"ABBV US","ABBV US","Q4",87.3017133837011,"quartile_tilted",0.0384615384615385
"AIEQ US","AIEQ US","Q4",70.9644703318552,"quartile_tilted",0.0384615384615385
"AMAT US","AMAT US","Q3",41.5770189882279,"quartile_tilted",0.0208333333333333
"ANET US","ANET US","Q3",45.3847704069706,"quartile_tilted",0.0208333333333333
"APH US","APH US","Q2",37.0546888125973,"quartile_tilted",0.0125
"ARES US","ARES US","Q2",34.0045212923827,"quartile_tilted",0.0125
"ASAN US","ASAN US","Q1",25.7307808251386,"quartile_tilted",0.00769230769230769
"BABA US","BABA US","Q3",43.1904254168411,"quartile_tilted",0.0208333333333333
"BIDU US","BIDU US","Q1",12.8142339239876,"quartile_tilted",0.00769230769230769
"BLK US","BLK US","Q3",42.2196517666519,"quartile_tilted",0.0208333333333333
"BX US","BX US","Q4",56.4499525531634,"quartile_tilted",0.0384615384615385
"CAT US","CAT US","Q1",28.9108188309048,"quartile_tilted",0.00769230769230769
"CME US","CME US","Q1",29.1723199269877,"quartile_tilted",0.00769230769230769
"COIN US","COIN US","Q4",64.8676807483634,"quartile_tilted",0.0384615384615385
"CRWD US","CRWD US","Q3",48.9302109201354,"quartile_tilted",0.0208333333333333
"CSCO US","CSCO US","Q2",35.6501507520554,"quartile_tilted",0.0125
"DOCU US","DOCU US","Q2",36.2048606993803,"quartile_tilted",0.0125
"EADSY US","EADSY US","Q1",30.8135821892754,"quartile_tilted",0.00769230769230769
"JBL US","JBL US","Q1",18.2677802047834,"quartile_tilted",0.00769230769230769
"KO US","KO US","Q4",82.0642007957403,"quartile_tilted",0.0384615384615385
"KSPI US","KSPI US","Q3",50.0413173931341,"quartile_tilted",0.0208333333333333
"KYCCF US","KYCCF US","Q3",41.4471786930528,"quartile_tilted",0.0208333333333333
"LRCX US","LRCX US","Q3",43.1291979643589,"quartile_tilted",0.0208333333333333
"MA US","MA US","Q1",29.1942987079319,"quartile_tilted",0.00769230769230769
"MARUY US","MARUY US","Q3",45.3950804399206,"quartile_tilted",0.0208333333333333
"MC US","MC US","Q3",45.0915990573849,"quartile_tilted",0.0208333333333333
"MCD US","MCD US","Q2",33.5636747758958,"quartile_tilted",0.0125
"MCO US","MCO US","Q1",30.1449216288886,"quartile_tilted",0.00769230769230769
"MFG US","MFG US","Q2",32.9300830020466,"quartile_tilted",0.0125
"MQ US","MQ US","Q1",17.6088792583499,"quartile_tilted",0.00769230769230769
"MSBHF US","MSBHF US","Q4",62.8352712387127,"quartile_tilted",0.0384615384615385
"MSFT US","MSFT US","Q3",47.624504177863,"quartile_tilted",0.0208333333333333
"NOW US","NOW US","Q1",29.4413313724924,"quartile_tilted",0.00769230769230769
"NTRS US","NTRS US","Q2",30.8606657751766,"quartile_tilted",0.0125
"NU US","NU US","Q4",51.9748777979055,"quartile_tilted",0.0384615384615385
"SMCAY US","SMCAY US","Q4",51.6022295620082,"quartile_tilted",0.0384615384615385
"SNY US","SNY US","Q4",79.823912894202,"quartile_tilted",0.0384615384615385
"SOFI US","SOFI US","Q2",33.1505469062943,"quartile_tilted",0.0125
"SOXX US","SOXX US","Q1",0,"quartile_tilted",0.00769230769230769
"T US","T US","Q4",62.1045572467009,"quartile_tilted",0.0384615384615385
"TKPHF US","TKPHF US","Q4",100,"quartile_tilted",0.0384615384615385
"TM US","TM US","Q4",59.5019342340129,"quartile_tilted",0.0384615384615385
"TMO US","TMO US","Q4",51.9677489584706,"quartile_tilted",0.0384615384615385
"TOST US","TOST US","Q3",43.9642305447437,"quartile_tilted",0.0208333333333333
"TXN US","TXN US","Q1",19.2510890767036,"quartile_tilted",0.00769230769230769
"WCPAY US","WCPAY US","Q2",33.305133490012,"quartile_tilted",0.0125
"XOM US","XOM US","Q2",30.9480039597249,"quartile_tilted",0.0125
"ZM US","ZM US","Q1",30.0624109730313,"quartile_tilted",0.00769230769230769
