"ticker","company_name","ai_score_aggressive","revenue_growth","volatility","unicorn_tier","rd_intensity","patent_activity","market_cap"
"RMSG","RMSG",56.25,0.05,1.70508700859917,"Emerging Unicorn Candidate",0.000693147180559945,1,4.09444999694824
"AFRM","AFRM",55,0.05,0.699325870341259,"Emerging Unicorn Candidate",0.200536552649229,0,15789.4501953125
"ANET","ANET",55,0.05,0.535921710603355,"Emerging Unicorn Candidate",0.13739076362748,2093,167923.703125
"APO","APO",53.75,0.05,0.545163406010168,"Emerging Unicorn Candidate",0.0097846477086546,17758,782
"BAC","BAC",52.5,0.05,1.19734145956954,"Emerging Unicorn Candidate",0.00891623773172148,7451,8.32544994354248
"CVX","CVX",52.5,0.05,0.869994915471667,"Emerging Unicorn Candidate",0.01,0,186.617599487305
"MELI","MELI",51.25,0.05,0.723010517910151,"Emerging Unicorn Candidate",0.00638519439899773,592,1.68198001384735
"000660","000660",48.75,0.05,0.657358383527183,"Emerging Unicorn Candidate",0.0659459935195929,0,652835392
"AMT","AMT",46.25,0.05,0.975592851540864,"Emerging Unicorn Candidate",0.00763046126178363,2059,81136.046875
"035720","035720",45,0.05,0.538751422062406,"Emerging Unicorn Candidate",0.0774747655958112,0,20555250
"005380","005380",42.5,0.05,0.57680290633667,"Emerging Unicorn Candidate",0.0145919127246513,0,111158600
"051910","051910",42.5,0.05,0.605147731295293,"Emerging Unicorn Candidate",0.0145702465986419,0,24052220
"AXP","AXP",41.25,0.05,1.06988384762724,"Emerging Unicorn Candidate",0.00533753807970132,207,210556.09375
"CME","CME",41.25,0.05,1.84364753327064,"Emerging Unicorn Candidate",0.00674170069465205,846,112680
"BILL","BILL",37.5,0.05,0.557291899473738,"Emerging Unicorn Candidate",0.00666695679242921,785,3788.2060546875
"9984","9984",36.25,0.05,0.681512840026412,"Emerging Unicorn Candidate",0.00109861228866811,2,20362740
