"ticker","RepNo","CompanyName","ISIN","Exchange","Country","rd_expense","revenue","fiscal_year_end","market_cap","pe_ratio_fy","beta_5y","volatility_30d","volatility_90d","volatility_260d","company_name","total_patents","ai_patents","in_portfolio","total_net_exposure_usd","total_net_pct_ltp","n_funds","rd_intensity","fund_weight","patent_activity","revenue_growth","total_return","volatility","bloomberg_volatility","total_return_5yr","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","holdings_n_funds","holdings_total_weight","holdings_total_value","total_fund_weight","total_position_value","industry","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly"
"9984","A4C3E","SoftBank Group Corp","JP3436100006","TYO","JPN",609682.8,7243752,"2025-03-31",20322760,18.2601890563965,1.89998996257782,0.688925348465946,0.72939340125206,0.674787271907883,"9984",2,0,FALSE,0,0,0,NA,0.00520833333333333,2,0.0830967104993761,0.1,0.674787271907883,NA,NA,NA,1,2,1,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",113,113,113,"Underperformer","Low","Low",0.210975458279819,FALSE
"AAPL","05680","Apple Inc","US0378331005","NASD","USA",34550,416161,"2025-09-27",3646123,33.3651313781738,1.11861002445221,0.207005521398254,0.238949747692794,0.323275532260861,"Apple Inc.",38288,5035,FALSE,0,0,0,0.00947581856124985,0.00520833333333333,38288,0.187644900660962,0.1,0.323275532260861,NA,NA,1,4,3,3,0.675,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.675,3,"AI Adopter",0,0,0,0,0,"Tier 3: Watch List",34,34,34,"Balanced Performer","Medium","Medium",0.0838748082086878,FALSE
"ABBV","E2F10","AbbVie Inc","US00287Y1091","NYSE","USA",9096,61160,"2025-12-31",362598.40625,86.8583679199219,0.395159989595413,0.266673528503485,0.270852571764522,0.273365692000503,"ABBV",228,0,FALSE,0,0,0,0.0250856039166609,0.00520833333333333,228,0.27386889886111,0.1,0.273365692000503,NA,NA,2,2,4,3,0.65,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.65,3,"AI Adopter",0,0,0,0,0,"Tier 3: Watch List",43.5,43.5,43.5,"Balanced Performer","Medium","Medium",0.0653752766112535,FALSE
"ABT","0091N","Abbott Laboratories","US0028241000","NYSE","USA",2889,44328,"2025-12-31",183255.203125,28.2562599182129,0.769829988479614,0.230971945091624,0.276189431523041,0.238449034781777,"ABT",1010,16,FALSE,0,0,0,0.0157649002633196,0.00520833333333333,1010,0.00217152973636985,0.1,0.238449034781777,NA,NA,2,3,1,4,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",53.5,53.5,53.5,"Underperformer","Low","Low",0.0557751082319639,FALSE
"ADBE","01010","Adobe Inc","US00724F1012","NASD","USA",4294,23769,"2025-11-28",101155.1015625,14.8611602783203,1.50411999225616,0.414836992664966,0.36007580383479,0.34158532966209,"ADBE",32,0,FALSE,0,0,0,0.0424496632762204,0.00520833333333333,32,0.0849171290174127,0.1,0.34158532966209,NA,NA,3,2,2,3,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",53.5,53.5,53.5,"Underperformer","Low","Low",0.0101325329071419,FALSE
"AFRM","07881","Affirm Holdings Inc","US00827B1061","NASD","USA",437.80740234375,3224.412,"2025-06-30",14593.580078125,286.283813476562,3.64601993560791,0.620914026902536,0.582327121162656,0.716797337082092,"AFRM",0,0,FALSE,0,0,0,NA,0.00520833333333333,0,0.276005809102207,0.1,0.716797337082092,NA,NA,NA,1,4,1,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",114,114,114,"Underperformer","Low","Low",0.212139212179415,FALSE
"AMAT","05840","Applied Materials Inc","US0382221051","NASD","USA",3570,28368,"2025-10-26",283366.3125,41.2267112731934,1.61107003688812,0.472422466179828,0.525687961483704,0.472248928651358,"AMAT",6221,140,FALSE,0,0,0,0.0125985335677472,0.00520833333333333,6221,0.29129057135433,0.1,0.472248928651358,NA,NA,2,3,4,1,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",53.5,53.5,53.5,"Underperformer","Low","Low",0.0730266721210989,FALSE
"AMD","0147N","Advanced Micro Devices Inc","US0079031078","NASD","USA",8091,34639,"2025-12-27",328250.59375,77.1553726196289,1.96265995502472,0.523512363851523,0.597610661000799,0.635406861311639,"AMD Inc.",12971,2805,FALSE,0,0,0,0.0246488510730988,0.00520833333333333,12971,-0.0530050553381443,0.1,0.635406861311639,NA,NA,2,4,1,1,0.55,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.55,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",76,76,76,"Underperformer","Low","Low",0.127614780735338,FALSE
"AMT","A1AD8","American Tower Corp","US03027X1000","NYSE","USA",2471.973984375,10644.6,"2025-12-31",82399.1328125,32.7620010375977,0.917659997940063,0.291189589484643,0.283078759225617,0.248168245020728,"AMT",2059,115,FALSE,0,0,0,NA,0.00520833333333333,2059,0.0899988326244056,0.1,0.248168245020728,NA,NA,NA,3,2,4,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",115,115,115,"Underperformer","Low","Low",0.031807843222779,FALSE
"AMZN","A13EF","Amazon.com Inc","US0231351067","NASD","USA",108521,716924,"2025-12-31",2204631,28.628059387207,1.3867199420929,0.270161331284918,0.283189024348077,0.350815203135545,"Amazon.com Inc.",22269,2463,FALSE,0,0,0,0.0492241105200825,0.00520833333333333,22269,0.124133098497987,0.1,0.350815203135545,NA,NA,3,4,2,3,0.775,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.775,4,"AI Leader",0,0,0,0,0,"Tier 2: Strong Candidates",14,14,14,"AI Pioneer","High","High",0.0778423932772829,FALSE
"ANET","A0B2A","ACT Networks, Inc.","US0009751027","NASD","USA",10.643,48.836,"2000-06-30",171.36279296875,NA,1.27737998962402,0,0,0,"ANET",2093,147,FALSE,0,0,0,0.0621079979826244,0.00520833333333333,2093,0.261612554918975,0.1,0,NA,NA,3,3,4,4,0.85,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.85,4,"AI Leader",0,0,0,0,0,"Tier 1: Top 10 Opportunities",6,6,6,"AI Pioneer","High","High",0.252728572820427,FALSE
"ANT","A3B5E","Anteon International Corp.","US03674E1082","NYSE","USA",62.463837890625,1493.212,"2005-12-31",2082.1279296875,26.6518096923828,-0.132359996438026,0,0,0,"ANT",73763,4916,FALSE,0,0,0,NA,0.00520833333333333,73763,-0.0445159329101443,0.1,0,NA,NA,NA,4,1,4,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",116,116,116,"Underperformer","Low","Low",0.177419424398388,FALSE
"APD","0177N","Air Products and Chemicals Inc","US0091581068","NYSE","USA",96.3,12037.3,"2025-09-30",62568.5703125,NA,0.823400020599365,0.217143470076466,0.264668880532621,0.286070612639621,"APD",120,1,FALSE,0,0,0,0.00153911140240264,0.00520833333333333,120,0.295556691568345,0.1,0.286070612639621,NA,NA,1,2,4,3,0.575,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.575,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",70,70,70,"Underperformer","Low","Low",0.123563434443415,FALSE
"APH","A01DE","Amphenol Corp","US0320951017","NYSE","USA",647,23094.7,"2025-12-31",155790.703125,37.9154586791992,1.25884997844696,0.470437451868608,0.546169881503499,0.409801708429182,"APH",20461,1854,FALSE,0,0,0,0.00415300776632912,0.00520833333333333,20461,0.278667293023318,0.1,0.409801708429182,NA,NA,1,4,4,2,0.675,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.675,3,"AI Adopter",0,0,0,0,0,"Tier 3: Watch List",38.5,38.5,38.5,"Balanced Performer","Medium","Medium",0.0616259275241494,FALSE
"APO","A205A","American Community Properties Trust","US02520N1063","ASE","USA",1.30389484405518,82.914,"2008-12-31",43.4631614685059,NA,1.15874004364014,0,0,0,"APO",17758,1567,FALSE,0,0,0,NA,0.00520833333333333,17758,-0.067024976760149,0.1,0,NA,NA,NA,4,1,4,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",117,117,117,"Underperformer","Low","Low",0.188786091212775,FALSE
"ARES","EED76","Ares Management Corp","US03990B1017","NYSE","USA",1046.4380859375,5601.482,"2025-12-31",34881.26953125,59.9989814758301,1.54823005199432,0.580741522265285,0.54633502871021,0.479367501221728,"ARES",2250,57,FALSE,0,0,0,NA,0.00520833333333333,2250,0.105684713739902,0.1,0.479367501221728,NA,NA,NA,3,2,1,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",118,118,118,"Underperformer","Low","Low",0.0266509859001714,FALSE
"ASAN","033A4","Asana Inc","US04342Y1047","NYSE","USA",300.366,790.806,"2026-01-31",1583.28601074219,NA,1.0619900226593,0.587345324573071,0.553341481364724,0.610894403628629,"ASAN",560,34,FALSE,0,0,0,0.189710512164002,0.00520833333333333,560,0.0560813868418336,0.1,0.610894403628629,NA,NA,4,2,2,1,0.6,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.6,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",65.5,65.5,65.5,"Underperformer","Low","Low",0.0996717307250172,FALSE
"ASML","A1BEF","ASML Holding NV (ADR)","USN070592100","NASD","USA",4320.8,32667.3,"2025-12-31",507449,46.0759582519531,1.87692999839783,0.419376580722221,0.43260489074337,0.419937151858786,"ASML",5495,92,FALSE,0,0,0,0.00851474729480204,0.00520833333333333,5495,0.262295252364129,0.1,0.419937151858786,NA,NA,1,3,4,2,0.6,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.6,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",65.5,65.5,65.5,"Underperformer","Low","Low",0.034081741627926,FALSE
"AVGO","A26BA","AvantGo, Inc.","US05349M1009","NASD","USA",13.25,24.004,"2001-12-31",36.4140892028809,NA,1,0,0,0,"AVGO",5,0,FALSE,0,0,0,0.363870147243769,0.00520833333333333,5,0.0787878512404859,0.1,0,NA,NA,4,2,2,4,0.75,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.75,4,"AI Leader",0,0,0,0,0,"Tier 2: Strong Candidates",16.5,16.5,16.5,"AI Pioneer","High","High",0.27427960530473,TRUE
"AXP","0409N","American Express Co","US0258161092","NYSE","USA",6086.8321875,77654,"2025-12-31",202894.40625,19.2195091247559,1.14301002025604,0.401090085167529,0.311912189083074,0.336752036693958,"AXP",207,4,FALSE,0,0,0,NA,0.00520833333333333,207,0.234401703998446,0.1,0.336752036693958,NA,NA,NA,2,4,3,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",119,119,119,"Underperformer","Low","Low",0.0706207005349761,FALSE
"AZN","049D4","AstraZeneca PLC (US)","GB0009895292","NYSE","USA",13801,58739,"2025-12-31",289447.09375,28.0472793579102,0.430739998817444,NA,NA,NA,"AZN",37,0,FALSE,0,0,0,0.0476805616570472,0.00520833333333333,37,0.195038247108459,0.1,NA,NA,NA,3,2,3,NA,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",120,120,120,"Underperformer","Low","Low",0.281011191978976,TRUE
"BA","A16E8","Boeing Co","US0970231058","NYSE","USA",3615,89463,"2025-12-31",153333.90625,78.698356628418,1.13713002204895,0.33386346128883,0.288844898339245,0.384305555061119,"BA",357786,12881,FALSE,0,0,0,0.0235759988668521,0.00520833333333333,357786,0.224422056507319,0.1,0.384305555061119,NA,NA,2,4,4,2,0.75,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.75,4,"AI Leader",0,0,0,0,0,"Tier 2: Strong Candidates",18.5,18.5,18.5,"AI Pioneer","High","High",0.248155116143501,FALSE
"BABA","EAE54","Alibaba Group Holding Ltd - ADR","US01609W1027","NYSE","USA",57151,996347,"2025-03-31",292243.1875,15.7205600738525,0.507480025291443,0.343295375770538,0.430078791820887,0.441913885031569,"BABA",2563,229,FALSE,0,0,0,0.195559733963003,0.00520833333333333,2563,0.055243313126266,0.1,0.441913885031569,NA,NA,4,3,2,2,0.725,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.725,4,"AI Leader",0,0,0,0,0,"Tier 2: Strong Candidates",23.5,23.5,23.5,"AI Pioneer","High","High",0.0504220462900079,FALSE
"BAC","0957N","BankAmerica Corp. (OLD)","US0660501059","NYSE","USA",1235.1540234375,6175.7701171875,"1997-12-31",41171.80078125,13.915379524231,1.52917003631592,0,0,0,"BAC",7451,90,FALSE,0,0,0,NA,0.00520833333333333,7451,0.174067891761661,0.1,0,NA,NA,NA,3,3,4,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",121,121,121,"Underperformer","Low","Low",0.141067961732286,FALSE
"BAM","0E019","BROOKFIELD ASSET MANAGEMENT LTD","CA1130041058","NYSE","USA",2108.04890625,4662,"2025-12-31",70268.296875,28.1138191223145,1,0.332101093653642,0.342704724210899,0.344555038838598,"BAM",1925,29,FALSE,0,0,0,NA,0.00520833333333333,1925,-0.0984206644818187,0.1,0.344555038838598,NA,NA,NA,3,1,3,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",122,122,122,"Underperformer","Low","Low",0.121217307846607,FALSE
"BIDU","AAE7D","Baidu Inc (ADR)","US0567521085","NASD","USA",20433,129079,"2025-12-31",39279.26171875,57.8724708557129,0.419690012931824,0.314774953003179,0.490263041474349,0.469145794680221,"BIDU",0,0,FALSE,0,0,0,0.520198168344042,0.00520833333333333,0,0.233166432101279,0.1,0.469145794680221,NA,NA,4,1,4,2,0.675,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.675,3,"AI Adopter",0,0,0,0,0,"Tier 3: Watch List",38.5,38.5,38.5,"Balanced Performer","Medium","Medium",0.153218400768986,FALSE
"BILI","02852","Bilibili Inc - ADR","US0900401060","NASD","USA",3533.488,30347.766,"2025-12-31",8067.7060546875,61.6850814819336,0.842379987239838,0.498919149961841,0.552064476289746,0.527045942208858,"BILI",11026,747,FALSE,0,0,0,0.437979268957992,0.00520833333333333,11026,-0.0970663412474096,0.1,0.527045942208858,NA,NA,4,4,1,1,0.7,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.7,4,"AI Leader",0,0,0,0,0,"Tier 2: Strong Candidates",25,25,25,"AI Pioneer","High","High",0.246136366013339,FALSE
"BILL","057DA","BILL Holdings Inc","US0900431000","NYSE","USA",340.059,1462.57,"2025-06-30",3943.57299804688,173.994705200195,1.30541002750397,0.491105692968419,0.929004903294009,0.613384579649161,"BILL",785,32,FALSE,0,0,0,0.0862311919085612,0.00520833333333333,785,-0.0169364108704031,0.1,0.613384579649161,NA,NA,4,3,1,1,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",53.5,53.5,53.5,"Underperformer","Low","Low",0.0948289072408413,FALSE
"BIO","1178A","Bio Rad Laboratories Inc","US0905722072","NYSE","USA",257.6,2583.2,"2025-12-31",7159.2578125,9.49540042877197,1.18237996101379,0.240750782377074,0.4278261401224,0.447371720714074,"BIO",67862,672,FALSE,0,0,0,0.0359813833705266,0.00520833333333333,67862,0.262640563119203,0.1,0.447371720714074,NA,NA,3,4,4,2,0.825,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.825,4,"AI Leader",0,0,0,0,0,"Tier 1: Top 10 Opportunities",9.5,9.5,9.5,"AI Pioneer","High","High",0.169063030589306,FALSE
"BLK","A203C","BlackRock Inc","US09290D1019","NYSE","USA",4469.84390625,24216,"2025-12-31",148994.796875,27.7557601928711,1.49302005767822,0.343910875849173,0.314058320681788,0.297310516062353,"BLK",8,0,FALSE,0,0,0,NA,0.00520833333333333,8,0.144711457379162,0.1,0.297310516062353,NA,NA,NA,2,3,3,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",123,123,123,"Underperformer","Low","Low",0.0348778671041606,FALSE
"BP","A1D5C","BP PLC (ADR)","US0556221044","NYSE","USA",570,189335,"2025-12-31",118603.703125,NA,0.220430001616478,0.270474381625556,0.30904881759599,0.304851601342522,"BP",2508,30,FALSE,0,0,0,0.00480592076791447,0.00520833333333333,2508,0.0518236962147057,0.1,0.304851601342522,NA,NA,1,3,2,3,0.55,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.55,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",73.5,73.5,73.5,"Underperformer","Low","Low",0.00701701154471066,FALSE
"BX","AE995","Blackstone Inc","US09260D1072","NYSE","USA",3934.9528125,14450.265,"2025-12-31",131165.09375,28.5369491577148,1.75108003616333,0.510915724092264,0.410988836394594,0.403919034551697,"BX",303,6,FALSE,0,0,0,NA,0.00520833333333333,303,0.0743086339905858,0.1,0.403919034551697,NA,NA,NA,2,2,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",124,124,124,"Underperformer","Low","Low",0.0181759153264719,FALSE
"BYDDF","A70EE","BYD Co Ltd",NA,NA,NA,49666.771,777102.455,"2024-12-31",1017916,19.8297100067139,0.906000018119812,0.449746373016342,0.394974740769964,0.429309775671954,"BYDDF",0,0,FALSE,0,0,0,0.0487926027294983,0.00520833333333333,0,0.198944446723908,0.1,0.429309775671954,NA,NA,3,1,3,2,0.55,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.55,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",73.5,73.5,73.5,"Underperformer","Low","Low",0.0387493587122042,FALSE
"CAJPY","A01ED","Canon Inc (ADR)","US1380063099","OTC","USA",339288,4624727,"2025-12-31",35918,11.4367704391479,0.646120011806488,0.215300185874393,0.254662519558515,0.241114298401308,"CAJPY",0,0,FALSE,0,0,0,9.44618297232585,0.00520833333333333,0,-0.0850275868549943,0.1,0.241114298401308,NA,NA,4,1,1,4,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",53.5,53.5,53.5,"Underperformer","Low","Low",0.612250364540102,TRUE
"CAT","1668N","Caterpillar Inc","US1491231015","NYSE","USA",2148,67589,"2025-12-31",316804.8125,36.1976089477539,1.53615999221802,0.294343085723569,0.350902211956713,0.339943148668977,"CAT",97783,6200,FALSE,0,0,0,0.00678020003247268,0.00520833333333333,97783,0.28941596550867,0.1,0.339943148668977,NA,NA,1,4,4,3,0.725,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.725,4,"AI Leader",0,0,0,0,0,"Tier 2: Strong Candidates",21.5,21.5,21.5,"AI Pioneer","High","High",0.152196745024185,FALSE
"CBOE","C51CF","Cboe Global Markets Inc","US12503M1080","BAT","USA",891.61171875,4714.2,"2025-12-31",29720.390625,27.2589797973633,0.364730000495911,0.247830912520066,0.224345009593421,0.222540204391303,"CBOE",43,0,FALSE,0,0,0,NA,0.00520833333333333,43,0.0727004995569587,0.1,0.222540204391303,NA,NA,NA,2,2,4,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",125,125,125,"Underperformer","Low","Low",0.043382908622809,FALSE
"CME","A4903","CME Group Inc","US12572Q1058","NASD","USA",3306.35390625,11951,"2025-12-31",110211.796875,27.538049697876,0.281069993972778,0.285331273560534,0.21904674743216,0.199712254421601,"CME",846,6,FALSE,0,0,0,NA,0.00520833333333333,846,0.28303063865751,0.1,0.199712254421601,NA,NA,NA,3,4,4,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",126,126,126,"Underperformer","Low","Low",0.120646491359601,FALSE
"COIN","0BBFC","Coinbase Global Inc","US19260Q1076","NASD","USA",1484.876,7181.325,"2025-12-31",52154.8515625,45.0071716308594,3.52175998687744,0.815438329627471,0.875650496664744,0.802209108933378,"COIN",802,15,FALSE,0,0,0,0.0284705248987353,0.00520833333333333,802,0.255101962201297,0.1,0.802209108933378,NA,NA,2,3,4,1,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 4: Monitor",53.5,53.5,53.5,"Underperformer","Low","Low",0.204782028523507,FALSE
