"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"AXP",41.25,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"AZN",48.75,"AI Laggard",FALSE,"Growth Candidate"
"BA",56.25,"AI Follower",FALSE,"Growth Candidate"
"BABA",38.75,"AI Laggard",FALSE,"Growth Candidate"
"BAC",52.5,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"BAM",35,"AI Laggard",FALSE,"Growth Candidate"
"BIDU",51.25,"AI Follower",FALSE,"Growth Candidate"
"BILI",55,"AI Follower",FALSE,"Growth Candidate"
"BILL",37.5,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"BIO",60,"AI Follower",FALSE,"Growth Candidate"
"BP",35,"AI Laggard",FALSE,"Growth Candidate"
"BX",33.75,"AI Laggard",FALSE,"Growth Candidate"
"CAJPY",37.5,"AI Laggard",FALSE,"Growth Candidate"
"CAT",63.75,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"CBOE",30,"AI Laggard",FALSE,"Growth Candidate"
"CME",41.25,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"COIN",60,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"CRM",63.75,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"CRWD",66.25,"AI Adopter",FALSE,"Growth Candidate"
"CSCO",58.75,"AI Follower",FALSE,"Monitor"
"CVX",52.5,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"DDOG",65,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"DE",56.25,"AI Follower",FALSE,"Monitor"
"DIS",67.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"DOCU",71.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"DUK",45,"AI Laggard",FALSE,"Growth Candidate"
"FSLY",65,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"GE",62.5,"AI Adopter",FALSE,"Monitor"
"GOOGL",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"GRAB",60,"AI Follower",FALSE,"Growth Candidate"
"GS",60,"AI Follower",FALSE,"Growth Candidate"
"HD",51.25,"AI Follower",FALSE,"Growth Candidate"
"HMC",47.5,"AI Laggard",FALSE,"Growth Candidate"
"HOOD",70,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"HSBC",40,"AI Laggard",FALSE,"Growth Candidate"
"HTHIY",48.75,"AI Laggard",FALSE,"Growth Candidate"
"HUBS",70,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"IBM",61.25,"AI Follower",FALSE,"Growth Candidate"
"IBN",40,"AI Laggard",FALSE,"Growth Candidate"
"ICE",67.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"INF",63.75,"AI Adopter",FALSE,"Growth Candidate"
"INFY",38.75,"AI Laggard",FALSE,"Growth Candidate"
"INTC",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"IQ",70,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"J",60,"AI Follower",FALSE,"Growth Candidate"
"JBL",47.5,"AI Laggard",FALSE,"Growth Candidate"
"JD",55,"AI Follower",FALSE,"Growth Candidate"
"JNJ",53.75,"AI Follower",FALSE,"Growth Candidate"
"JPM",45,"AI Laggard",FALSE,"Growth Candidate"
"KKR",42.5,"AI Laggard",FALSE,"Growth Candidate"
"KO",56.25,"AI Follower",FALSE,"Monitor"
"KSPI",35,"AI Laggard",FALSE,"Growth Candidate"
"LI",73.75,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"LIN",61.25,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"LLY",71.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"LMT",40,"AI Laggard",FALSE,"Growth Candidate"
"LRCX",65,"AI Adopter",FALSE,"Growth Candidate"
"MA",63.75,"AI Adopter",FALSE,"Growth Candidate"
"MC",56.25,"AI Follower",FALSE,"Monitor"
"MCD",48.75,"AI Laggard",FALSE,"Growth Candidate"
"MCO",62.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"MELI",51.25,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"META",72.5,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"MFG",77.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"MITSY",55,"AI Follower",FALSE,"Growth Candidate"
"MKTX",51.25,"AI Follower",FALSE,"Growth Candidate"
"MMM",57.5,"AI Follower",FALSE,"Growth Candidate"
"MQ",57.5,"AI Follower",FALSE,"Growth Candidate"
"MRK",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"MS",77.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"MSCI",62.5,"AI Adopter",FALSE,"Monitor"
"MSFT",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"MU",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"NDAQ",50,"AI Laggard",FALSE,"Growth Candidate"
"NEE",66.25,"AI Adopter",FALSE,"Monitor"
"NET",82.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"NFLX",66.25,"AI Adopter",FALSE,"Growth Candidate"
"NIO",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"NJDCY",68.75,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"NOW",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"NSRGY",57.5,"AI Follower",FALSE,"Growth Candidate"
"NTES",77.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"NTRS",63.75,"AI Adopter",FALSE,"Monitor"
"NU",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"NVDA",75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"NVO",73.75,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"NVS",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"OKTA",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"OR",73.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"ORCL",80,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"PAGS",52.5,"AI Follower",FALSE,"Growth Candidate"
"PANW",67.5,"AI Adopter",FALSE,"Growth Candidate"
"PCOR",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"PDD",61.25,"AI Follower",FALSE,"Growth Candidate"
"PFE",80,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"PG",61.25,"AI Follower",FALSE,"Monitor"
"PYPL",61.25,"AI Follower",FALSE,"Growth Candidate"
"QCOM",67.5,"AI Adopter",FALSE,"Growth Candidate"
"RELIANCE",55,"AI Follower",FALSE,"Growth Candidate"
"RKUNY",61.25,"AI Follower",FALSE,"Growth Candidate"
"RMSG",56.25,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"RTX",67.5,"AI Adopter",FALSE,"Monitor"
"SAIL",76.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"SAP",82.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"SE",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"SFTBF",62.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"SHEL",61.25,"AI Follower",FALSE,"Monitor"
"SHOP",85,"AI Leader (Aggressive)",FALSE,"Monitor"
"SIEGY",71.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"SMCAY",65,"AI Adopter",FALSE,"Growth Candidate"
"SMCI",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"SMFG",65,"AI Adopter",FALSE,"Growth Candidate"
"SNOW",91.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"SNPS",55,"AI Follower",FALSE,"Growth Candidate"
"SNY",78.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"SOFI",71.25,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"SONY",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"SPGI",67.5,"AI Adopter",FALSE,"Growth Candidate"
"SPOT",88.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"SQM",62.5,"AI Adopter",FALSE,"Growth Candidate"
"SSDOY",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"STNE",67.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"STT",60,"AI Follower",FALSE,"Growth Candidate"
"T",87.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"TAK",88.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TCOM",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"TEAM",72.5,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"TM",83.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TME",83.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TMO",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TOST",80,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"TSLA",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"TSM",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TTDKY",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"TTE",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TW",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TWLO",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TXN",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"UL",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"UNH",76.25,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"UPS",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"V",76.25,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"VIRT",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"VZ",65,"AI Adopter",FALSE,"Growth Candidate"
"WB",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"WDAY",81.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"WMT",60,"AI Follower",FALSE,"Growth Candidate"
"WORK",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"XOM",65,"AI Adopter",FALSE,"Growth Candidate"
"XPEV",78.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"ZM",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"ZS",91.25,"AI Leader (Aggressive)",FALSE,"Monitor"
