"ticker","ai_score","innovation_score","ai_quartile","innovation_quartile","ai_label","innovation_label","in_portfolio"
"CSCO",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"CVX",0.45,0.45,1,1,"AI Laggard","Emerging",FALSE
"DDOG",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"DE",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"DIS",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"DOCU",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"DUK",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"EADSY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"FANUY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"FRCOY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"FSLY",0.4,0.4,1,1,"AI Laggard","Emerging",FALSE
"GE",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"GOOGL",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"GRAB",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"GS",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"HD",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"HDB",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"HMC",0.8,0.8,4,4,"AI Leader","Leader",FALSE
"HOOD",0.4,0.4,1,1,"AI Laggard","Emerging",FALSE
"HSBC",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"HTHIY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"HUBS",0.65,0.65,3,3,"AI Adopter","Strong",FALSE
"IBM",0.65,0.65,3,3,"AI Adopter","Strong",FALSE
"IBN",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"ICE",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"INF",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"INFY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"INTC",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"IQ",0.8,0.8,4,4,"AI Leader","Leader",FALSE
"ITOCY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"J",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"JBL",0.425,0.425,1,1,"AI Laggard","Emerging",FALSE
"JD",0.725,0.725,4,4,"AI Leader","Leader",FALSE
"JNJ",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"JPM",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"KAOCF",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"KKR",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"KO",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"KSPI",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"KYCCF",0.35,0.35,1,1,"AI Laggard","Emerging",FALSE
"LI",0.9,0.9,4,4,"AI Leader","Leader",FALSE
"LIN",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"LLY",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"LMT",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"LRCX",0.4,0.4,1,1,"AI Laggard","Emerging",FALSE
"MA",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MC",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MCD",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MCO",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MELI",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"META",0.825,0.825,4,4,"AI Leader","Leader",FALSE
"MFG",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MITSY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MKTX",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MMM",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"MPNGF",0.45,0.45,1,1,"AI Laggard","Emerging",FALSE
"MQ",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MRK",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"MS",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"MSCI",0.475,0.475,1,1,"AI Laggard","Emerging",FALSE
"MSFT",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"MU",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"NDAQ",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"NEE",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"NET",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"NFLX",0.375,0.375,1,1,"AI Laggard","Emerging",FALSE
"NIO",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"NJDCY",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"NOW",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"NSRGY",0.45,0.45,1,1,"AI Laggard","Emerging",FALSE
"NTES",0.775,0.775,4,4,"AI Leader","Leader",FALSE
"NTRS",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"NU",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"NVDA",0.5,0.5,1,1,"AI Laggard","Emerging",FALSE
"NVO",0.65,0.65,3,3,"AI Adopter","Strong",FALSE
"NVS",0.775,0.775,4,4,"AI Leader","Leader",FALSE
"OKTA",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"OR",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"ORCL",0.5,0.5,1,1,"AI Laggard","Emerging",FALSE
"PAGS",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"PANW",0.475,0.475,1,1,"AI Laggard","Emerging",FALSE
"PCOR",0.75,0.75,4,4,"AI Leader","Leader",FALSE
"PDD",0.75,0.75,4,4,"AI Leader","Leader",FALSE
"PFE",0.925,0.925,4,4,"AI Leader","Leader",FALSE
"PG",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"PYPL",0.5,0.5,1,1,"AI Laggard","Emerging",FALSE
"QCOM",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"RELIANCE",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"RHHBY",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"RKUNY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"RTX",0.65,0.65,3,3,"AI Adopter","Strong",FALSE
"SAIL",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"SAP",0.875,0.875,4,4,"AI Leader","Leader",FALSE
"SE",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SFTBF",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SHEL",0.725,0.725,4,4,"AI Leader","Leader",FALSE
"SHOP",0.4,0.4,1,1,"AI Laggard","Emerging",FALSE
"SIEGY",0.5,0.5,1,1,"AI Laggard","Emerging",FALSE
"SMCAY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SMCI",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SMFG",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SNOW",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"SNPS",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"SNY",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"SOFI",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SONY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SPGI",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SPOT",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"SQM",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"SSDOY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"STNE",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"STT",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"T",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"TAK",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"TCEHY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"TCOM",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"TEAM",0.725,0.725,4,4,"AI Leader","Leader",FALSE
"TM",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"TME",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"TMO",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"TOST",0.4,0.4,1,1,"AI Laggard","Emerging",FALSE
"TSLA",0.45,0.45,1,1,"AI Laggard","Emerging",FALSE
"TSM",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"TTDKY",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"TTE",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"TW",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"TWLO",0.475,0.475,1,1,"AI Laggard","Emerging",FALSE
"TXN",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"UL",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"UNH",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"UPS",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"V",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"VIRT",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"VZ",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"WB",0.825,0.825,4,4,"AI Leader","Leader",FALSE
"WDAY",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"WMT",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"XIACF",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"XOM",0.7,0.7,4,4,"AI Leader","Leader",FALSE
"XPEV",0.625,0.625,3,3,"AI Adopter","Strong",FALSE
"ZM",0.7,0.7,4,4,"AI Leader","Leader",FALSE
"ZS",0.525,0.525,2,2,"AI Follower","Developing",FALSE
