"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"KSPI",NA,"AI Laggard",FALSE,"Monitor"
"LI",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"LIN",67.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"LLY",58.75,"AI Follower",FALSE,"Monitor"
"LMT",NA,"AI Laggard",FALSE,"Monitor"
"LRCX",52.5,"AI Follower",FALSE,"Monitor"
"MA",NA,"AI Laggard",FALSE,"Monitor"
"MC",NA,"AI Laggard",FALSE,"Monitor"
"MCD",NA,"AI Laggard",FALSE,"Monitor"
"MCO",NA,"AI Laggard",FALSE,"Monitor"
"MELI",NA,"AI Laggard",FALSE,"Monitor"
"META",NA,"AI Laggard",FALSE,"Monitor"
"MFG",NA,"AI Laggard",FALSE,"Monitor"
"MITSY",NA,"AI Laggard",FALSE,"Monitor"
"MKTX",NA,"AI Laggard",FALSE,"Monitor"
"MMM",NA,"AI Laggard",FALSE,"Monitor"
"MQ",NA,"AI Laggard",FALSE,"Monitor"
"MRK",58.75,"AI Follower",FALSE,"Monitor"
"MS",NA,"AI Laggard",FALSE,"Monitor"
"MSCI",30,"AI Laggard",FALSE,"Monitor"
"MSFT",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"MU",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"NDAQ",NA,"AI Laggard",FALSE,"Monitor"
"NEE",NA,"AI Laggard",FALSE,"Monitor"
"NET",53.75,"AI Follower",FALSE,"Monitor"
"NFLX",43.75,"AI Laggard",FALSE,"Monitor"
"NIO",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"NJDCY",65,"AI Adopter",FALSE,"Monitor"
"NOW",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"NSRGY",25,"AI Laggard",FALSE,"Monitor"
"NTES",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"NTRS",NA,"AI Laggard",FALSE,"Monitor"
"NU",NA,"AI Laggard",FALSE,"Monitor"
"NVDA",42.5,"AI Laggard",FALSE,"Monitor"
"NVO",60,"AI Follower",FALSE,"Monitor"
"NVS",76.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"OKTA",46.25,"AI Laggard",FALSE,"Monitor"
"OR",NA,"AI Laggard",FALSE,"Monitor"
"ORCL",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"PAGS",NA,"AI Laggard",FALSE,"Monitor"
"PANW",35,"AI Laggard",FALSE,"Monitor"
"PCOR",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"PDD",67.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"PFE",60,"AI Follower",FALSE,"Monitor"
"PG",NA,"AI Laggard",FALSE,"Monitor"
"PYPL",45,"AI Laggard",FALSE,"Monitor"
"QCOM",61.25,"AI Follower",FALSE,"Monitor"
"RELIANCE",NA,"AI Laggard",FALSE,"Monitor"
"RKUNY",NA,"AI Laggard",FALSE,"Monitor"
"RMSG",65,"AI Adopter",FALSE,"Monitor"
"RTX",41.25,"AI Laggard",FALSE,"Monitor"
"SAIL",50,"AI Laggard",FALSE,"Monitor"
"SAP",66.25,"AI Adopter",FALSE,"Monitor"
"SE",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"SFTBF",NA,"AI Laggard",FALSE,"Monitor"
"SHEL",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"SHOP",42.5,"AI Laggard",FALSE,"Monitor"
"SIEGY",61.25,"AI Follower",FALSE,"Monitor"
"SMCAY",NA,"AI Laggard",FALSE,"Monitor"
"SMCI",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"SMFG",NA,"AI Laggard",FALSE,"Monitor"
"SNOW",75,"AI Leader (Aggressive)",FALSE,"Monitor"
"SNPS",NA,"AI Laggard",FALSE,"Monitor"
"SNY",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"SOFI",NA,"AI Laggard",FALSE,"Monitor"
"SONY",NA,"AI Laggard",FALSE,"Monitor"
"SPGI",NA,"AI Laggard",FALSE,"Monitor"
"SPOT",82.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"SQM",NA,"AI Laggard",FALSE,"Monitor"
"SSDOY",NA,"AI Laggard",FALSE,"Monitor"
"STNE",NA,"AI Laggard",FALSE,"Monitor"
"STT",NA,"AI Laggard",FALSE,"Monitor"
"T",NA,"AI Laggard",FALSE,"Monitor"
"TAK",58.75,"AI Follower",FALSE,"Monitor"
"TCOM",57.5,"AI Follower",FALSE,"Monitor"
"TEAM",NA,"AI Laggard",FALSE,"Monitor"
"TM",NA,"AI Laggard",FALSE,"Monitor"
"TME",NA,"AI Laggard",FALSE,"Monitor"
"TMO",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"TOST",63.75,"AI Adopter",FALSE,"Monitor"
"TSLA",41.25,"AI Laggard",FALSE,"Monitor"
"TSM",67.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"TTDKY",NA,"AI Laggard",FALSE,"Monitor"
"TTE",NA,"AI Laggard",FALSE,"Monitor"
"TW",NA,"AI Laggard",FALSE,"Monitor"
"TWLO",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"TXN",50,"AI Laggard",FALSE,"Monitor"
"UL",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"UNH",NA,"AI Laggard",FALSE,"Monitor"
"UPS",NA,"AI Laggard",FALSE,"Monitor"
"V",NA,"AI Laggard",FALSE,"Monitor"
"VIRT",NA,"AI Laggard",FALSE,"Monitor"
"VZ",NA,"AI Laggard",FALSE,"Monitor"
"WB",57.5,"AI Follower",FALSE,"Monitor"
"WDAY",57.5,"AI Follower",FALSE,"Monitor"
"WMT",NA,"AI Laggard",FALSE,"Monitor"
"WORK",NA,"AI Laggard",FALSE,"Monitor"
"XOM",35,"AI Laggard",FALSE,"Monitor"
"XPEV",85,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"ZM",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"ZS",48.75,"AI Laggard",FALSE,"Monitor"
