"ticker","company_name","fund_weight","ai_score","ai_label","innovation_score","revenue_growth","volatility","unicorn_tier","rank","cumulative_weight","weight_pct"
"PCOR","PCOR",0.0108414223257,0.725,"AI Leader",0.725,0.215376576874405,0.354052936450063,"Monitor",29,0.972799316855007,1.08
"TMO","TMO",0.0107510174045005,0.5,"AI Laggard",0.5,-0.0672587831504643,0.331059502230091,"Monitor",30,0.983550334259508,1.08
"PDD","PDD",0.00997607927971638,0.625,"AI Adopter",0.625,0.0982979430817068,0.365231276623093,"Monitor",31,0.993526413539224,1
"MMM","MMM",0.00778029946866946,NA,"AI Laggard",NA,0.148585637565702,0.449763656816766,"Monitor",32,1.00130671300789,0.78
"GRAB","GRAB",0.00710146452966157,0.6,"AI Follower",0.6,0.199499165546149,0.463417552266838,"Growth Candidate",33,1.00840817753756,0.71
"OR","OR",0.00697732023383775,NA,"AI Laggard",NA,0.225435782875866,0.408812887057204,"Monitor",34,1.01538549777139,0.7
"NDAQ","NDAQ",0.00684084280635238,NA,"AI Laggard",NA,0.00516597582027316,0.273920038598392,"Monitor",35,1.02222634057775,0.68
"HOOD","HOOD",0.00625882289944495,0.55,"AI Follower",0.55,0.289070973359048,0.755263789696204,"Top Unicorn Candidate",36,1.02848516347719,0.63
"NU","NU",0.00603974252315779,NA,"AI Laggard",NA,0.0672832218930125,0.413625410230253,"Monitor",37,1.03452490600035,0.6
"DE","DE",0.00592222740318736,NA,"AI Laggard",NA,0.0217117231339216,0.267917626220149,"Monitor",38,1.04044713340354,0.59
"AZN","AZN",0.00575392414823244,0.675,"AI Adopter",0.675,0.0364226863719523,0.259551266182552,"Monitor",39,1.04620105755177,0.58
"8TRA","8TRA",0.00563334289121665,NA,"AI Laggard",NA,0.0794207472354174,0.364471366009292,"Monitor",40,1.05183440044298,0.56
"J","J",0.00554943841535614,NA,"AI Laggard",NA,0.0576950251124799,0.340207665802787,"Monitor",41,1.05738383885834,0.55
"NEE","NEE",0.00553379926678576,NA,"AI Laggard",NA,0.261919794883579,0.263612320420443,"Monitor",42,1.06291763812513,0.55
"BILL","BILL",0.00535922343891103,NA,"AI Laggard",NA,-0.0249064557254314,0.55672650072788,"Monitor",43,1.06827686156404,0.54
"ADBE","ADBE",0.0041975084599865,0.575,"AI Follower",0.575,-0.0884489461779595,0.343478945210904,"Monitor",44,1.07247437002402,0.42
"CME","CME",0.00417593421326757,NA,"AI Laggard",NA,0.26796839768067,1.7065522957261,"Monitor",45,1.07665030423729,0.42
"DDOG","DDOG",0.00356404604590675,0.55,"AI Follower",0.55,0.263030969165266,0.571394088470906,"Top Unicorn Candidate",46,1.0802143502832,0.36
"LLY","LLY",0.00315793406124858,0.525,"AI Follower",0.525,-0.0807450213469565,0.445948283840347,"Monitor",47,1.08337228434445,0.32
"051910","051910",0.00315627505675412,0.325,"AI Laggard",0.325,-0.0413208157755435,0.606127984436882,"Monitor",48,1.0865285594012,0.32
"NFLX","NFLX",0.00299224259296753,0.475,"AI Laggard",0.475,0.0217211509123445,0.359513536238503,"Monitor",49,1.08952080199417,0.3
"PANW","PANW",0.00256428672511566,0.425,"AI Laggard",0.425,-0.0517021314240992,0.366878841298194,"Monitor",50,1.09208508871928,0.26
"XPEV","XPEV",0.00169049671718898,0.575,"AI Follower",0.575,0.15706165060401,0.63384195294848,"Monitor",51,1.09377558543647,0.17
"MRK","MRK",0.00153837347020011,0.75,"AI Leader",0.75,0.0189170729368925,0.21771122874512,"Monitor",52,1.09531395890667,0.15
"INF","INF",0.00153799367874366,NA,"AI Laggard",NA,0.137876882683486,0.545996317197338,"Monitor",53,1.09685195258542,0.15
"KSPI","KSPI",0.00142301165264955,NA,"AI Laggard",NA,0.0195592695847154,0.28645648631858,"Monitor",54,1.09827496423807,0.14
"INFY","INFY",0.001349678305594,NA,"AI Laggard",NA,0.187857103161514,0.326300585807773,"Monitor",55,1.09962464254366,0.13
"AXP","AXP",0.00132340184871864,NA,"AI Laggard",NA,-0.0557790097780526,1.04785266320184,"Monitor",56,1.10094804439238,0.13
"LMT","LMT",0.00114908236614615,NA,"AI Laggard",NA,0.152272509876639,0.280518133608439,"Monitor",57,1.10209712675853,0.11
"TEAM","TEAM",0.00110137791155244,NA,"AI Laggard",NA,0.104207610618323,0.435272698905981,"Monitor",58,1.10319850467008,0.11
"JPM","JPM",0.00100204743673444,NA,"AI Laggard",NA,0.280564172379673,0.260992896492055,"Monitor",59,1.10420055210681,0.1
"SNOW","SNOW",0.000911158598526437,0.75,"AI Leader",0.75,0.217519658338279,0.494772866182303,"Monitor",60,1.10511171070534,0.09
"CBOE","CBOE",0.000879836256917965,NA,"AI Laggard",NA,0.0744705186225474,0.222520799569449,"Monitor",61,1.10599154696226,0.09
"AMD","AMD Inc.",0.000803330013535606,0.675,"AI Adopter",0.675,0.26387590393424,0.491252707470009,"Growth Candidate",62,1.10679487697579,0.08
"9984","9984",0.000798850255051848,NA,"AI Laggard",NA,0.0177553637884557,0.675824101809112,"Monitor",63,1.10759372723084,0.08
"SFTBF","SFTBF",0.000798850255051848,NA,"AI Laggard",NA,0.184033865574747,0.730383421151752,"Monitor",64,1.1083925774859,0.08
"LIN","LIN",0.000790131115841312,0.525,"AI Follower",0.525,0.0995449358597398,0.557066228995101,"Monitor",65,1.10918270860174,0.08
"ABT","ABT",0.000744396468270838,0.525,"AI Follower",0.525,0.0676713939756155,0.784330945580323,"Monitor",66,1.10992710507001,0.07
"GS","GS",0.000732739180134166,NA,"AI Laggard",NA,0.0738896778784692,0.326668326971079,"Monitor",67,1.11065984425014,0.07
"BX","BX",0.000609992106869015,NA,"AI Laggard",NA,0.0819844111800194,0.402875045278692,"Monitor",68,1.11126983635701,0.06
"PG","PG",0.000609571278332276,NA,"AI Laggard",NA,0.187829447071999,0.260255734789891,"Monitor",69,1.11187940763534,0.06
"QCOM","QCOM",0.000434562558073438,0.6,"AI Follower",0.6,0.107502512913197,0.390568451709019,"Monitor",70,1.11231397019342,0.04
"WDAY","WDAY",0.000430418959530759,0.575,"AI Follower",0.575,-0.0741822690702975,0.415349441887186,"Monitor",71,1.11274438915295,0.04
"BAC","BAC",0.000372490840235616,NA,"AI Laggard",NA,-0.0153526461683214,1.2105593637469,"Monitor",72,1.11311687999318,0.04
"ANET","ANET",0.000350124219620562,0.55,"AI Follower",0.55,0.170249308925122,0.535510574999315,"Monitor",73,1.1134670042128,0.04
"MKTX","MKTX",0.000282053064943292,NA,"AI Laggard",NA,-0.00912746032699943,0.272059092698982,"Monitor",74,1.11374905727775,0.03
"CRM","CRM",0.00025499622567914,0.625,"AI Follower",0.625,0.262611982040107,0.776725891584438,"Top Unicorn Candidate",75,1.11400405350343,0.03
"SPOT","SPOT",0.000231605264300483,0.475,"AI Laggard",0.475,-0.0823481116443873,0.8410511229833,"Monitor",76,1.11423565876773,0.02
"AMAT","AMAT",0.000175501086790295,NA,"AI Laggard",NA,0.19331328663975,0.412777236323503,"Monitor",77,1.11441115985452,0.02
"TOST","TOST",0.000159777252303349,0.45,"AI Laggard",0.45,-0.0862213106825948,0.483517753110522,"Monitor",78,1.11457093710682,0.02
"MFG","MFG",0.000128595134719355,NA,"AI Laggard",NA,0.117753848526627,0.566388026851038,"Monitor",79,1.11469953224154,0.01
"SHEL","SHEL",0.00010162489062539,0.625,"AI Adopter",0.625,0.0154255487024784,0.211632946260703,"Monitor",80,1.11480115713216,0.01
"MELI","MELI",0.0000975985271499599,NA,"AI Laggard",NA,0.186912106908858,0.534756243792516,"Monitor",81,1.11489875565932,0.01
"APH","APH",0.0000962002198340407,NA,"AI Laggard",NA,-0.00202966630458831,0.375246381913139,"Monitor",82,1.11499495587915,0.01
"TME","TME",0.0000942704647379841,NA,"AI Laggard",NA,0.224425869155675,0.540525177011297,"Monitor",83,1.11508922634389,0.01
"TXN","TXN",0.000044137445969309,0.8,"AI Leader",0.8,0.212709014955908,0.411172597317974,"Monitor",84,1.11513336378986,0
"RELIANCE","RELIANCE",0.0000395021851347921,NA,"AI Laggard",NA,0.263131636194885,0.208550595174283,"Monitor",85,1.11517286597499,0
"KKR","KKR",0.0000238575999281342,NA,"AI Laggard",NA,0.220664703845978,0.478593950639153,"Monitor",86,1.11519672357492,0
"MSCI","MSCI",0.0000191766959823401,0.525,"AI Follower",0.525,0.0401267987675965,0.296956972995965,"Monitor",87,1.1152159002709,0
"BP","BP",0.0000118191718208759,0.65,"AI Adopter",0.65,0.189313227962703,0.304422889079754,"Growth Candidate",88,1.11522771944272,0
"035420","035420",0.0000105635107899962,NA,"AI Laggard",NA,0.0367980279028416,0.45623426115753,"Monitor",89,1.11523828295351,0
"207940","207940",0.00000604998135815038,0.45,"AI Laggard",0.45,0.181470067985356,0.353635452389899,"Monitor",90,1.11524433293487,0
"035720","035720",0.00000567161827409327,NA,"AI Laggard",NA,0.188536169286817,0.536603978826657,"Monitor",91,1.11525000455314,0
"PAGS","PAGS",0.00000449495236416405,NA,"AI Laggard",NA,0.150231364089996,0.498181551827775,"Monitor",92,1.11525449950551,0
"SAP","SAP",0.00000333514560831148,0.825,"AI Leader",0.825,0.182376409973949,0.403270186827769,"Monitor",93,1.11525783465112,0
"STNE","STNE",0.00000250385549712911,NA,"AI Laggard",NA,0.184661429002881,0.539378073776194,"Monitor",94,1.11526033850661,0
"JD","JD",0.0000000000354832434495532,0.725,"AI Leader",0.725,-0.057986215967685,0.35849561475545,"Monitor",95,1.1152603385421,0
"BILI","BILI",0.000000000022679971403877,0.725,"AI Leader",0.725,0.0754754914902151,0.528970392744243,"Monitor",96,1.11526033856478,0
"ZM","ZM",-0.0000600014869864055,0.75,"AI Leader",0.75,0.125922155939043,0.343789457501442,"Monitor",97,1.11520033707779,-0.01
"DOCU","DOCU",-0.0000664864989261006,0.75,"AI Leader",0.75,0.212813827302307,0.507462671935548,"Monitor",98,1.11513385057887,-0.01
"SAIL","SAIL",-0.0000768925380686148,0.45,"AI Laggard",0.45,-0.0384040508419275,0.463952184959811,"Monitor",99,1.1150569580408,-0.01
"MS","MS",-0.000120055711421495,NA,"AI Laggard",NA,0.273890809249133,0.96582844450828,"Monitor",100,1.11493690232937,-0.01
"SNPS","SNPS",-0.000149320489636382,NA,"AI Laggard",NA,0.232365178875625,0.312277127786961,"Monitor",101,1.11478758183974,-0.01
"BAM","BAM",-0.000187309666356414,NA,"AI Laggard",NA,0.08972287485376,0.309802100713672,"Monitor",102,1.11460027217338,-0.02
"AFRM","AFRM",-0.000258370022716897,NA,"AI Laggard",NA,-0.0231467521749437,0.716583520571135,"Monitor",103,1.11434190215067,-0.03
"KO","KO",-0.000268020348045654,NA,"AI Laggard",NA,0.147341258637607,0.180353311611153,"Monitor",104,1.11407388180262,-0.03
"LI","LI",-0.000377086504669757,0.85,"AI Leader",0.85,0.196981706656516,0.522834830110935,"Monitor",105,1.11369679529795,-0.04
"ASAN","ASAN",-0.000379017797184849,0.65,"AI Adopter",0.65,0.159904654882848,0.612542112894386,"Monitor",106,1.11331777750076,-0.04
"NTRS","NTRS",-0.000405389775387905,NA,"AI Laggard",NA,0.0511948853731155,0.306843152325667,"Monitor",107,1.11291238772538,-0.04
"HUBS","HUBS",-0.00041792756388073,0.625,"AI Follower",0.625,0.292478385474533,0.569873073051935,"Top Unicorn Candidate",108,1.1124944601615,-0.04
"XOM","XOM",-0.000417990341135749,0.7,"AI Adopter",0.7,0.29746511913836,0.249787922109449,"Growth Candidate",109,1.11207646982036,-0.04
"CVX","CVX",-0.000472998459242943,NA,"AI Laggard",NA,-0.0856979002244771,0.855650078264441,"Monitor",110,1.11160347136112,-0.05
"TTE","TTE",-0.000577353058731744,NA,"AI Laggard",NA,0.183070422522724,0.239914767113059,"Monitor",111,1.11102611830239,-0.06
"DIS","DIS",-0.000590360828919539,NA,"AI Laggard",NA,0.19154717233032,0.756072085644142,"Monitor",112,1.11043575747347,-0.06
"MQ","MQ",-0.000658775384250235,NA,"AI Laggard",NA,-0.0516364387236536,0.431309801027043,"Monitor",113,1.10977698208922,-0.07
"BA","BA",-0.000690349909994283,0.65,"AI Adopter",0.65,-0.0336463198065758,0.394167998861862,"Monitor",114,1.10908663217922,-0.07
"TM","TM",-0.000770401981452512,NA,"AI Laggard",NA,-0.0346905475482345,0.538348212048536,"Monitor",115,1.10831623019777,-0.08
"LRCX","LRCX",-0.000857971447657487,0.5,"AI Laggard",0.5,0.0574407273903489,0.527693043227217,"Monitor",116,1.10745825875011,-0.09
"VIRT","VIRT",-0.000896617736783126,NA,"AI Laggard",NA,0.157505359314382,0.316382468416762,"Monitor",117,1.10656164101333,-0.09
"CRWD","CRWD",-0.000903302774157311,0.6,"AI Follower",0.6,0.282571622915566,0.479144597005074,"Growth Candidate",118,1.10565833823917,-0.09
"ZS","ZS",-0.000936356927317591,0.525,"AI Follower",0.525,-0.0633570419624448,0.475008816990635,"Monitor",119,1.10472198131185,-0.09
"HD","HD",-0.000997445343957701,NA,"AI Laggard",NA,0.232441853452474,0.236356418671094,"Monitor",120,1.1037245359679,-0.1
"STT","STT",-0.00100219525426628,NA,"AI Laggard",NA,-0.0821876670233905,0.302827574040357,"Monitor",121,1.10272234071363,-0.1
"MA","MA",-0.00115326998656218,NA,"AI Laggard",NA,-0.0398028728552163,0.459651389529593,"Monitor",122,1.10156907072707,-0.12
"MU","MU",-0.00120706020913571,0.575,"AI Follower",0.575,0.162579871527851,0.651719278328506,"Monitor",123,1.10036201051793,-0.12
"ABBV","ABBV",-0.00134663274635537,0.65,"AI Adopter",0.65,0.140942529495806,0.273007989526706,"Monitor",124,1.09901537777158,-0.13
"BIO","BIO",-0.00141686500942015,0.9,"AI Leader",0.9,0.284368957579136,0.442297506724499,"Monitor",125,1.09759851276216,-0.14
"CSCO","CSCO",-0.00155611190583836,0.55,"AI Follower",0.55,-0.0596067298203707,0.276153247848054,"Monitor",126,1.09604240085632,-0.16
"OKTA","OKTA",-0.00168490265276021,0.625,"AI Adopter",0.625,0.024771274626255,0.317109625132636,"Monitor",127,1.09435749820356,-0.17
"APD","APD",-0.00168941302041741,0.525,"AI Laggard",0.525,0.0592642329633236,0.287051580063979,"Monitor",128,1.09266808518314,-0.17
"JNJ","JNJ",-0.0017942707238728,0.475,"AI Laggard",0.475,0.00410190857946872,0.193529771186216,"Monitor",129,1.09087381445927,-0.18
"MC","MC",-0.00182991564045621,NA,"AI Laggard",NA,-0.0697858940809965,0.299198203986317,"Monitor",130,1.08904389881881,-0.18
"BABA","BABA",-0.00185608069900108,NA,"AI Laggard",NA,0.191049614455551,NA,"Monitor",131,1.08718781811981,-0.19
"TWLO","TWLO",-0.00195820241013886,0.625,"AI Adopter",0.625,0.115670827124268,0.543041786550051,"Monitor",132,1.08522961570967,-0.2
"T","T",-0.00199335933116191,NA,"AI Laggard",NA,0.202525468543172,0.915527212219566,"Monitor",133,1.08323625637851,-0.2
"NET","NET",-0.00213456479684482,0.675,"AI Adopter",0.675,0.161149139795452,0.398634378701856,"Monitor",134,1.08110169158166,-0.21
"FSLY","FSLY",-0.00242266073569897,0.45,"AI Laggard",0.45,0.0747024429962039,1.06262020770057,"Monitor",135,1.07867903084597,-0.24
"PYPL","PYPL",-0.00257395924064452,0.6,"AI Follower",0.6,0.189472980890423,0.419258262821914,"Growth Candidate",136,1.07610507160532,-0.26
"DUK","DUK",-0.00260308182220503,NA,"AI Laggard",NA,0.119007742032409,0.162905267792534,"Monitor",137,1.07350198978312,-0.26
"IBM","IBM",-0.00268611042525428,0.65,"AI Adopter",0.65,-0.0890124441124499,0.335900098613997,"Monitor",138,1.07081587935786,-0.27
"PFE","PFE",-0.0028137254642132,0.6,"AI Follower",0.6,0.0661311713047326,0.782640466007096,"Monitor",139,1.06800215389365,-0.28
"SMCI","SMCI",-0.0030870173186754,0.625,"AI Adopter",0.625,0.26763902977109,0.826358196995343,"Top Unicorn Candidate",140,1.06491513657497,-0.31
"APO","APO",-0.00311425645625273,NA,"AI Laggard",NA,0.0532146781682968,0.534076864523371,"Monitor",141,1.06180088011872,-0.31
"NVS","NVS",-0.00407020038860342,0.675,"AI Adopter",0.675,0.107651384547353,0.401127627665918,"Monitor",142,1.05773067973012,-0.41
"UPS","UPS",-0.00473251190035441,NA,"AI Laggard",NA,-0.0859738160856068,0.312662750886597,"Monitor",143,1.05299816782976,-0.47
"ARES","ARES",-0.00505858297624081,NA,"AI Laggard",NA,0.194320817478001,0.479013478434027,"Monitor",144,1.04793958485352,-0.51
"INTC","Intel Corp.",-0.00532202243308538,0.675,"AI Adopter",0.675,0.0616241167299449,0.672294149411293,"Monitor",145,1.04261756242044,-0.53
"ORCL","ORCL",-0.00547559165845452,0.7,"AI Adopter",0.7,0.216890805959702,1.36889767135552,"Top Unicorn Candidate",146,1.03714197076198,-0.55
"SOFI","SOFI",-0.0055820183214692,NA,"AI Laggard",NA,0.253817753959447,0.619049003158968,"Monitor",147,1.03155995244051,-0.56
"VZ","VZ",-0.00566037422948055,NA,"AI Laggard",NA,0.225558932218701,0.244984998690069,"Monitor",148,1.02589957821103,-0.57
"MCD","MCD",-0.00676438478312807,NA,"AI Laggard",NA,0.0851137645542622,NA,"Monitor",149,1.0191351934279,-0.68
"WMT","WMT",-0.00794014577476685,NA,"AI Laggard",NA,-0.068384369276464,0.250262441430494,"Monitor",150,1.01119504765314,-0.79
"CAT","CAT",-0.0111950476531374,0.475,"AI Laggard",0.475,-0.0850953147746623,2.12498191356322,"Monitor",151,1,-1.12
