"ticker","company_name","fund_weight","ai_score","ai_label","innovation_score","revenue_growth","volatility","unicorn_tier","score_imputed","original_innovation_score","original_ai_score","rank","cumulative_weight","weight_pct"
"ABBV","AbbVie Inc",0.000000000122806119383174,0.7,"AI Adopter",0.7,0.228023804537952,0.272588154422509,"Growth Candidate",FALSE,0.7,0.7,26,1.04034420769486,0
"AAPL","Apple Inc",0.00000000012280611007362,0.675,"AI Adopter",0.675,0.100739857181907,0.32165721934951,"Monitor",FALSE,0.675,0.675,27,1.04034420781766,0
"OKTA","Okta Inc",0.00000000012280610001734,0.675,"AI Adopter",0.675,0.0901329139247537,0.316668333749644,"Monitor",FALSE,0.675,0.675,28,1.04034420794047,0
"CAT","Caterpillar Inc",0.000000000122804872736873,0.625,"AI Adopter",0.625,0.232103127799928,2.12536357308769,"Top Unicorn Candidate",FALSE,0.625,0.625,29,1.04034420806327,0
"HUBS","HubSpot Inc",0.000000000121832929043307,0.525,"AI Laggard",0.525,0.0303500928916037,0.569181235159365,"Monitor",FALSE,0.525,0.525,30,1.04034420818511,0
"ZM","Zoom Communications Inc",0.000000000118889247751157,0.7,"AI Adopter",0.7,0.0173187320120633,0.343528904820352,"Monitor",FALSE,0.7,0.7,31,1.04034420830399,0
"SNPS","Specialty Natural Products PCL",0.0000000000760000751140854,0,"AI Laggard",0.230258509299405,0.0708887495100498,0.312946020060002,"Monitor",TRUE,NA,NA,32,1.04034420837999,0
"APO","Asian Palm Oil PCL",0.0000000000645688814216749,0.132362878702557,"AI Laggard",0.97846477086546,-0.0756491406820715,0.534276702542516,"Monitor",TRUE,NA,NA,33,1.04034420844456,0
"VZ","Verizon Communications Inc",0.0000000000614030599918888,0.0342342342342342,"AI Laggard",0.741818082272679,0.0119252826087177,0.245500350346943,"Monitor",TRUE,NA,NA,34,1.04034420850597,0
"TSLA","Tesla Inc",0.0000000000614030599446477,0.425,"AI Laggard",0.425,0.119742456078529,0.593320614177216,"Monitor",FALSE,0.425,0.425,35,1.04034420856737,0
"ANET","Arista Networks Inc",0.0000000000614030539434761,0.6,"AI Follower",0.6,0.223087367415428,0.53282585795188,"Growth Candidate",FALSE,0.6,0.6,36,1.04034420862877,0
"NOW","NowVertical Group Inc",0.0000000000614030539434761,0.825,"AI Leader",0.825,0.222019418235868,0.551027866067577,"Monitor",FALSE,0.825,0.825,37,1.04034420869018,0
"AMZN","Amazon.com Inc",0.0000000000584758775979883,0.725,"AI Adopter",0.725,-0.0473089599050582,0.351062066962063,"Monitor",FALSE,0.725,0.725,38,1.04034420874865,0
"SPGI","S&P Global Inc",0.0000000000382521072746039,0.326406871341168,"AI Laggard",0.3,0.163203435670584,0.297561039964532,"Monitor",TRUE,NA,NA,39,1.0403442087869,0
"LI","Li Auto Inc (ADR)",-0.00196093485173817,0.75,"AI Leader",0.75,-0.0241770992055535,0.521104544241916,"Monitor",FALSE,0.75,0.75,40,1.03838327393517,-0.2
"MRK","Marks Electrical Group PLC",-0.00344591760996088,0.85,"AI Leader",0.85,0.284787678811699,0.212459094021156,"Monitor",FALSE,0.85,0.85,41,1.0349373563252,-0.34
"MC","LVMH Moet Hennessy Louis Vuitton SE",-0.00408416087513265,0.183606881550326,"AI Laggard",1,-0.00892889946699142,0.298543485220096,"Monitor",TRUE,NA,NA,42,1.03085319545007,-0.41
"VIRT","Virtu Financial Inc",-0.00467096414914061,0.222127659574468,"AI Laggard",0.706987412845857,0.0201548693701625,0.316288922333697,"Monitor",TRUE,NA,NA,43,1.02618223130093,-0.47
"NET","Cloudflare Inc",-0.0115044387172938,0.625,"AI Adopter",0.625,0.0816397496499121,0.397791688224014,"Monitor",FALSE,0.625,0.625,44,1.01467779258364,-1.15
"FSLY","Fastly Inc",-0.0146777925836375,0.4,"AI Laggard",0.4,-0.0330856431275606,1.06259195445487,"Monitor",FALSE,0.4,0.4,45,1,-1.47
