ticker,market_cap,rd_expense,patent_activity,industry,fund_weight,dumac_allocation,n_funds,rd_intensity,patent_productivity,industry_ai_multiplier,ai_patent_count_placeholder,ai_intensity_proxy
SYN018,65972976929,243644644.8,35,Energy,0.010836501,0.015849655,1,0.369309763,143.6518337,0.8,5,11.1
SYN019,74931210404,1126549167,40,Financials,0.041137277,0.002069608,1,1.503444507,35.50666157,0.8,6,18.4
SYN020,63483405272,75869073.8,126,Consumer,0.033161972,0.018604847,1,0.119510088,1660.755743,1,29,12.3
SYN021,6397291841,1908197407,110,Consumer,0.022445963,0.024681506,1,29.82820628,57.6460274,1,9,15.3
SYN022,53201201592,25238665.55,43,Energy,0.007748507,0.020526898,1,0.047440029,1703.735085,0.8,11,10.9
SYN023,9689475011,1153690764,156,Energy,0.002029357,0.005539114,1,11.90663852,135.21821,0.8,37,23.6
SYN024,27758465381,1485292308,224,Financials,0.035706269,0.029019721,1,5.350772415,150.8120649,0.8,15,8.3
SYN025,1125980292,378145825,33,Technology,0.005746031,0.027796053,1,33.58369838,87.26792104,1.5,5,43.2
SYN026,70944920456,594852365.8,111,Financials,0.005125955,0.004858855,1,0.838470692,186.6009221,0.8,14,6.5
SYN027,79910955375,894526318.2,67,Financials,0.010587006,0.023870288,1,1.119403859,74.89997626,0.8,15,4.1
SYN028,14294994712,783495084.2,269,Energy,0.049281359,0.027966167,1,5.48090503,343.3333602,0.8,37,3
SYN029,60313917436,1314429722,32,Consumer,0.033587094,0.019708448,1,2.179314124,24.34515857,1,7,6.9
SYN030,36562155199,1228284412,252,Financials,0.049422498,0.022722535,1,3.359442039,205.1642092,0.8,50,8.3
SYN031,68128391399,1457886631,254,Technology,0.020006355,0.014301413,1,2.139910543,174.2247954,1.5,54,6.8
SYN032,37227077016,641548630.7,8,Energy,0.040882696,0.002772869,1,1.723338715,12.46982632,0.8,1,6.7
SYN033,80287770039,289249112.7,230,Consumer,0.01420481,0.001968921,1,0.360265471,795.1623356,1,43,0.6
SYN034,98715997264,108768088.6,82,Financials,0.024397114,0.012335286,1,0.110182839,753.8975914,0.8,4,20
SYN035,48842809647,1910236443,45,Healthcare,0.010755209,0.006457394,1,3.910988039,23.55729321,1.3,10,27.6
SYN036,8791446941,52176279.97,30,Financials,0.037560064,0.008672306,1,0.593489107,574.9739157,0.8,2,2
SYN037,14311050606,1841605515,213,Industrials,0.028492669,0.006818367,1,12.86841592,115.659949,1.1,19,28.7
SYN038,89539224178,733962825.1,137,Technology,0.011575766,0.006086886,1,0.81971095,186.657955,1.5,32,21.1
SYN039,71641111736,1397086701,120,Energy,0.010665967,0.026991085,1,1.950118678,85.89302287,0.8,21,9.1
SYN040,87542556921,1139135342,185,Industrials,0.003827055,0.002799107,1,1.301236086,162.4038806,1.1,23,2.3
SYN041,90473712208,568738261.9,40,Consumer,0.017921865,0.012922831,1,0.628622666,70.33112186,1,5,14.3
SYN042,48252695911,23728467.49,24,Industrials,0.031480539,0.010007895,1,0.049175423,1011.443323,1.1,1,2
SYN043,7611079969,843322666.4,199,Financials,0.009507117,0.013490609,1,11.08019716,235.9713641,0.8,49,8.3
SYN044,72268025585,1228970691,238,Energy,0.001288918,0.010617866,1,1.700573222,193.6579951,0.8,32,11.6
SYN045,27920973655,10505988.53,112,Technology,0.005043965,0.007908754,1,0.037627587,10660.58655,1.5,27,18.1
SYN046,33331454494,1327534989,240,Technology,0.010310317,0.0118211,1,3.982829461,180.7861954,1.5,55,7.5
SYN047,39119913066,232190605,243,Industrials,0.041682633,0.01523022,1,0.593535585,1046.553972,1.1,43,4.3
SYN048,33740250136,1804686866,259,Financials,0.02047988,0.001569737,1,5.34876552,143.515202,0.8,63,12
SYN049,10759451140,202896580.8,127,Technology,0.005597978,0.001855845,1,1.885752146,625.9346487,1.5,22,36
SYN050,58536698846,1131265500,29,Financials,0.044602495,0.020446686,1,1.932574816,25.63500788,0.8,3,7.4
SYN051,75863016264,503611914.5,265,Healthcare,0.026926318,0.024911905,1,0.66384378,526.1988297,1.3,32,6.4
SYN052,52183410893,1162810604,87,Consumer,0.041468016,0.023395899,1,2.228314677,74.81871914,1,11,7.6
SYN053,28178053787,1905094887,92,Financials,0.014962765,0.023236214,1,6.760917206,48.29155788,0.8,19,13.1
SYN054,45017159729,1454830327,245,Industrials,0.039130727,0.023768823,1,3.231723938,168.404518,1.1,14,1.8
SYN055,89665021566,809740730.3,176,Energy,0.008101326,0.027615811,1,0.903073145,217.3535224,0.8,35,16.3
SYN056,92206974994,985236444.1,199,Energy,0.012126767,0.023607519,1,1.068505332,201.9819721,0.8,37,2.6
SYN057,52612305762,1344608559,193,Energy,0.030512863,0.013197089,1,2.555692132,143.5361977,0.8,16,11.7
SYN058,76820435819,936996222.8,68,Consumer,0.044723089,0.017804273,1,1.219722607,72.57233098,1,7,14.7
SYN059,76905430675,592188302.2,183,Financials,0.032628316,0.02413328,1,0.770021437,309.0233281,0.8,28,12.7
SYN060,83984740161,1092788976,146,Industrials,0.022199833,0.027940867,1,1.301175635,133.6031047,1.1,27,20.1
SYN061,94134219327,1470316215,174,Energy,0.044953225,0.004286086,1,1.561935952,118.3418901,0.8,43,3
SYN062,42855759574,1543456788,244,Technology,0.04733283,0.006521346,1,3.601515416,158.0867064,1.5,49,13
SYN063,60868853012,1628972062,148,Industrials,0.031747236,0.023363829,1,2.6761997,90.85484244,1.1,24,27
SYN064,22799584467,666923949.3,25,Financials,0.005067883,0.004189582,1,2.925158352,37.48553344,0.8,5,11.1
SYN065,86060672331,1782597888,139,Industrials,0.022801842,0.019170513,1,2.071326936,77.97608253,1.1,12,4.5
SYN066,92841584463,618098090.9,180,Technology,0.018718439,0.019335463,1,0.665755647,291.2159132,1.5,19,32.8
SYN067,58760411783,1397838803,274,Technology,0.04977324,0.02613194,1,2.378878501,196.0168793,1.5,59,8.6
SYN068,66225648727,387756352.5,14,Energy,0.025468097,0.020439565,1,0.585507821,36.10514672,0.8,3,18.7
SYN069,7465538650,1953438491,245,Technology,0.013629958,0.025554192,1,26.16607565,125.4198692,1.5,24,42.9
SYN070,25210208820,339016069.7,26,Financials,0.036497524,0.007602655,1,1.344757087,76.69252972,0.8,2,3.2
SYN071,51384709276,341683005.5,81,Industrials,0.008736425,0.004863444,1,0.664950742,237.0618342,1.1,6,21.8
SYN072,51979373704,1256552719,254,Financials,0.016457416,0.015923413,1,2.417406425,202.1403448,0.8,24,10
SYN073,76602671064,1468656876,276,Energy,0.015517991,0.020798552,1,1.917239771,187.9268089,0.8,40,3.4
SYN074,27517299913,1878287370,25,Industrials,0.03429417,0.019176319,1,6.825841839,13.30999739,1.1,2,26.9
SYN075,69086350123,1536824125,167,Industrials,0.023345975,0.029190643,1,2.224497491,108.6656549,1.1,32,10.1
SYN076,56214828796,333448959.4,13,Consumer,0.001949954,0.019789304,1,0.593169038,38.98647644,1,1,8.2
SYN077,43666683945,561310013,78,Technology,0.03656862,0.009486953,1,1.285442269,138.9606424,1.5,10,15.6
SYN078,86230589365,851106145.7,56,Financials,0.017026319,0.02447945,1,0.987011862,65.79672851,0.8,9,9.9
SYN079,12055240843,1674749703,170,Technology,0.033400677,0.023484792,1,13.89229568,101.5077057,1.5,9,18.9
SYN080,32314199205,303857947.1,20,Technology,0.018398051,0.024916015,1,0.940323309,65.82023011,1.5,3,17.8
SYN081,74357940880,1332041703,131,Healthcare,0.023436615,0.017151351,1,1.791391326,98.3452693,1.3,11,2.3
SYN082,55114586903,1636349361,166,Technology,0.029664275,0.001219654,1,2.968995058,101.4453294,1.5,20,8.1
SYN083,18791674253,1347562941,162,Technology,0.010596324,0.01448889,1,7.171063756,120.2170192,1.5,29,39.5
SYN084,68481193689,751578378.1,76,Consumer,0.013688795,0.028782155,1,1.097496024,101.1205248,1,16,8.6
SYN085,11426393033,1768787609,50,Industrials,0.043639699,0.023177195,1,15.47984219,28.26795017,1.1,8,10.4
SYN086,29569706162,1142494378,218,Consumer,0.006844149,0.020598373,1,3.863732604,190.810567,1,21,13.6
SYN087,72681356752,940425586.7,62,Industrials,0.041191779,0.025253509,1,1.29390208,65.92759797,1.1,4,1
SYN088,5493724662,1272544893,176,Financials,0.029037024,0.009242283,1,23.16360887,138.3055332,0.8,12,15.3
SYN089,11773497052,1481455303,274,Financials,0.012486402,0.010005429,1,12.58296746,184.9532683,0.8,30,5.2
SYN090,42345172786,292609316.7,62,Industrials,0.029127002,0.004842665,1,0.691009854,211.8866231,1.1,11,24.1
SYN091,60056044860,813400157.4,250,Financials,0.037940562,0.018282064,1,1.354401808,307.3517969,0.8,13,15.1
SYN092,20523357245,917120428.2,93,Consumer,0.006041072,0.024701245,1,4.468666687,101.404349,1,9,9.5
SYN093,50609487803,1116931774,57,Financials,0.03401011,0.023428001,1,2.206961229,51.03266048,0.8,13,8.5
SYN094,82647461651,819970204.6,156,Financials,0.006546158,0.019228834,1,0.992129931,190.2508154,0.8,37,7
SYN095,10113387779,1996240977,55,Financials,0.042749946,0.004095546,1,19.73859819,27.55178389,0.8,11,9.1
SYN096,47570493956,1500799837,67,Financials,0.020548624,0.025925593,1,3.154896474,44.642862,0.8,8,16.3
SYN097,88213011716,377709463.5,287,Industrials,0.028414096,0.027900621,1,0.428178855,759.8432862,1.1,44,16.7
SYN098,44137140875,218375743.6,58,Healthcare,0.024789126,0.014802613,1,0.494766401,265.5972639,1.3,12,4.9
SYN099,28388927306,1487885898,292,Industrials,0.007219129,0.006176316,1,5.241078263,196.251608,1.1,51,2.8
SYN100,6656324652,231039196,279,Industrials,0.042089489,0.012710251,1,3.470972467,1207.587305,1.1,49,14.6
SYN101,88607685908,1995642862,66,Healthcare,0.039654528,0.029238192,1,2.252223203,33.07204975,1.3,6,15.3
SYN102,15640658483,1556466188,108,Healthcare,0.033512558,0.029637518,1,9.951410869,69.38795125,1.3,10,5.6
SYN103,32420766867,816957896.7,29,Financials,0.012421289,0.016502633,1,2.519859879,35.49754537,0.8,4,7.5
SYN104,68380982429,557188369,260,Industrials,0.047733974,0.00160539,1,0.814829429,466.6285488,1.1,62,24.5
SYN105,28980007930,1913435048,299,Consumer,0.035347818,0.009174528,1,6.602603605,156.2634699,1,73,25.7
SYN106,43049469151,509809477.9,172,Consumer,0.029665412,0.019910023,1,1.184241032,337.3809383,1,34,10.2
SYN107,49266920048,241092300.8,177,Consumer,0.04769129,0.027909193,1,0.489359393,734.1586581,1,35,4.2
SYN108,24900146527,1090435179,210,Consumer,0.045680582,0.019844552,1,4.379231977,192.583662,1,33,9.6
SYN109,36654883016,1347383348,172,Financials,0.004820755,0.016730602,1,3.675863179,127.6548358,0.8,9,7.5
SYN110,7846316479,749291709,49,Industrials,0.004310174,0.020417209,1,9.54959835,65.39509168,1.1,8,6.5
SYN111,36708827870,295084714.2,159,Financials,0.04710143,0.028707804,1,0.803852183,538.8283172,0.8,35,19.9
SYN112,98314936452,1938042987,150,Healthcare,0.009197009,0.021637151,1,1.97125997,77.39766403,1.3,30,16.9
SYN113,19816230519,139404352.2,276,Healthcare,0.045687897,0.010856262,1,0.703485721,1979.852104,1.3,39,3.3
SYN114,87317345995,1205172400,136,Technology,0.009247562,0.012342421,1,1.380221062,112.8469254,1.5,21,8.5
SYN115,12145873624,390541831.1,127,Technology,0.015626888,0.009728645,1,3.21542808,325.1892369,1.5,20,36.1
SYN116,20214796213,1128783533,23,Industrials,0.002887851,0.026469279,1,5.583947131,20.37591737,1.1,1,10.2
SYN117,73285501557,296056673.2,278,Technology,0.020639279,0.012998965,1,0.40397714,939.0094033,1.5,34,24.6
SYN118,27754542208,1648361092,94,Consumer,0.031028139,0.001204694,1,5.939067844,57.02633997,1,16,24.7
SYN119,21796217728,659722291.5,124,Technology,0.013073825,0.003365782,1,3.026774185,187.957875,1.5,27,38.3
SYN120,58670891060,952721944.9,118,Technology,0.002128377,0.007097148,1,1.623840933,123.8556545,1.5,14,16.7
SYN121,9349670863,380377377.6,208,Healthcare,0.014926495,0.020447516,1,4.068350461,546.8253693,1.3,27,14.3
SYN122,47718679114,1039353833,178,Industrials,0.040831741,0.014124832,1,2.178085923,171.2602527,1.1,29,4.7
SYN123,31272220213,990687939.2,45,Energy,0.036227001,0.01341178,1,3.167948846,45.42298157,0.8,8,6.8
SYN124,89179556029,284185359.1,103,Financials,0.02694926,0.017379951,1,0.318666488,362.439502,0.8,20,11.4
SYN125,21946865388,1506808279,170,Consumer,0.010032525,0.002347749,1,6.865710673,112.8212543,1,22,25.9
SYN126,52581538125,22838733.05,228,Financials,0.033909484,0.020076341,1,0.04343489,9983.040633,0.8,53,7.2
SYN127,2401979963,356745946.3,266,Healthcare,0.021801741,0.021408243,1,14.85216163,745.6286546,1.3,65,32.9
SYN128,53154842755,228238811.1,222,Consumer,0.028521606,0.022422274,1,0.429384792,972.6654239,1,21,18.2
SYN129,39169420104,1073869365,131,Energy,0.022696631,0.0170842,1,2.741601388,121.9887672,0.8,26,16
SYN130,1151851021,1091303535,6,Consumer,0.04672034,0.00290562,1,94.743462,5.498012065,1,1,58.1
SYN131,57071964091,42822281.29,270,Industrials,0.023615112,0.017600953,1,0.075032079,6305.128822,1.1,46,0.1
SYN132,45334766248,302314164.2,38,Technology,0.03182019,0.015588743,1,0.666848402,125.6970546,1.5,7,6.3
SYN133,61972669627,1113118709,299,Technology,0.029027585,0.014193221,1,1.79614452,268.6146567,1.5,71,15.6
SYN134,5971110469,1509301213,19,Industrials,0.034520619,0.021297656,1,25.27672567,12.58860712,1.1,4,27.9
SYN135,65621725735,1323022581,248,Consumer,0.047296164,0.012835678,1,2.016135001,187.4495595,1,41,12.8
SYN136,32978247142,1531833104,107,Healthcare,0.002655668,0.027321437,1,4.644980363,69.85095161,1.3,23,19.1
SYN137,16686667878,286541226.7,121,Technology,0.016967886,0.00771432,1,1.717186611,422.2778042,1.5,9,12.5
SYN138,21975554055,1172501896,290,Technology,0.040428677,0.014188917,1,5.335482753,247.3343548,1.5,59,32.5
SYN139,37859225434,1414830427,162,Energy,0.011453738,0.023940324,1,3.737082339,114.5013543,0.8,28,7.2
SYN140,67695112790,840764984.9,189,Industrials,0.02033506,0.028408083,1,1.241987716,224.7952798,1.1,15,11.7
SYN141,16507708399,1981803455,100,Industrials,0.039509225,0.023552906,1,12.00532144,50.45909054,1.1,7,6.9
SYN142,40972889131,172950302.3,31,Consumer,0.002074414,0.012285428,1,0.422109121,179.2422424,1,4,20.1
SYN143,26994778913,1098681533,296,Energy,0.032761926,0.025826615,1,4.069977891,269.4138301,0.8,61,8.7
SYN144,35610334591,757990297.8,201,Energy,0.029174293,0.014922952,1,2.128568312,265.1748981,0.8,40,1.6
SYN145,12203831754,776053338.4,0,Consumer,0.030066869,0.005253612,1,6.359095684,0,1,0,3.4
SYN146,30043617377,651293362.1,110,Consumer,0.030050306,0.01734567,1,2.167826044,168.8947046,1,9,24.7
SYN147,14079070795,1992916750,160,Energy,0.036414057,0.005636289,1,14.15517244,80.28433704,0.8,38,12.7
SYN148,46361748643,1493069784,167,Consumer,0.037859559,0.009923298,1,3.220477715,111.8500969,1,18,21.4
SYN149,73825769416,1559800130,163,Financials,0.004870277,0.023911498,1,2.112812561,104.5005683,0.8,13,19
SYN150,6331066515,1809435462,165,Financials,0.036728466,0.023126571,1,28.58026303,91.18866267,0.8,32,19.4
SYN151,39868439487,1333783265,175,Consumer,0.042952628,0.025382543,1,3.345461427,131.2057248,1,20,15.6
SYN152,84313756685,1383965408,19,Consumer,0.035902687,0.003586381,1,1.641446737,13.72866684,1,4,2.4
SYN153,40390010702,1892192781,18,Technology,0.034077745,0.010349077,1,4.684803863,9.512772787,1.5,2,7.9
SYN154,46180641159,260068475.7,269,Financials,0.048847457,0.015434708,1,0.563154753,1034.342972,0.8,50,15
SYN155,95856392161,1901182654,176,Energy,0.041634585,0.006399532,1,1.983365545,92.57395631,0.8,36,10.2
SYN156,77813505305,1905325154,247,Energy,0.047416791,0.009537932,1,2.448579006,129.6366657,0.8,22,14.6
SYN157,48195093977,176617501.1,172,Technology,0.014462616,0.019042721,1,0.366463651,973.8559258,1.5,10,35.8
SYN158,98472403224,1687829976,101,Technology,0.029132283,0.009472757,1,1.714013186,59.84015062,1.5,8,19.3
SYN159,30265565980,1514488399,269,Energy,0.002604356,0.004161388,1,5.003998272,177.6177356,0.8,50,11.3
SYN160,18952602087,1177281690,21,Financials,0.02274436,0.026381539,1,6.211715335,17.83770203,0.8,5,13.5
SYN161,77482918691,610700107.9,210,Financials,0.016385205,0.02107887,1,0.788173856,343.867632,0.8,34,13.3
SYN162,87201546830,28336416.33,16,Industrials,0.012151975,0.025755868,1,0.032495314,564.6444425,1.1,3,7.7
SYN163,31990742997,647061604.7,260,Energy,0.009929951,0.028663744,1,2.02265263,401.8164548,0.8,23,20.3
SYN164,91512236547,340617402.4,247,Energy,0.041812744,0.028404463,1,0.37220968,725.1537892,0.8,39,13
SYN165,91595839584,438303395.1,51,Technology,0.049357321,0.001579853,1,0.47851889,116.3577571,1.5,4,22
SYN166,80942342140,945856796.5,245,Healthcare,0.010294954,0.012483079,1,1.168556248,259.0244114,1.3,34,20.4
SYN167,35930863327,17051537.9,135,Financials,0.017641988,0.008671601,1,0.047456522,7917.174437,0.8,15,18.5
SYN168,67881736357,1553748849,76,Industrials,0.023586718,0.01587479,1,2.288905577,48.91395416,1.1,6,11.6
SYN169,27620792443,1583051061,173,Technology,0.021316429,0.023080444,1,5.731374523,109.2826405,1.5,15,12.9
SYN170,95815302054,238919299.1,205,Consumer,0.042453042,0.002751048,1,0.249354011,858.030309,1,40,2.4
SYN171,13016438378,388057276.2,182,Consumer,0.042949103,0.028057127,1,2.981286162,469.0029312,1,24,9.2
SYN172,32974480549,1998678825,202,Healthcare,0.023127775,0.011119307,1,6.061289798,101.0667634,1.3,27,26.9
SYN173,63249836908,1806559570,73,Energy,0.036891773,0.012942139,1,2.856228028,40.40829941,0.8,11,3.1
SYN174,24951020075,11649356.35,286,Consumer,0.034122358,0.028873248,1,0.046688898,24550.71263,1,39,17.8
SYN175,92945793210,1447855667,279,Healthcare,0.03772783,0.016401115,1,1.557742009,192.6987658,1.3,22,32
SYN176,59687346575,814077185.9,210,Consumer,0.048001968,0.010816846,1,1.363902456,257.9607974,1,45,5.5
SYN177,36730754036,46813968.41,81,Consumer,0.049793078,0.019291887,1,0.127451694,1730.252802,1,14,2.8
SYN178,61227470576,795803558.5,292,Healthcare,0.049037343,0.004530424,1,1.299749199,366.9247227,1.3,61,2.3
SYN179,60710270953,355895199,16,Industrials,0.02873236,0.027026591,1,0.586219092,44.9570549,1.1,3,23
SYN180,88219318191,507842042,180,Healthcare,0.045884027,0.01598455,1,0.575658543,354.4409189,1.3,42,19.1
SYN181,63425140090,1827375876,197,Financials,0.048609447,0.024474492,1,2.881153866,107.8048598,0.8,44,10.5
SYN182,86721386743,750358696.7,232,Consumer,0.048207956,0.026917519,1,0.865252189,309.1854616,1,26,9.4
SYN183,92328976769,600230528,224,Financials,0.030407029,0.01200767,1,0.650099838,373.1899488,0.8,23,5.8
SYN184,57309100332,1542380976,252,Financials,0.010606834,0.002661297,1,2.691336921,163.3837579,0.8,50,13
SYN185,74914920205,29619017.54,248,Technology,0.004541697,0.011026231,1,0.039536874,8372.998856,1.5,49,30.7
SYN186,39804352000,382767903.8,141,Consumer,0.020974594,0.012594697,1,0.961623251,368.3694442,1,33,2.8
SYN187,15007374656,1998612848,52,Financials,0.001635302,0.018588187,1,13.31753817,26.01804549,0.8,11,24.2
SYN188,94566750393,38249559.34,295,Healthcare,0.049476432,0.020721366,1,0.040447154,7712.507152,1.3,23,5.5
SYN189,25050281343,1436044562,121,Financials,0.037360532,0.007001299,1,5.732648437,84.25922371,0.8,13,3.8
SYN190,3202322272,1075169113,230,Consumer,0.040411519,0.029304265,1,33.5746693,213.9198358,1,20,33.9
SYN191,23551636652,783541081.6,28,Consumer,0.008783005,0.001799296,1,3.326907141,35.7352035,1,6,14.3
SYN192,24410308707,999048715.4,269,Consumer,0.04107565,0.008803244,1,4.092732818,269.2561392,1,20,17.9
SYN193,56072838733,1979862830,240,Energy,0.026320242,0.009768738,1,3.530876757,121.2205191,0.8,18,5.9
SYN194,66607888333,990052715.9,189,Energy,0.044857198,0.028134482,1,1.486389586,190.8989258,0.8,12,15
SYN195,50344104354,1953380680,191,Healthcare,0.048148754,0.018581435,1,3.880058459,97.77919992,1.3,12,17.4
SYN196,12441757604,1496098101,271,Energy,0.038505541,0.010643818,1,12.02481312,181.1378544,0.8,42,23.7
SYN197,64710467868,1369325298,246,Energy,0.032152875,0.017230194,1,2.116080046,179.6505186,0.8,18,18.9
SYN198,63087896891,989999257.3,150,Energy,0.047717639,0.005386721,1,1.569238009,151.5152652,0.8,30,11.6
SYN199,26292542387,109980079.2,219,Consumer,0.019963924,0.014264825,1,0.418293817,1991.269707,1,43,2.1
