Ticker,Date,fund_id,Open,High,Low,Close,Volume,N200_Index_Close,VIX_Close,Treasury_10Y_Yield,base_market_cap,market_cap,volume_value,log_return,volatility_30d
XOM US,1/1/2019,bf:461839,100.6757862,100.4703374,98.04928991,100,3959943,4000,16.69,2.517,71144516349,71144516349,395994300,NA,NA
CVX US,1/1/2019,bf:3356011,99.55334849,101.0365498,99.3705212,100,3133133,4000,16.69,2.517,54862536446,54862536446,313313300,NA,NA
LIN US,1/1/2019,DEFAULT_FUND_001,99.73815581,100.1274896,98.32416476,100,2458799,4000,16.69,2.517,59820060024,59820060024,245879900,NA,NA
APD US,1/1/2019,bf:1183421,99.89296763,100.8184752,98.06650943,100,4113510,4000,16.69,2.517,29626813992,29626813992,411351000,NA,NA
NEE US,1/1/2019,bf:1914537,100.4458853,100.348532,99.55813164,100,4849751,4000,16.69,2.517,15564251084,15564251084,484975100,NA,NA
DUK US,1/1/2019,bf:1914537,100.3658849,100.6240783,98.73408496,100,1027013,4000,16.69,2.517,96339399021,96339399021,102701300,NA,NA
CAT US,1/1/2019,bf:1249063,100.4458853,100.348532,99.55813164,100,4849751,4000,16.69,2.517,90327605467,90327605467,484975100,NA,NA
DE US,1/1/2019,bf:1249015,99.69954125,101.5208097,99.10798995,100,4604566,4000,16.69,2.517,69379822564,69379822564,460456600,NA,NA
KO US,1/1/2019,bf:1249015,100.442456,100.7585646,99.88918324,100,4787202,4000,16.69,2.517,79751274351,79751274351,478720200,NA,NA
PG US,1/1/2019,bf:1183421,99.22789044,101.41711,99.13717251,100,3513482,4000,16.69,2.517,3436754766,3436754766,351348200,NA,NA
IBM US,1/1/2019,bf:2184853,100.4458853,100.348532,99.55813164,100,4849751,4000,16.69,2.517,48301801138,48301801138,484975100,NA,NA
SAP GR,1/1/2019,bf:461753,99.89296763,100.8184752,98.06650943,100,4113510,4000,16.69,2.517,76087494215,76087494215,411351000,NA,NA
CRM US,1/1/2019,bf:461839,100.5465255,101.3268863,98.03003521,100,3452535,4000,16.69,2.517,22424385648,22424385648,345253500,NA,NA
ADBE US,1/1/2019,bf:461839,100.817275,100.9342267,98.46420661,100,3837114,4000,16.69,2.517,32499919756,32499919756,383711400,NA,NA
INTC US,1/1/2019,bf:1639201,100.3234006,101.0171616,99.06280389,100,302491,4000,16.69,2.517,23930952750,23930952750,30249100,NA,NA
SMCI US,1/1/2019,bf:461839,100.6895139,100.3956279,98.22014462,100,4378275,4000,16.69,2.517,15137202216,15137202216,437827500,NA,NA
SNPS US,1/1/2019,bf:1183421,99.74268896,100.5862144,99.24921923,100,1295663,4000,16.69,2.517,42040087246,42040087246,129566300,NA,NA
ANET US,1/1/2019,bf:461839,100.8044797,101.4277768,98.53931435,100,461045,4000,16.69,2.517,41958708303,41958708303,46104500,NA,NA
ASML US,1/1/2019,bf:461839,100.2281155,101.104902,99.52768937,100,2132260,4000,16.69,2.517,37515699642,37515699642,213226000,NA,NA
MU US,1/1/2019,bf:1274691,100.9163756,101.0775788,98.54788453,100,629600,4000,16.69,2.517,16092030026,16092030026,62960000,NA,NA
BOTZ US,1/1/2019,DEFAULT_FUND_001,100.9943331,101.7346597,99.48508509,100,3804728,4000,16.69,2.517,14741800281,14741800281,380472800,NA,NA
AIQ US,1/1/2019,DEFAULT_FUND_001,99.78898173,100.1047558,98.22989747,100,4295156,4000,16.69,2.517,24070375846,24070375846,429515600,NA,NA
ROBT US,1/1/2019,DEFAULT_FUND_001,99.40348475,101.0600386,98.49853585,100,514321,4000,16.69,2.517,47130282575,47130282575,51432100,NA,NA
QTUM US,1/1/2019,DEFAULT_FUND_001,99.75814547,100.638853,99.6933209,100,1383003,4000,16.69,2.517,27331291396,27331291396,138300300,NA,NA
AIEQ US,1/1/2019,DEFAULT_FUND_001,100.2059679,101.1367626,98.44671372,100,1665375,4000,16.69,2.517,85924943819,85924943819,166537500,NA,NA
NVDA US,1/2/2019,bf:1257479,102.4585724,102.493421,100.8991303,101.6266943,2116084,3979.24,15.82,2.534,29470174492,29949564140,215050621.8,0.016136054,NA
V US,1/2/2019,bf:2237801,100.4271351,101.2584081,99.40833889,99.62751934,635936,3979.24,15.82,2.534,79042208409,78747791467,63356726.14,-0.003731761,NA
LLY US,1/2/2019,bf:1257479,103.1481964,105.4025824,101.8985871,103.746366,4188906,3979.24,15.82,2.534,41488715259,43043034389,434583775.1,0.036778946,NA
BIO US,1/2/2019,bf:1475721,98.55150719,101.3418932,99.00440876,99.37242674,196503,3979.24,15.82,2.534,88418722996,87863830730,19526979.97,-0.006295508,NA
META US,1/2/2019,bf:1914537,100.1288253,101.3375494,99.5885205,100.2643274,1113646,3979.24,15.82,2.534,94106261145,94355009733,111658967.1,0.002639786,NA
AMZN US,1/2/2019,bf:2184853,98.65105945,100.1062842,98.75922138,99.5766976,2553697,3979.24,15.82,2.534,5510093440,5486769082,254288713.9,-0.004242009,NA
MSFT US,1/2/2019,bf:1914537,101.1365075,102.4582023,99.52402142,101.2468843,3372692,3979.24,15.82,2.534,53282443317,53946813744,341474556.8,0.012391747,NA
TSLA US,1/2/2019,bf:1257479,100.7096887,102.6111505,101.1858779,101.32964,1549152,3979.24,15.82,2.534,89349485395,90537511913,156975014.5,0.013208779,NA
HDB US,1/2/2019,DEFAULT_FUND_001,102.3761491,103.2430694,101.5331096,101.7657891,1855505,3979.24,15.82,2.534,55592066432,56573705072,188826930.5,0.017503802,NA
AMD US,1/2/2019,bf:461839,99.99621582,100.4659935,98.57997473,99.44674203,1193618,3979.24,15.82,2.534,46204858795,45949226731,118701421.3,-0.005547941,NA
ORCL US,1/2/2019,bf:1914537,102.6344477,102.8933993,102.406921,102.7206179,2868097,3979.24,15.82,2.534,95726501190,98330853530,294612696.1,0.026842669,NA
9984 JT,1/2/2019,bf:461753,98.23689654,99.2406657,97.47376737,98.75591489,4826294,3979.24,15.82,2.534,45880081463,45309294203,476625079.5,-0.012518886,NA
005930 KS,1/2/2019,bf:1098061,100.1288253,101.3375494,99.5885205,100.2643274,1113646,3979.24,15.82,2.534,68079492910,68259445630,111658967.1,0.002639786,NA
BABA US,1/2/2019,bf:1914537,96.97982663,98.29888747,96.35019511,97.35066599,1889740,3979.24,15.82,2.534,57690706794,56162287278,183967447.5,-0.026850613,NA
LMT US,1/2/2019,bf:3356011,95.91160811,97.7644827,96.23299767,96.80688105,4059560,3979.24,15.82,2.534,11189543584,10832248147,392993342,-0.032452109,NA
8TRA GR,1/2/2019,bf:3428225,100.2830442,101.4612504,98.35450596,99.49087605,2937835,3979.24,15.82,2.534,90082672070,89624039608,292287777.8,-0.005104244,NA
6501 JT,1/2/2019,bf:461753,100.8602345,101.7527817,99.51147597,100.7785569,2989458,3979.24,15.82,2.534,25362685701,25560148643,301273263.2,0.007755418,NA
GE US,1/2/2019,bf:1922841,99.59875391,99.73385504,98.77485642,99.01926875,3688833,3979.24,15.82,2.534,5163893820,5113249899,365265546.2,-0.009855721,NA
AMT US,1/2/2019,bf:2184853,101.18945,101.0811352,100.2013716,100.5777694,1213909,3979.24,15.82,2.534,33464151209,33657496829,122092259.5,0.005761067,NA
NET US,1/2/2019,bf:461839,100.6106567,101.9225809,99.56780361,100.6822211,1606441,3979.24,15.82,2.534,95495861266,96147354218,161740048,0.006799045,NA
SPOT US,1/2/2019,bf:2735887,101.4515753,103.7781717,100.5238994,101.7595056,4808241,3979.24,15.82,2.534,89064392290,90631485278,489284227.1,0.017442055,NA
PCOR US,1/2/2019,bf:1632133,100.7096887,102.6111505,101.1858779,101.32964,1549152,3979.24,15.82,2.534,69587537210,70512800955,156975014.5,0.013208779,NA
JBL US,1/2/2019,bf:1632133,103.4357669,103.8673563,103.0068879,103.59325,3206153,3979.24,15.82,2.534,64410174563,66724593164,332135809.3,0.035301987,NA
J US,1/2/2019,bf:1919567,100.423681,101.3651951,98.69786298,99.7744028,780614,3979.24,15.82,2.534,99432707886,99208390478,77885295.67,-0.002258521,NA
INF US,1/2/2019,bf:1922841,101.8243383,102.3319878,100.6188444,101.7506884,912376,3979.24,15.82,2.534,65914874112,67068838191,92834886.11,0.017355404,NA
XOM US,1/2/2019,bf:461839,97.43072036,98.74158012,96.67930423,97.70253263,478869,3979.24,15.82,2.534,71144516349,69509994298,46786714.1,-0.023242705,NA
CVX US,1/2/2019,bf:3356011,103.1481964,105.4025824,101.8985871,103.746366,4188906,3979.24,15.82,2.534,54862536446,56917887868,434583775.1,0.036778946,NA
LIN US,1/2/2019,DEFAULT_FUND_001,101.1792087,102.766382,99.96432018,100.9705423,3562312,3979.24,15.82,2.534,59820060024,60400638994,359688574.4,0.009658628,NA
APD US,1/2/2019,bf:1183421,100.0265195,100.8998599,98.79075294,100.6665687,4411374,3979.24,15.82,2.534,29626813992,29824297068,444077883.9,0.00664357,NA
NEE US,1/2/2019,bf:1914537,103.4357669,103.8673563,103.0068879,103.59325,3206153,3979.24,15.82,2.534,15564251084,16123513537,332135809.3,0.035301987,NA
DUK US,1/2/2019,bf:1914537,99.88067608,101.4462813,99.96815338,100.8568614,2528737,3979.24,15.82,2.534,96339399021,97164894142,255040477.1,0.008532112,NA
CAT US,1/2/2019,bf:1249063,103.4357669,103.8673563,103.0068879,103.59325,3206153,3979.24,15.82,2.534,90327605467,93573302155,332135809.3,0.035301987,NA
DE US,1/2/2019,bf:1249015,97.46695876,98.80490697,97.76074416,98.05770515,3908975,3979.24,15.82,2.534,69379822564,68032261845,383305118,-0.019614053,NA
KO US,1/2/2019,bf:1249015,97.86902743,98.61833039,97.02322062,98.5094324,5225931,3979.24,15.82,2.534,79751274351,78562527699,514803496.6,-0.015017882,NA
PG US,1/2/2019,bf:1183421,101.2147321,103.0467094,101.0210845,101.6683696,3466490,3979.24,15.82,2.534,3436754766,3494092539,352432386.7,0.016546052,NA
IBM US,1/2/2019,bf:2184853,103.4357669,103.8673563,103.0068879,103.59325,3206153,3979.24,15.82,2.534,48301801138,50037405610,332135809.3,0.035301987,NA
SAP GR,1/2/2019,bf:461753,100.0265195,100.8998599,98.79075294,100.6665687,4411374,3979.24,15.82,2.534,76087494215,76594669654,444077883.9,0.00664357,NA
CRM US,1/2/2019,bf:461839,101.18945,101.0811352,100.2013716,100.5777694,1213909,3979.24,15.82,2.534,22424385648,22553946882,122092259.5,0.005761067,NA
ADBE US,1/2/2019,bf:461839,98.57080343,100.2297352,98.21772585,98.57454036,1658242,3979.24,15.82,2.534,32499919756,32036646518,163460443,-0.014357169,NA
INTC US,1/2/2019,bf:1639201,100.3166546,102.0891802,99.29687622,100.9691897,3855112,3979.24,15.82,2.534,23930952750,24162889081,389247534.9,0.009645232,NA
SMCI US,1/2/2019,bf:461839,100.8927239,103.537075,101.3935627,101.9097606,3276509,3979.24,15.82,2.534,15137202216,15426286546,333908247.9,0.018917536,NA
SNPS US,1/2/2019,bf:1183421,99.70088964,100.1426071,99.10318138,99.52298068,193823,3979.24,15.82,2.534,42040087246,41839547906,19289842.68,-0.004781607,NA
ANET US,1/2/2019,bf:461839,100.277534,100.5124707,98.47459284,99.82083559,693351,3979.24,15.82,2.534,41958708303,41883533229,69210876.17,-0.001793251,NA
ASML US,1/2/2019,bf:461839,101.6750185,102.5205454,99.39530034,100.8007006,2583646,3979.24,15.82,2.534,37515699642,37816088058,260433326.8,0.00797512,NA
MU US,1/2/2019,bf:1274691,99.06089736,100.0104738,98.03416158,99.06397066,1380699,3979.24,15.82,2.534,16092030026,15941403904,136777525.2,-0.009404376,NA
BOTZ US,1/2/2019,DEFAULT_FUND_001,100.5867409,101.8048565,99.40419165,100.1963473,709922,3979.24,15.82,2.534,14741800281,14770745403,71131591.24,0.001961548,NA
AIQ US,1/2/2019,DEFAULT_FUND_001,99.78380464,99.62384474,97.32449317,99.14041383,505820,3979.24,15.82,2.534,24070375846,23863470223,50147204.12,-0.008633019,NA
ROBT US,1/2/2019,DEFAULT_FUND_001,98.2954805,100.6683643,97.53248985,99.11972824,2884997,3979.24,15.82,2.534,47130282575,46715408007,285960118.6,-0.00884169,NA
QTUM US,1/2/2019,DEFAULT_FUND_001,99.87854985,100.4273938,99.84195957,100.1033219,685507,3979.24,15.82,2.534,27331291396,27359530605,68621527.88,0.001032686,NA
AIEQ US,1/2/2019,DEFAULT_FUND_001,100.8173581,102.1004394,99.75908206,101.3093859,4402804,3979.24,15.82,2.534,85924943819,87050032899,446045369.4,0.013008875,NA
NVDA US,1/3/2019,bf:1257479,100.8048718,103.0322281,100.2845414,101.1949063,1603149,3971.67,20.17,2.552,29470174492,29822315458,162230512.8,-0.004257817,NA
V US,1/3/2019,bf:2237801,102.0445235,103.8439565,100.8819498,102.4371108,3468211,3971.67,20.17,2.552,79042208409,80968554574,355273514.3,0.027810632,NA
LLY US,1/3/2019,bf:1257479,102.7272,103.2507244,101.2030008,101.9468402,1642389,3971.67,20.17,2.552,41488715259,42296434237,167436368.9,-0.017497629,NA
BIO US,1/3/2019,bf:1475721,99.76827958,100.1526512,98.59920574,99.24267437,4563529,3971.67,20.17,2.552,88418722996,87749105341,452896822.5,-0.001306571,NA
META US,1/3/2019,bf:1914537,102.7376748,103.1630122,101.7892487,102.9156034,4689225,3971.67,20.17,2.552,94106261145,96850026453,482594420.1,0.026099295,NA
AMZN US,1/3/2019,bf:2184853,100.1760527,100.0847844,98.67875854,99.76534814,4686840,3971.67,20.17,2.552,5510093440,5497163903,467584224.3,0.001892733,NA
MSFT US,1/3/2019,bf:1914537,101.4734645,102.6443135,100.5056502,102.3658134,4465294,3971.67,20.17,2.552,53282443317,54543006491,457093452.3,0.01099087,NA
TSLA US,1/3/2019,bf:1257479,103.3929114,103.1204324,101.1830105,102.7168663,2207306,3971.67,20.17,2.552,89349485395,91776991453,226727555.3,0.013597367,NA
HDB US,1/3/2019,DEFAULT_FUND_001,100.5753127,102.5334086,99.36675868,100.8779798,4347816,3971.67,20.17,2.552,55592066432,56080153561,438598894.7,-0.008762322,NA
AMD US,1/3/2019,bf:461839,101.1582504,102.3945272,99.31458712,100.5767032,4642520,3971.67,20.17,2.552,46204858795,46471323691,466929356.1,0.011298407,NA
ORCL US,1/3/2019,bf:1914537,102.1209653,104.8537342,101.8766379,103.1392532,2926055,3971.67,20.17,2.552,95726501190,98731598463,301791127.6,0.004067193,NA
9984 JT,1/3/2019,bf:461753,95.15775592,97.50888378,94.3542221,95.73340567,1436013,3971.67,20.17,2.552,45880081463,43922564508,137474415.1,-0.031083996,NA
005930 KS,1/3/2019,bf:1098061,102.7376748,103.1630122,101.7892487,102.9156034,4689225,3971.67,20.17,2.552,68079492910,70064420890,482594420.1,0.026099295,NA
BABA US,1/3/2019,bf:1914537,97.58989367,100.1418786,98.16028676,98.34022228,752142,3971.67,20.17,2.552,57690706794,56733169297,73965811.47,0.010113549,NA
LMT US,1/3/2019,bf:3356011,99.87579758,99.6877573,98.5010978,99.44045988,5243105,3971.67,20.17,2.552,11189543584,11126933599,521376772.4,0.026840995,NA
8TRA GR,1/3/2019,bf:3428225,98.88972779,100.0163144,97.98735871,98.09346981,5041054,3971.67,20.17,2.552,90082672070,88365218733,494494478.4,-0.014145144,NA
6501 JT,1/3/2019,bf:461753,101.7819475,101.6790811,100.6341473,101.4414938,3186146,3971.67,20.17,2.552,25362685701,25728287253,323207409.8,0.006556613,NA
GE US,1/3/2019,bf:1922841,100.1290942,100.9044579,99.6772054,100.1937166,2304751,3971.67,20.17,2.552,5163893820,5173897140,230921568.6,0.011791013,NA
AMT US,1/3/2019,bf:2184853,99.23166432,100.6248037,97.98994896,99.96369786,476126,3971.67,20.17,2.552,33464151209,33452003008,47595315.61,-0.006124154,NA
NET US,1/3/2019,bf:461839,99.66633598,101.4650934,99.7236471,100.1966615,3278895,3971.67,20.17,2.552,95495861266,95683664904,328534332.6,-0.004834361,NA
SPOT US,1/3/2019,bf:2735887,101.7817751,103.1305277,100.0147135,101.7479469,2300108,3971.67,20.17,2.552,89064392290,90621190543,234031266.6,-0.000113595,NA
PCOR US,1/3/2019,bf:1632133,103.3929114,103.1204324,101.1830105,102.7168663,2207306,3971.67,20.17,2.552,69587537210,71478137557,226727555.3,0.013597367,NA
JBL US,1/3/2019,bf:1632133,103.1132761,103.3179342,101.5184192,102.0970858,3738648,3971.67,20.17,2.552,64410174563,65760911218,381705065.8,-0.014547991,NA
J US,1/3/2019,bf:1919567,99.92348707,102.346924,98.9394544,100.634931,990724,3971.67,20.17,2.552,99432707886,1.00E+11,99701441.4,0.008587759,NA
INF US,1/3/2019,bf:1922841,104.9784135,105.0269642,102.4901898,103.9962802,1609452,3971.67,20.17,2.552,65914874112,68549017170,167377021.1,0.021829541,NA
XOM US,1/3/2019,bf:461839,98.10537484,98.27595213,96.29791337,97.92959261,1673582,3971.67,20.17,2.552,71144516349,69671535023,163893203.5,0.002321296,NA
CVX US,1/3/2019,bf:3356011,102.7272,103.2507244,101.2030008,101.9468402,1642389,3971.67,20.17,2.552,54862536446,55930622348,167436368.9,-0.017497629,NA
LIN US,1/3/2019,DEFAULT_FUND_001,101.1430899,102.0385023,100.2768828,101.3172522,1050673,3971.67,20.17,2.552,59820060024,60608041074,106451301.3,0.003427891,NA
APD US,1/3/2019,bf:1183421,99.68104033,101.5391162,99.20602006,100.2897811,4956026,3971.67,20.17,2.552,29626813992,29712666908,497038762.8,-0.003749949,NA
NEE US,1/3/2019,bf:1914537,103.1132761,103.3179342,101.5184192,102.0970858,3738648,3971.67,20.17,2.552,15564251084,15890646791,381705065.8,-0.014547991,NA
DUK US,1/3/2019,bf:1914537,103.3827479,104.6161737,102.6895414,103.9891586,2413100,3971.67,20.17,2.552,96339399021,1.00E+11,250936238.7,0.030584352,NA
CAT US,1/3/2019,bf:1249063,103.1132761,103.3179342,101.5184192,102.0970858,3738648,3971.67,20.17,2.552,90327605467,92221852897,381705065.8,-0.014547991,NA
DE US,1/3/2019,bf:1249015,98.91085923,100.4090927,99.30541024,99.44477983,619273,3971.67,20.17,2.552,69379822564,68994611794,61583467.14,0.01404638,NA
KO US,1/3/2019,bf:1249015,99.71556812,101.5274434,100.0537794,100.3048526,1962516,3971.67,20.17,2.552,79751274351,79994398165,196849878.1,0.01806177,NA
PG US,1/3/2019,bf:1183421,102.3802098,103.6064257,100.9980347,102.6884549,4506145,3971.67,20.17,2.552,3436754766,3529150370,462729067.8,0.009983457,NA
IBM US,1/3/2019,bf:2184853,103.1132761,103.3179342,101.5184192,102.0970858,3738648,3971.67,20.17,2.552,48301801138,49314731374,381705065.8,-0.014547991,NA
SAP GR,1/3/2019,bf:461753,99.68104033,101.5391162,99.20602006,100.2897811,4956026,3971.67,20.17,2.552,76087494215,76307981413,497038762.8,-0.003749949,NA
CRM US,1/3/2019,bf:461839,99.23166432,100.6248037,97.98994896,99.96369786,476126,3971.67,20.17,2.552,22424385648,22416245117,47595315.61,-0.006124154,NA
ADBE US,1/3/2019,bf:461839,98.50408733,99.53062129,98.52629311,99.30438763,2138996,3971.67,20.17,2.552,32499919756,32273846293,212411687.9,0.007376739,NA
INTC US,1/3/2019,bf:1639201,101.0023231,101.9043042,99.89061165,100.2346914,1783443,3971.67,20.17,2.552,23930952750,23987116647,178762858.8,-0.007301067,NA
SMCI US,1/3/2019,bf:461839,101.0013915,103.8430888,101.4505413,102.015294,3424952,3971.67,20.17,2.552,15137202216,15442261348,349397485.3,0.001035021,NA
SNPS US,1/3/2019,bf:1183421,98.26532273,98.91529583,96.1509256,97.7510677,225767,3971.67,20.17,2.552,42040087246,41094634143,22068965.3,-0.017964458,NA
ANET US,1/3/2019,bf:461839,98.95066078,99.76698904,97.81594973,99.11205035,3575177,3971.67,20.17,2.552,41958708303,41586136098,354343122.8,-0.007125903,NA
ASML US,1/3/2019,bf:461839,101.7379503,103.1592831,101.0991656,101.2211756,4128068,3971.67,20.17,2.552,37515699642,37973832211,417847895.9,0.004162674,NA
MU US,1/3/2019,bf:1274691,96.94668861,98.84917155,96.85148185,97.88922454,2642690,3971.67,20.17,2.552,16092030026,15752363406,258690874.8,-0.011929332,NA
BOTZ US,1/3/2019,DEFAULT_FUND_001,97.25626374,97.06377056,95.37816455,96.78108153,2214755,3971.67,20.17,2.552,14741800281,14267273750,214346384.2,-0.034680197,NA
AIQ US,1/3/2019,DEFAULT_FUND_001,100.1249633,100.2454683,98.79539157,99.91249927,1906119,3971.67,20.17,2.552,24070375846,24049314090,190445113.2,0.007757629,NA
ROBT US,1/3/2019,DEFAULT_FUND_001,97.26925032,99.7535456,96.63264826,98.22942862,1195454,3971.67,20.17,2.552,47130282575,46295807281,117428763.4,-0.009022645,NA
QTUM US,1/3/2019,DEFAULT_FUND_001,97.22495864,99.14690781,97.32612222,97.85183,2895775,3971.67,20.17,2.552,27331291396,26744168794,283356883,-0.022748476,NA
AIEQ US,1/3/2019,DEFAULT_FUND_001,97.32863284,99.65583582,96.76910504,97.91697383,1702332,3971.67,20.17,2.552,85924943819,84135104749,166687197.9,-0.034059148,NA
NVDA US,1/4/2019,bf:1257479,103.969322,103.4084505,102.4632686,103.2007577,2866027,4035.68,15.83,2.56,29470174492,30413443358,295776157.9,0.019627772,NA
V US,1/4/2019,bf:2237801,100.8306086,101.8264377,99.35462185,101.2733146,2917422,4035.68,15.83,2.56,79042208409,80048664410,295456996.1,-0.011426109,NA
LLY US,1/4/2019,bf:1257479,99.23035267,101.9454866,99.28774473,100.1755778,4594084,4035.68,15.83,2.56,41488715259,41561560224,460215019.1,-0.017527078,NA
BIO US,1/4/2019,bf:1475721,98.47087286,98.96600592,97.85397888,98.54452063,4606150,4035.68,15.83,2.56,88418722996,87131806724,453910843.7,-0.007059675,NA
META US,1/4/2019,bf:1914537,103.9642089,104.4876118,102.5831425,103.5148516,1060859,4035.68,15.83,2.56,94106261145,97413956580,109814662,0.005805829,NA
AMZN US,1/4/2019,bf:2184853,98.26153294,99.92621532,97.26040503,99.18802318,2492508,4035.68,15.83,2.56,5510093440,5465352758,247226941.3,-0.005803637,NA
MSFT US,1/4/2019,bf:1914537,104.4564326,104.4570268,102.9690642,104.0584232,3969797,4035.68,15.83,2.56,53282443317,55444870370,413090816.3,0.0163997,NA
TSLA US,1/4/2019,bf:1257479,100.7645976,102.1690576,99.60279636,100.8727179,4989781,4035.68,15.83,2.56,89349485395,90129254331,503332771.1,-0.018116829,NA
HDB US,1/4/2019,DEFAULT_FUND_001,105.5712625,106.1389331,104.731606,105.9830731,3142536,4035.68,15.83,2.56,55592066432,58918180421,333055622.7,0.049367728,NA
AMD US,1/4/2019,bf:461839,102.618073,103.4421361,100.5204161,101.8190387,3612725,4035.68,15.83,2.56,46204858795,47045343075,367844186.7,0.012276455,NA
ORCL US,1/4/2019,bf:1914537,102.7441703,104.3612205,100.6538976,102.3442734,3222371,4035.68,15.83,2.56,95726501190,97970592141,329791218.8,-0.007737688,NA
9984 JT,1/4/2019,bf:461753,99.49330924,100.0904176,97.35561466,99.33413889,3878174,4035.68,15.83,2.56,45880081463,45574583843,385235074.8,0.036922003,NA
005930 KS,1/4/2019,bf:1098061,103.9642089,104.4876118,102.5831425,103.5148516,1060859,4035.68,15.83,2.56,68079492910,70472386063,109814662,0.005805829,NA
BABA US,1/4/2019,bf:1914537,97.35807553,97.93942314,95.91427705,97.84109277,3273959,4035.68,15.83,2.56,57690706794,56445217953,320327726.2,-0.005088462,NA
LMT US,1/4/2019,bf:3356011,98.88103448,100.1029165,97.3316282,98.63704449,463533,4035.68,15.83,2.56,11189543584,11037035083,45721525.14,-0.008112176,NA
8TRA GR,1/4/2019,bf:3428225,94.97508409,95.37223798,93.76183687,95.02346837,180224,4035.68,15.83,2.56,90082672070,85599679404,17125509.56,-0.031796901,NA
6501 JT,1/4/2019,bf:461753,102.8851294,104.4434824,102.6945253,103.6014015,4689173,4035.68,15.83,2.56,25362685701,26276097857,485804894.9,0.021068641,NA
