"Ticker","RepNo","CompanyName","ISIN","Exchange","Country","TRBC_Industry"
"IBN","A2010","ICICI Bank Ltd (ADR)","US45104G1040","NYSE","USA","Corporate Banks"
"ICE","06E9E","Medinice SA","PLMDNCE00016","WAR","POL","Medical Diagnostic & Testing Equipment"
"ICE","09603","Icetana Ltd","AU0000067621","ASX","AUS","IT Services & Consulting (NEC)"
"ICE","A2DB9","Canlan Ice Sports Corp","CA1376392090","TSE","CAN","Adventure Sports Facilities & Ski Resorts"
"INF","A321A","Informa PLC","GB00BMJ6DW54","LON","GBR","Exhibition & Conference Services"
"INF","A51BB","Infotel SA","FR0000071797","EPA","FRA","IT Services & Consulting (NEC)"
"INF","AD848","Interfund Investments Plc","CY0100560214","CSE","CYP","Investment Management & Fund Operators (NEC)"
"INF","D1635","Infinity Metals Ltd","AU0000007627","ASX","AUS","Specialty Mining & Metals (NEC)"
"INFY","A1E31","Infosys Ltd (ADR)","US4567881085","NYSE","USA","IT Services & Consulting (NEC)"
"INFY","A4ECA","Infosys Ltd","INE009A01021","NSE","IND","IT Services & Consulting (NEC)"
"INTC","45870","Intel Corp","US4581401001","NASD","USA","Semiconductors (NEC)"
"IQ","02914","IQIYI Inc - ADR","US46267X1081","NASD","USA","Online Services (NEC)"
"IQ","A3592","AirIQ Inc","CA0091204036","CVE","CAN","Wireless Telecommunications Services (NEC)"
"J","4882N","Jacobs Solutions Inc","US46982L1089","NYSE","USA","Business Support Services (NEC)"
"J","EEFF5","JAS Asset PCL","TH6823010009","BAK","THA","Retail Real Estate Rental & Development"
"JBL","A0427","Jabil Inc","US4663131039","NYSE","USA","Electronic Components"
"JD","EEBBD","JD.Com Inc (ADR)","US47215P1066","NASD","USA","Internet & Mail Order Department Stores"
"JNJ","A2BE9","Johnson & Johnson","US4781601046","NYSE","USA","Pharmaceuticals (NEC)"
"JPM","A2827","JPMorgan Chase & Co","US46625H1005","NYSE","USA","Banks (NEC)"
"KKR","AF215","KKR & Co Inc","US48251W1045","NYSE","USA","Investment Management"
"KO","1996N","Coca-Cola Co","US1912161007","NYSE","USA","Non-Alcoholic Beverages (NEC)"
"KSPI","02EF7","Kaspi.kz AO","KZ1C00001536","KAS","KAZ","Financial Technology (Fintech) (NEC)"
"KSPI","0EDC0","Kaspi.kz AO - ADR","US48581R2058","NASD","USA","Financial Technology (Fintech) (NEC)"
"LI","0A68C","Li Auto Inc (ADR)","US50202M1027","NASD","USA","Electric (Alternative) Vehicles"
"LI","A388A","Klepierre SA","FR0000121964","EPA","FRA","Commercial REITs (NEC)"
"LI","AD731","LCP Holdings and Investments Public Ltd","CY0109861316","CSE","CYP","Investment Management & Fund Operators (NEC)"
"LI","B0943","American Lithium Corp","CA0272592092","CVE","CAN","Specialty Mining & Metals (NEC)"
"LIN","A014F","Linde PLC","IE000S9YS762","NASD","USA","Industrial Gases"
"LIN","A3895","Linedata Services SA","FR0004156297","EPA","FRA","Enterprise Software"
"LIN","A63F4","Lindian Resources Ltd","AU000000LIN6","ASX","AUS","Specialty Mining & Metals (NEC)"
"LLY","5405N","Eli Lilly And Co","US5324571083","NYSE","USA","Pharmaceuticals (NEC)"
"LMT","5431N","Lockheed Martin Corp","US5398301094","NYSE","USA","Commercial Aircraft Manufacturing"
"LRCX","51240","Lam Research Corp","US5128073062","NASD","USA","Semiconductor Equipment & Testing (NEC)"
"MA","A286F","Mastercard Inc","US57636Q1040","NYSE","USA","Internet Security & Transactions Services"
"MA","A96F2","Manila Mining Corp","PHY5764P1022","PSE","PHL","Diversified Mining"
"MC","A46C8","LVMH Moet Hennessy Louis Vuitton SE","FR0000121014","EPA","FRA","Apparel & Accessories (NEC)"
"MC","E5A30","MC Group PCL","TH4625010004","BAK","THA","Jeans"
"MC","EDA8D","Moelis & Co","US60786M1053","NYSE","USA","Investment Banking"
"MCD","06D45","Mycodern SA","PLMDNPL00013","WAR","POL","Food Processing (NEC)"
"MCD","5828N","McDonald's Corp","US5801351017","NYSE","USA","Quick Service Restaurants"
"MCD","E83FC","Keenova Therapeutics PLC","IE00BBGT3753","MNC","DEU","Pharmaceuticals (NEC)"
"MCO","A26CE","Moody's Corp","US6153691059","NYSE","USA","Rating Agencies"
"MCO","A60AF","MyEco Group Ltd","AU0000365637","ASX","AUS","Plastics"
"MCO","AEC01","BDC Viet Nam Construction and Invest JSC","VN000000MCO6","HST","VNM","Construction & Engineering (NEC)"
"MELI","0A750","Mellifera AD","BG1100016226","BUL","BGR","Food Processing (NEC)"
"MELI","AECFD","MercadoLibre Inc","US58733R1023","NASD","USA","E-commerce & Auction Services"
"META","02DAD","Metacon AB (publ)","SE0003086214","STO","SWE","Renewable Energy Equipment & Services (NEC)"
"META","AAA5E","Nusantara Infrastructure Tbk PT","ID1000116304","JAK","IDN","Highway Operators"
"META","B41EC","Meta Corporation PCL","TH1056010Y02","BAK","THA","Construction & Engineering (NEC)"
"META","CA3C0","Meta Platforms Inc","US30303M1027","NASD","USA","Social Media & Networking"
"MFG","035AC","Mayfair Gold Corp","CA57808L3056","CVE","CAN","Gold Mining"
"MFG","0AD4B","MFG Invest AD","BG1100020228","BUL","BGR","Venture Capital"
"MFG","AD9C9","Mizuho Financial Group Inc (ADR)","US60687Y1091","NYSE","USA","Banks (NEC)"
"MFG","AE1BF","Magellan Financial Group Ltd","AU000000MFG4","ASX","AUS","Investment Management & Fund Operators (NEC)"
"MITSY","59240","Mitsui & Co Ltd (ADR)","US6068272029","OTC","USA","Diversified Industrial Goods Wholesale"
"MKTX","A8941","Marketaxess Holdings Inc","US57060D1081","NASD","USA","Financial & Commodity Market Operators & Service Providers (NEC)"
"MMM","02C62","Marley Spoon SE","AU0000013070","ASX","AUS","Food Retail & Distribution (NEC)"
"MMM","0EA6A","MMM Capital PCL","THB670010Z02","BAK","THA","Real Estate Services (NEC)"
"MMM","6017N","3M Co","US88579Y1010","NYSE","USA","Consumer Goods Conglomerates"
"MMM","A2C2F","Minco Capital Corp","CA6025321036","CVE","CAN","Investment Holding Companies (NEC)"
"MMM","CE72C","MMM Group Bhd","MYQ0159OO002","KUL","MYS","Advertising & Marketing (NEC)"
"MQ","044FC","Marqeta Inc","US57142B1044","NASD","USA","Financial Technology (Fintech) (NEC)"
"MRK","034AB","Marks Electrical Group PLC","GB00BM8Q5G47","LON","GBR","Household Electronics (NEC)"
"MRK","5918N","Merck & Co Inc","US58933Y1055","NYSE","USA","Pharmaceuticals (NEC)"
"MRK","A2FB2","Merck KGaA","DE0006599905","ETR","DEU","Proprietary & Advanced Pharmaceuticals"
"MS","06DB6","Misitano & Stracuzzi SpA","IT0005603078","BIT","ITA","Fruit & Vegetable Processing"
"MS","A13FF","Morgan Stanley","US6174464486","NYSE","USA","Investment Banking & Brokerage Services (NEC)"
"MSCI","AF5AE","Msci Inc","US55354G1004","NYSE","USA","Professional Information Services (NEC)"
"MSFT","57840","Microsoft Corp","US5949181045","NASD","USA","Software (NEC)"
"MSFT","AD1D6","Masafat for Specialised Transport PSC","JO3124311015","AFM","JOR","Freight Trucking"
"MU","5990N","Micron Technology Inc","US5951121038","NASD","USA","Semiconductors (NEC)"
"NDAQ","A6B64","Nasdaq Inc","US6311031081","NASD","USA","Financial & Commodity Market Operators & Service Providers (NEC)"
"NEE","3190N","NextEra Energy Inc","US65339F1012","NYSE","USA","Electric Utilities (NEC)"
"NET","03DAB","Cloudflare Inc","US18915M1071","NYSE","USA","Cloud Computing Services"
"NET","A315D","Netcall plc","GB0000060532","LON","GBR","Enterprise Software"
"NET","CB195","Net Detergent JSC","VN000000NET9","HST","VNM","Household Products (NEC)"
"NFLX","A42F5","Netflix Inc","US64110L1061","NASD","USA","Online Services (NEC)"
"NIO","02F9E","Nio Inc - ADR","US62914V1061","NYSE","USA","Electric (Alternative) Vehicles"
"NIO","A2E47","Nio Strategic Metals Inc","CA65445T1021","CVE","CAN","Specialty Mining & Metals (NEC)"
"NIO","D1D3D","Nordic Iron Ore AB","SE0011528017","STO","SWE","Iron & Steel (NEC)"
"NJDCY","A389E","Nidec Corp (ADR)","US6540901096","OTC","USA","Electrical Components & Equipment (NEC)"
"NOW","02E11","NowVertical Group Inc","CA67013H1064","CVE","CAN","Software (NEC)"
"NOW","AF780","Now Corp","PHY6389H1116","PSE","PHL","Integrated Telecommunications Services (NEC)"
"NOW","DE49C","ServiceNow Inc","US81762P1021","NYSE","USA","Enterprise Software"
"NSRGY","08123","Nestle SA - ADR","US6410694060","OTC","USA","Food Processing (NEC)"
"NTES","A2595","NetEase Inc (ADR)","US64110W1027","NASD","USA","Internet Gaming"
"NTRS","64360","Northern Trust Corp","US6658591044","NASD","USA","Investment Management & Fund Operators (NEC)"
"NU","0CC00","Nu Holdings Ltd","KYG6683N1034","NYSE","USA","Banks (NEC)"
"NVDA","A1D8D","NVIDIA Corp","US67066G1040","NASD","USA","Semiconductors (NEC)"
"NVO","A03A6","Novo Nordisk A/S (ADR)","US6701002056","NYSE","USA","Pharmaceuticals (NEC)"
"NVO","C68B0","Novo Resources Corp","CA67010B1022","TSE","CAN","Gold (NEC)"
"NVS","A1A2E","Novartis AG (ADR)","US66987V1098","NYSE","USA","Pharmaceuticals (NEC)"
"NVS","F4F1D","Novus Holdings Ltd","ZAE000202149","JNB","ZAF","Commercial Printing Services (NEC)"
"OKTA","00F26","Okta Inc","US6792951054","NASD","USA","IT Services & Consulting (NEC)"
"OKTA","0387F","Okta AD Skopje","MKOKTA101017","MSE","MKD","Oil & Gas Refining and Marketing (NEC)"
"OR","090D9","PTT Oil and Retail Business PCL","THA099010003","BAK","THA","Oil & Gas Refining and Marketing (NEC)"
"OR","A311F","L'Oreal SA","FR0000120321","EPA","FRA","Cosmetics & Perfumes"
"OR","EFF09","OR Royalties Inc","CA68390D1069","TSE","CAN","Specialty Mining & Metals (NEC)"
"ORCL","0A1A6","Oracle Commodity Holding Corp","CA68405F1045","CVE","CAN","Investment Management & Fund Operators (NEC)"
"ORCL","66610","Oracle Corp","US68389X1054","NYSE","USA","Enterprise Software"
"PAGS","024E7","PagSeguro Digital Ltd","KYG687071012","NYSE","USA","Transaction & Payment Services"
"PANW","DD7F5","Palo Alto Networks Inc","US6974351057","NASD","USA","Security Software"
"PCOR","03BD6","Procore Technologies Inc","US74275K1088","NYSE","USA","Software (NEC)"
"PCOR","A44A6","Petron Corp","PHY6885F1067","PSE","PHL","Petroleum Refining"
"PDD","02DD7","PDD Holdings Inc - ADR","US7223041028","NASD","USA","E-commerce & Auction Services"
"PFE","0921F","Pantera Minerals Ltd","AU0000158560","ASX","AUS","Specialty Mining & Metals (NEC)"
"PFE","A249A","Pfizer Inc","US7170811035","NYSE","USA","Pharmaceuticals (NEC)"
"PG","01B18","PG plc","MT0001410100","MAS","MLT","Supermarkets & Convenience Stores"
"PG","7280N","Procter & Gamble Co","US7427181091","NYSE","USA","Personal Products (NEC)"
"PG","AA0DF","Peoples Garment PCL","TH0126010Z03","BAK","THA","Apparel & Accessories (NEC)"
"PYPL","F7821","PayPal Holdings Inc","US70450Y1038","NASD","USA","Transaction & Payment Services"
"QCOM","A030E","Qualcomm Inc","US7475251036","NASD","USA","Semiconductors (NEC)"
"RELIANCE","A4441","Reliance Industries Ltd","INE002A01018","NSE","IND","Oil & Gas Refining and Marketing (NEC)"
"RKUNY","074A4","Rakuten Group Inc - ADR","US75102W1080","OTC","USA","Online Services (NEC)"
"RMSG","03682","Real Messenger Corp","KYG7410G1064","NASD","USA","Application Software"
"RTX","9293N","Rtx Corp","US75513E1010","NYSE","USA","Aerospace & Defense (NEC)"
"RTX","A35FF","Rtx A/S","DK0010267129","CPH","DNK","Phones & Smart Phones"
"SAIL","06469","Sailpoint Inc","US78781J1097","NASD","USA","Security Software"
"SAIL","A57FC","Steel Authority of India Ltd","INE114A01011","NSE","IND","Iron & Steel (NEC)"
"SAP","A1A56","SAP SE (ADR)","US8030542042","NYSE","USA","Enterprise Software"
"SAP","A2944","Saputo Inc","CA8029121057","TSE","CAN","Food Processing (NEC)"
"SAP","A639A","Sappi Ltd","ZAE000006284","JNB","ZAF","Paper Products (NEC)"
"SE","01E46","Sea Ltd (ADR)","US81141R1005","NYSE","USA","Software (NEC)"
"SE","0E5C6","Sweet Earth Holdings Corp","CA87039X1179","CNQ","CAN","Alternative Medicine"
"SE","FCF44","SiamEast Solutions PCL","TH7753010001","BAK","THA","Industrial Machinery & Equipment Wholesale"
"SFTBF","A222E","SoftBank Group Corp","JP3436100006","OTC","USA","Wireless Telecommunications Services (NEC)"
"SHEL","AADB2","Shell PLC","GB00BP6MXD84","LON","GBR","Integrated Oil & Gas"
"SHEL","AAE5B","Shell PLC (ADR)","US7802593050","NYSE","USA","Integrated Oil & Gas"
"SHOP","00D0D","Shopify Inc","CA82509L1076","TSE","CAN","E-commerce & Auction Services"
"SHOP","F5CF1","Shopify Inc (US)","CA82509L1076","NASD","USA","E-commerce & Auction Services"
"SIEGY","A1D40","Siemens AG (ADR)","US8261975010","OTC","USA","Electrical Components & Equipment (NEC)"
"SMCAY","0B9F3","SMC Corp - ADR","US78445W3060","OTC","USA","Industrial Machinery & Equipment (NEC)"
"SMCI","AD99F","Super Micro Computer Inc","US86800U3023","NASD","USA","Servers & Systems"
"SMFG","A73F3","Sumitomo Mitsui Financial Grp, Inc (ADR)","US86562M2098","NYSE","USA","Banks (NEC)"
"SNOW","08286","Snowflake Inc","US8334451098","NYSE","USA","IT Services & Consulting (NEC)"
"SNPS","0A919","Specialty Natural Products PCL","THC572010005","BAK","THA","Pharmaceuticals (NEC)"
"SNPS","A008E","Synopsys Inc","US8716071076","NASD","USA","Software (NEC)"
"SNY","A4B23","Sanofi SA (ADR)","US80105N1054","NASD","USA","Pharmaceuticals (NEC)"
"SOFI","034A2","SoFi Technologies Inc","US83406F1021","NASD","USA","Consumer Lending (NEC)"
"SONY","8147N","Sony Group Corp (ADR)","US8356993076","NYSE","USA","Household Electronics (NEC)"
"SPGI","5848N","S&P Global Inc","US78409V1044","NYSE","USA","Professional Information Services (NEC)"
"SPOT","02835","Spotify Technology SA","LU1778762911","NYSE","USA","Online Services (NEC)"
"SPOT","062D9","EarthLabs Inc","CA27034B1085","CVE","CAN","Mining Support Services & Equipment (NEC)"
"SQM","A1D0D","Sociedad Quimica y Minr de Chile SA(ADR)","US8336351056","NYSE","USA","Specialty Chemicals (NEC)"
"SSDOY","A2258","Shiseido Co Ltd (ADR)","US8248414075","OTC","USA","Cosmetics & Perfumes"
"STNE","022A0","StoneCo Ltd","KYG851581069","NASD","USA","Financial Technology (Fintech) (NEC)"
"STT","84020","State Street Corp","US8574771031","NYSE","USA","Investment Management & Fund Operators (NEC)"
"T","8220N","AT&T Inc","US00206R1023","NYSE","USA","Wireless Telecommunications Services (NEC)"
"T","AF7E0","TKC Metals Corp","PHY8846P1085","PSE","PHL","Metallic Rolling & Drawing Products"
"TAK","C7044","Takeda Pharmaceutical Co Ltd (ADR)","US8740602052","NYSE","USA","Pharmaceuticals (NEC)"
"TCOM","A8280","Trip.com Group Ltd (ADR)","US89677Q1076","NASD","USA","Travel Agents"
"TEAM","06733","Team PLC","JE00BM90BX45","LON","GBR","Wealth Management"
"TEAM","A7117","Team Precision PCL","TH0640010003","BAK","THA","Semiconductors (NEC)"
"TEAM","F90FE","Atlassian Corp","US0494681010","NASD","USA","Software (NEC)"
"TM","A0208","Toyota Motor Corp (ADR)","US8923313071","NYSE","USA","Auto & Truck Manufacturers (NEC)"
"TM","A38B2","Telekom Malaysia Bhd","MYL4863OO006","KUL","MYS","Integrated Telecommunications Services (NEC)"
"TM","B11A4","Trigon Metals Inc","CA89620A5061","CVE","CAN","Copper Ore  Mining"
"TM","FCFCE","Techno Medical PCL","TH7423010001","BAK","THA","Medical Equipment, Supplies & Distribution (NEC)"
"TME","04C6F","Tencent Music Entertainment Group - ADR","US88034P1093","NYSE","USA","Online Services (NEC)"
"TMO","8789N","Thermo Fisher Scientific Inc","US8835561023","NYSE","USA","Advanced Medical Equipment & Technology (NEC)"
"TMO","FC6AA","Time Out Group PLC","GB00BYYV0629","LON","GBR","Commercial Printing Services (NEC)"
"TOST","08A99","Toast Inc","US8887871080","NYSE","USA","Enterprise Software"
"TSLA","C8279","Tesla Inc","US88160R1014","NASD","USA","Electric (Alternative) Vehicles"
"TSM","A1988","Taiwan Semicndctr Mnufctrng Co Ltd (ADR)","US8740391003","NYSE","USA","Integrated Circuits"
"TTDKY","A0045","TDK Corp (ADR)","US8723514084","OTC","USA","Electronic Equipment & Parts (NEC)"
"TTE","08B34","TRUONG THINH ENERGY INVESTMENT JSC","VN000000TTE6","HCM","VNM","Electric Utilities (NEC)"
"TTE","A4677","TotalEnergies SE","FR0000120271","EPA","FRA","Integrated Oil & Gas"
"TW","07FD7","Tradeweb Markets Inc","US8926721064","NASD","USA","Securities & Commodity Exchanges"
"TWLO","FCF43","Twilio Inc","US90138F1021","NYSE","USA","Software (NEC)"
"TXN","8759N","Texas Instruments Inc","US8825081040","NASD","USA","Semiconductors (NEC)"
"UL","A0446","Unilever PLC (ADR)","US9047678035","NYSE","USA","Personal Products (NEC)"
