"ticker","market_cap","volatility","total_return","rd_expense","patent_activity","rd_intensity","revenue_growth","industry","fund_weight","n_obs","first_date","last_date","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","strategic_profile","ai_exposure","innovation_exposure","predicted_ai_leader","anomaly_score","is_anomaly"
"BOTZ US",14789403273,0.315762344467808,0.00322911700000006,443682098.19,0,0.03,0.05,"Unknown",0.0136986301369863,200,"2019-01-01","2019-10-07",4,1,2,1,0.525,1,"Emerging",1,0.525,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.258938538551419,FALSE
"CAT US",106000000000,0.229420771371022,0.175595803,2107,0,0.000000019877358490566,-0.03356695497,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",1,1,1,3,0.35,1,"Emerging",0.9,0.315,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.284959676637186,FALSE
"CAT US",106000000000,0.229420771371022,0.175595803,2107,0,0.000000019877358490566,-0.03356695497,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",1,1,1,3,0.35,1,"Emerging",0.9,0.315,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.284959676637186,FALSE
"CRM US",26733733932,0.339250412189365,0.192172412,5493,0,0.000000205470736484922,0.0871560949,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,1,3,1,0.425,1,"Emerging",1.4,0.595,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.243202961485965,FALSE
"CRM US",26733733932,0.339250412189365,0.192172412,5493,0,0.000000205470736484922,0.0871560949,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,1,3,1,0.425,1,"Emerging",1.4,0.595,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.243202961485965,FALSE
"CVX US",52652234273,0.272024245809446,-0.0402880055999999,353,0,0.00000000670436886248183,-0.01776926866,"Energy",0.0136986301369863,200,"2019-01-01","2019-10-07",1,1,1,1,0.25,1,"Emerging",0.7,0.175,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.420302608828976,FALSE
"CVX US",52652234273,0.272024245809446,-0.0402880055999999,353,0,0.00000000670436886248183,-0.01776926866,"Energy",0.0136986301369863,200,"2019-01-01","2019-10-07",1,1,1,1,0.25,1,"Emerging",0.7,0.175,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.420302608828976,FALSE
"DE US",72506536458,0.205805204615083,0.045066617,2290,722,0.0000000315833594027278,-0.1556709278,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",1,4,1,4,0.625,2,"Developing",0.9,0.5625,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.177512157413237,FALSE
"DE US",72506536458,0.205805204615083,0.045066617,2290,722,0.0000000315833594027278,-0.1556709278,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",1,4,1,4,0.625,3,"Strong",0.9,0.5625,2,"AI Follower",0,0,0,"Underperformer","Low","Medium","Other",0.177512157413237,FALSE
"DUK US",129000000000,0.226219576838681,0.336882495,3870000000,0,0.03,0.04463179628,"Utilities",0.0136986301369863,200,"2019-01-01","2019-10-07",4,2,2,3,0.7,3,"Strong",0.5,0.35,1,"AI Laggard",0,0,0,"Underperformer","Low","Medium","Other",0.384089929364452,FALSE
"GE US",5438430556,0.176893193598843,0.0531646750000001,1286,1985,0.000000236465279230459,0.09488514202,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",2,4,3,4,0.8,4,"Leader",0.9,0.72,3,"AI Adopter",0.0114612125910824,0,0.00347310730358079,"Balanced Performer","Medium","High","Other",0.332208118727269,FALSE
"HDB US",53771979039,0.304650260224613,-0.0327400564,1613159371.17,0,0.03,0.1538111314,"Banks",0.0136986301369863,200,"2019-01-01","2019-10-07",4,2,4,1,0.7,3,"Strong",1,0.7,3,"AI Adopter",0,0,0.0343400271834498,"Balanced Performer","Medium","Medium","Other",0.205457584739965,FALSE
"HDB US",53771979039,0.304650260224613,-0.0327400564,1613159371.17,0,0.03,0.1538111314,"Banks",0.0136986301369863,200,"2019-01-01","2019-10-07",4,2,4,1,0.7,3,"Strong",1,0.7,3,"AI Adopter",0,0,0.0343400271834498,"Balanced Performer","Medium","Medium","Other",0.205457584739965,FALSE
"IBM US",56783394683,0.229420771371022,0.175595803,7479,1307,0.000000131711040556001,0.01443582283,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,4,2,3,0.7,3,"Strong",1.4,0.98,4,"AI Leader",0,0.0585392582479567,0.036263186734647,"Balanced Performer","High","Medium","Leader",0.112075809757557,FALSE
"IBM US",56783394683,0.229420771371022,0.175595803,7479,1307,0.000000131711040556001,0.01443582283,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,4,2,3,0.7,3,"Strong",1.4,0.98,4,"AI Leader",0,0.0585392582479567,0.036263186734647,"Balanced Performer","High","Medium","Leader",0.112075809757557,FALSE
"INF US",86902035022,0.276525220873437,0.318397952,2607061050.66,0,0.03,0.05,"Unknown",0.0136986301369863,200,"2019-01-01","2019-10-07",4,2,2,1,0.6,2,"Developing",1,0.6,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.194114766186697,FALSE
"INTC US",24707385255,0.141492259060142,0.0324446969999999,16546,1535,0.000000669678309915518,-0.02078262152,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",3,4,1,4,0.775,4,"Leader",1.5,1.1625,4,"AI Leader",0.052069543237049,0.0254713902567578,0.0157787066135933,"AI Pioneer","High","High","Leader",0.399378981604267,FALSE
"INTC US",24707385255,0.141492259060142,0.0324446969999999,16546,1535,0.000000669678309915518,-0.02078262152,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",3,4,1,4,0.775,4,"Leader",1.5,1.1625,4,"AI Leader",0.052069543237049,0.0254713902567578,0.0157787066135933,"AI Pioneer","High","High","Leader",0.399378981604267,FALSE
"J US",125000000000,0.232692564832148,0.253955524,3750000000,191.485,0.03,0.05985585297,"Commercial & Professional Serv",0.0136986301369863,200,"2019-01-01","2019-10-07",4,3,3,2,0.775,4,"Leader",1,0.775,3,"AI Adopter",0,0,0.0798278857249784,"Balanced Performer","Medium","High","Other",0.396666752706222,FALSE
"JBL US",75720330870,0.229420771371022,0.175595803,26,58,0.000000000343368811272602,0.03181802444,"Technology Hardware & Equipmen",0.0136986301369863,200,"2019-01-01","2019-10-07",1,3,2,3,0.55,2,"Developing",1.2,0.66,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.0281893472745881,FALSE
"KO US",80502973362,0.231315634112939,0.00942554200000001,2415089200.86,13301,0.03,0.02856580845,"Food, Beverage & Tobacco",0.0136986301369863,200,"2019-01-01","2019-10-07",4,4,2,3,0.85,4,"Leader",1,0.85,3,"AI Adopter",0.169655874505595,0,0.0514110572645017,"Balanced Performer","Medium","High","Other",0.574999335360072,TRUE
"LIN US",73183088694,0.150105117684965,0.223387082,150,2239,0.00000000204965385687934,0.0045960918,"Materials",0.0136986301369863,200,"2019-01-01","2019-10-07",1,4,1,4,0.625,3,"Strong",0.8,0.5,1,"AI Laggard",0,0,0,"Underperformer","Low","Medium","Other",0.281145810278843,FALSE
"LLY US",39817217668,0.272024245809446,-0.0402880055999999,10990.6,0,0.000000276026318354053,0.3199674131,"Pharmaceuticals, Biotechnology",0.0136986301369863,200,"2019-01-01","2019-10-07",2,2,4,1,0.55,2,"Developing",1.2,0.66,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.236565499827002,FALSE
"LMT US",9953464005,0.240981307000555,-0.1104673814,298603920.15,837,0.03,0.05138298974,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",4,4,2,2,0.8,4,"Leader",0.9,0.72,3,"AI Adopter",0,0,0.00635651189727061,"Balanced Performer","Medium","High","Other",0.241390161091405,FALSE
"LMT US",9953464005,0.240981307000555,-0.1104673814,298603920.15,837,0.03,0.05138298974,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",4,4,2,2,0.8,4,"Leader",0.9,0.72,3,"AI Adopter",0,0,0.00635651189727061,"Balanced Performer","Medium","High","Other",0.241390161091405,FALSE
"META US",99064092382,0.205712056705423,0.05268333,43873,87,0.000000442874899926623,0.2194111281,"Media & Entertainment",0.0136986301369863,200,"2019-01-01","2019-10-07",3,3,4,4,0.85,4,"Leader",1.3,1.105,4,"AI Leader",0.208772477876011,0.102127365216957,0.063264616368952,"AI Pioneer","High","High","Leader",0.286891969466744,FALSE
"META US",99064092382,0.205712056705423,0.05268333,43873,87,0.000000442874899926623,0.2194111281,"Media & Entertainment",0.0136986301369863,200,"2019-01-01","2019-10-07",3,3,4,4,0.85,4,"Leader",1.3,1.105,4,"AI Leader",0.208772477876011,0.102127365216957,0.063264616368952,"AI Pioneer","High","High","Leader",0.286891969466744,FALSE
"MSFT US",61918040469,0.186061249718149,0.162072094,32488,0,0.00000052469360712837,0.1493215623,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",3,2,3,4,0.725,3,"Strong",1.4,1.015,4,"AI Leader",0,0.0638326782232232,0.0395422900709914,"Balanced Performer","High","Medium","Leader",0.107733626990016,FALSE
"MSFT US",61918040469,0.186061249718149,0.162072094,32488,0,0.00000052469360712837,0.1493215623,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",3,2,4,4,0.775,4,"Leader",1.4,1.085,4,"AI Leader",0.130489084623048,0.0638326782232232,0.0395422900709914,"AI Pioneer","High","High","Leader",0.144700019256141,FALSE
"MU US",18314721250,0.216401851385454,0.138123731,3798,0,0.000000207374163557089,0.4885110111,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",2,2,4,3,0.65,3,"Strong",1.5,0.975,4,"AI Leader",0,0.0188810514584128,0.0116962038002387,"Balanced Performer","High","Medium","Leader",0.464156262061574,FALSE
"NEE US",18297268247,0.229420771371022,0.175595803,548918047.41,0,0.03,-0.1195489792,"Utilities",0.0136986301369863,200,"2019-01-01","2019-10-07",4,2,1,3,0.65,3,"Strong",0.5,0.325,1,"AI Laggard",0,0,0,"Underperformer","Low","Medium","Other",0.48801932503439,FALSE
"NET US",99718685154,0.29516253581252,0.0442199679999999,421.374,0,0.00000000422562731697929,0.2875515232,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",1,2,4,1,0.475,1,"Emerging",1.4,0.665,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.217631611037625,FALSE
"NET US",99718685154,0.29516253581252,0.0442199679999999,421.374,0,0.00000000422562731697929,0.2875515232,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",1,2,4,1,0.475,1,"Emerging",1.4,0.665,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.217631611037625,FALSE
"NVDA US",45080602241,0.231337438427348,0.52970259,12914,171,0.000000286464673452276,1.142034076,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",3,3,4,3,0.8,4,"Leader",1.5,1.2,4,"AI Leader",0,0.0464745905258352,0.028789513312862,"AI Pioneer","High","High","Leader",0.71855864104897,TRUE
"NVDA US",45080602241,0.231337438427348,0.52970259,12914,171,0.000000286464673452276,1.142034076,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",3,3,4,3,0.8,4,"Leader",1.5,1.2,4,"AI Leader",0,0.0464745905258352,0.028789513312862,"AI Pioneer","High","High","Leader",0.71855864104897,TRUE
"ORCL US",119000000000,0.355404729048882,0.244355163,9860,0,0.0000000828571428571429,0.08379751138,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,2,3,1,0.5,1,"Emerging",1.4,0.7,3,"AI Adopter",0,0,0,"Underperformer","Medium","Low","Other",0.527316958236099,TRUE
"PCOR US",82495365218,0.200193217806195,0.185490513,312.987,0,0.00000000379399496169159,0.2123114494,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",1,2,4,4,0.625,3,"Strong",1.4,0.875,4,"AI Leader",0,0.0850462977022716,0.0526834446997029,"Balanced Performer","High","Medium","Leader",0.101288811237789,FALSE
"PG US",3719442588,0.174072587391871,0.082254289,2100,21225,0.000000564600729898402,0.00291531313,"Household & Personal Products",0.0136986301369863,200,"2019-01-01","2019-10-07",3,4,1,4,0.775,4,"Leader",1,0.775,3,"AI Adopter",0.00783853388995886,0,0.00237532190300386,"Balanced Performer","Medium","High","Other",0.499380433432998,TRUE
"PG US",3719442588,0.174072587391871,0.082254289,2100,21225,0.000000564600729898402,0.00291531313,"Household & Personal Products",0.0136986301369863,200,"2019-01-01","2019-10-07",3,4,1,4,0.775,4,"Leader",1,0.775,3,"AI Adopter",0.00783853388995886,0,0.00237532190300386,"Balanced Performer","Medium","High","Other",0.499380433432998,TRUE
"QTUM US",26209523285,0.239104836497458,-0.0410433629000001,786285698.55,0,0.03,0.05,"Unknown",0.0136986301369863,200,"2019-01-01","2019-10-07",4,2,2,2,0.65,3,"Strong",1,0.65,2,"AI Follower",0,0,0,"Underperformer","Low","Medium","Other",0.192048552967324,FALSE
"ROBT US",40456075856,0.245053924898626,-0.1416118545,1213682275.68,0,0.03,0.05,"Unknown",0.0136986301369863,200,"2019-01-01","2019-10-07",4,2,2,2,0.65,3,"Strong",1,0.65,2,"AI Follower",0,0,0,"Underperformer","Low","Medium","Other",0.156601079166579,FALSE
"SAP GR",80046338224,0.245557890053627,0.0520301539999999,6514,0,0.0000000813778636790525,0.09510381953,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,2,3,2,0.55,2,"Developing",1.4,0.77,3,"AI Adopter",0,0,0,"Underperformer","Medium","Low","Other",0.00179970912385155,FALSE
"SMCI US",10684288441,0.346483484933604,-0.2941701981,636.55,0,0.0000000595781369545674,0.4658532304,"Technology Hardware & Equipmen",0.0136986301369863,200,"2019-01-01","2019-10-07",2,2,4,1,0.55,2,"Developing",1.2,0.66,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.548939718053238,TRUE
"SNPS US",63516904269,0.270786858525137,0.510865187,2082.36,0.008,0.0000000327843433801656,0.1522038114,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",1,3,4,1,0.55,2,"Developing",1.4,0.77,3,"AI Adopter",0,0,0,"Underperformer","Medium","Low","Other",0.0577674540472986,FALSE
"SPOT US",94006585011,0.102741360628506,0.0554901080000001,1486,0,0.0000000158074032773993,0.1831358043,"Media & Entertainment",0.0136986301369863,200,"2019-01-01","2019-10-07",1,2,4,4,0.625,3,"Strong",1.3,0.8125,3,"AI Adopter",0,0,0.0600347754052286,"Balanced Performer","Medium","Medium","Other",0.350918057137977,FALSE
"TSLA US",106000000000,0.200193217806195,0.185490513,4540,0,0.0000000428301886792453,0.00947578353,"Automobiles & Components",0.0136986301369863,200,"2019-01-01","2019-10-07",2,3,1,4,0.625,3,"Strong",1.1,0.6875,3,"AI Adopter",0,0,0.0676940470947817,"Balanced Performer","Medium","Medium","Other",0.0946374136590125,FALSE
"TSLA US",106000000000,0.200193217806195,0.185490513,4540,0,0.0000000428301886792453,0.00947578353,"Automobiles & Components",0.0136986301369863,200,"2019-01-01","2019-10-07",2,3,1,4,0.625,3,"Strong",1.1,0.6875,3,"AI Adopter",0,0,0.0676940470947817,"Balanced Performer","Medium","Medium","Other",0.0946374136590125,FALSE
"V US",99023295339,0.233311410541226,0.252790089,2970698860.17,4084,0.03,0.1133997662,"Financial Services",0.0136986301369863,200,"2019-01-01","2019-10-07",4,4,3,2,0.85,4,"Leader",0.8,0.68,2,"AI Follower",0,0,0,"Innovation Leader (Low AI)","Low","High","Other",0.293929947437847,FALSE
"V US",99023295339,0.233311410541226,0.252790089,2970698860.17,4084,0.03,0.1133997662,"Financial Services",0.0136986301369863,200,"2019-01-01","2019-10-07",4,4,3,2,0.85,4,"Leader",0.8,0.68,2,"AI Follower",0,0,0,"Innovation Leader (Low AI)","Low","High","Other",0.293929947437847,FALSE
"XOM US",66363898449,0.226572690139914,-0.0671958732,987,0,0.0000000148725440046067,0.01359438537,"Energy",0.0136986301369863,200,"2019-01-01","2019-10-07",1,3,2,3,0.55,2,"Developing",0.7,0.385,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.0614862533891614,FALSE
"XOM US",66363898449,0.226572690139914,-0.0671958732,987,0,0.0000000148725440046067,0.01359438537,"Energy",0.0136986301369863,200,"2019-01-01","2019-10-07",1,3,2,3,0.55,2,"Developing",0.7,0.385,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.0614862533891614,FALSE
